,open,high,low,close,volume
2019-10-25,60.6,60.88,59.21,60.37,12054052.0
2019-10-24,60.88,61.02,60.41,60.58,11143800.0
2019-10-23,60.6,61.32,60.55,60.88,10375600.0
2019-10-22,61.23,61.23,60.51,60.77,9603600.0
2019-10-21,61.01,61.23,60.66,60.75,10882300.0
2019-10-18,60.35,61.3,60.31,61.05,12339700.0
2019-10-17,60.23,60.43,60.16,60.41,7323700.0
2019-10-16,60.14,60.41,59.95,60.29,9298100.0
2019-10-15,59.68,60.69,59.6,60.55,11679200.0
2019-10-14,59.93,59.98,59.56,59.6,6876100.0
2019-10-11,60.0,60.38,59.89,59.93,11349000.0
2019-10-10,59.26,60.02,59.2,59.83,11832100.0
2019-10-09,59.4,59.45,58.93,59.22,10609200.0
2019-10-08,60.12,60.19,59.29,59.72,13832800.0
2019-10-07,59.92,60.59,59.9,60.25,13744600.0
2019-10-04,58.97,59.98,58.96,59.9,9824900.0
2019-10-03,59.0,59.12,58.33,59.01,9769300.0
2019-10-02,59.7,59.72,58.72,58.91,12011700.0
2019-10-01,60.4,60.43,59.81,59.85,8381600.0
2019-09-30,60.49,60.9,60.33,60.36,9709400.0
2019-09-27,60.56,60.7,60.02,60.3,7799000.0
2019-09-26,60.14,60.67,60.07,60.44,7438800.0
2019-09-25,60.58,60.66,60.11,60.27,8088100.0
2019-09-24,60.55,61.0,60.41,60.51,12846300.0
2019-09-23,60.13,60.69,59.93,60.21,8437000.0
2019-09-20,60.27,60.38,59.97,60.29,21019900.0
2019-09-19,59.98,60.4,59.8,59.98,7651700.0
2019-09-18,59.61,59.98,59.38,59.93,8451900.0
2019-09-17,59.32,59.9,59.32,59.87,8801700.0
2019-09-16,59.93,59.99,59.19,59.5,10950500.0
2019-09-13,60.08,60.45,59.73,59.96,10719300.0
2019-09-12,60.1,60.55,59.98,60.43,9491400.0
2019-09-11,59.9,60.18,59.52,60.13,12241500.0
2019-09-10,59.25,59.8,58.79,59.71,13987000.0
2019-09-09,59.49,59.52,58.64,58.66,12848700.0
2019-09-06,58.69,59.1,58.47,59.06,8920200.0
2019-09-05,58.58,58.63,58.19,58.59,9232300.0
2019-09-04,58.24,58.55,57.96,58.18,9232200.0
2019-09-03,57.9,58.19,57.59,58.04,10470100.0
2019-08-30,57.99,58.41,57.9,58.16,9962200.0
2019-08-29,58.24,58.31,57.37,57.94,8538000.0
2019-08-28,57.2,58.12,57.11,57.95,15238900.0
2019-08-27,57.5,57.66,57.18,57.18,16953900.0
2019-08-26,56.01,56.73,55.82,56.71,9486900.0
2019-08-23,56.79,56.91,55.62,55.92,13203000.0
2019-08-22,56.65,56.96,56.33,56.78,9272200.0
2019-08-21,56.78,56.78,56.11,56.59,7637300.0
2019-08-20,56.9,57.0,56.24,56.27,9892600.0
2019-08-19,56.97,57.5,56.69,57.0,11011900.0
2019-08-16,56.47,56.69,55.42,56.65,11923500.0
2019-08-15,55.53,56.58,55.42,56.3,12124000.0
2019-08-14,56.04,56.52,55.49,55.72,15041200.0
2019-08-13,55.64,56.5,55.5199,56.37,11016500.0
2019-08-12,55.85,55.89,55.07,55.69,10635600.0
2019-08-09,55.65,56.06,55.465,55.78,8948000.0
2019-08-08,55.36,55.826,54.99,55.82,11335900.0
2019-08-07,54.75,55.52,54.41,55.09,11865500.0
2019-08-06,55.2198,55.55,54.47,55.05,18747900.0
2019-08-05,55.3022,55.9,54.93,55.22,18941500.0
2019-08-02,55.11,56.3,54.77,55.59,17458800.0
2019-08-01,57.11,57.29,55.23,55.26,18677000.0
2019-07-31,56.55,56.72,54.92,55.27,24396200.0
2019-07-30,57.31,57.6,56.5459,56.63,13329300.0
2019-07-29,57.09,57.44,56.83,57.37,10165700.0
2019-07-26,56.48,57.23,56.0,57.08,12333100.0
2019-07-25,56.17,56.61,55.94,56.36,11006100.0
2019-07-24,55.61,56.24,55.42,55.97,11173900.0
2019-07-23,55.45,55.64,54.56,55.48,14093500.0
2019-07-22,56.56,56.58,55.34,55.5,15255800.0
2019-07-19,57.38,57.46,56.5658,56.59,12240300.0
2019-07-18,57.2204,57.32,56.78,57.21,7549200.0
2019-07-17,57.56,57.7,57.09,57.22,7916700.0
2019-07-16,57.63,57.73,57.4,57.41,10556000.0
2019-07-15,57.2896,57.8,57.19,57.58,11734300.0
2019-07-12,57.06,57.27,56.85,57.19,9669500.0
2019-07-11,57.22,57.393,56.64,56.92,10045700.0
2019-07-10,56.7,57.11,56.59,57.0,10901500.0
2019-07-09,56.95,56.99,56.2673,56.41,16733700.0
2019-07-08,57.96,58.3,57.81,57.89,12048200.0
2019-07-05,58.08,58.513,57.77,58.31,6938500.0
2019-07-03,58.12,58.25,57.66,58.13,8437800.0
2019-07-02,56.88,58.15,56.81,58.13,14985700.0
2019-07-01,57.42,57.4181,56.6,56.66,15796800.0
2019-06-28,57.22,57.43,56.83,57.13,14604000.0
2019-06-27,57.16,57.37,56.85,57.25,9123300.0
2019-06-26,58.17,58.22,56.92,56.99,15042100.0
2019-06-25,58.18,58.26,57.91,58.0,10571700.0
2019-06-24,57.98,58.665,57.93,58.27,9141800.0
2019-06-21,57.09,57.92,57.09,57.77,22474300.0
2019-06-20,57.9,57.95,56.93,57.34,15302800.0
2019-06-19,57.39,57.85,57.18,57.63,10516400.0
2019-06-18,57.82,57.995,57.155,57.33,12257500.0
2019-06-17,58.16,58.33,57.24,57.63,11027000.0
2019-06-14,57.68,58.56,57.52,58.28,11826600.0
2019-06-13,57.5,57.74,57.37,57.62,9218700.0
2019-06-12,57.0,57.565,57.0,57.36,11911000.0
2019-06-11,56.5032,57.4,56.18,56.83,15378600.0
2019-06-10,57.37,57.37,55.95,56.15,14955400.0
2019-06-07,58.0,58.137,57.15,57.24,11656600.0
2019-06-06,57.01,57.815,57.01,57.54,9906900.0
