,open,high,low,close,volume
2019-10-25,54.2,55.57,54.02,55.42,4718660.0
2019-10-24,54.59,55.26,53.83,54.45,3522400.0
2019-10-23,53.86,54.69,53.55,54.56,4589600.0
2019-10-22,54.88,55.51,54.52,55.32,3747900.0
2019-10-21,55.15,55.5,54.28,54.59,5180800.0
2019-10-18,56.02,56.17,55.27,55.3,4682400.0
2019-10-17,54.98,56.1,54.78,55.94,4815200.0
2019-10-16,54.48,55.2,54.26,54.66,2975000.0
2019-10-15,53.76,54.85,53.73,54.52,3390100.0
2019-10-14,53.74,53.96,53.17,53.67,2495600.0
2019-10-11,53.45,54.6,53.45,53.99,4803400.0
2019-10-10,52.24,53.27,52.24,52.93,3334200.0
2019-10-09,52.61,52.73,52.03,52.08,4737200.0
2019-10-08,52.35,52.75,51.86,52.09,4129700.0
2019-10-07,52.83,53.12,52.57,52.76,4427000.0
2019-10-04,52.74,53.06,52.06,52.97,3895400.0
2019-10-03,52.83,53.05,51.57,52.6,3625100.0
2019-10-02,54.53,54.62,52.73,52.83,5016000.0
2019-10-01,55.26,55.87,54.28,54.7,4824700.0
2019-09-30,54.61,55.51,54.55,55.31,3218300.0
2019-09-27,54.24,54.96,53.72,54.41,3403100.0
2019-09-26,54.7,54.82,53.56,54.08,3836300.0
2019-09-25,53.69,54.56,53.32,54.36,3385400.0
2019-09-24,54.67,54.76,53.23,53.63,5408600.0
2019-09-23,54.94,55.09,53.78,54.32,3778300.0
2019-09-20,54.39,55.94,54.26,55.0,10823700.0
2019-09-19,54.64,55.04,54.44,54.57,4365100.0
2019-09-18,54.64,54.73,53.92,54.41,3903800.0
2019-09-17,55.34,55.34,54.22,54.84,4841900.0
2019-09-16,55.35,55.7,55.06,55.34,3660800.0
2019-09-13,55.95,56.44,55.3,55.99,3872200.0
2019-09-12,58.0,58.0,55.26,55.56,6771700.0
2019-09-11,57.34,58.1,56.83,58.06,6992300.0
2019-09-10,55.57,57.0,55.46,56.88,6930900.0
2019-09-09,52.65,55.7,52.65,55.59,9416400.0
2019-09-06,52.67,52.8,52.15,52.56,2565600.0
2019-09-05,51.8,52.77,51.8,52.33,3807100.0
2019-09-04,50.73,51.62,50.73,51.43,4680000.0
2019-09-03,51.25,51.32,50.04,50.43,3975100.0
2019-08-30,50.68,51.19,50.45,51.19,5194900.0
2019-08-29,50.34,50.82,50.22,50.4,3271100.0
2019-08-28,49.26,49.99,49.03,49.95,2610200.0
2019-08-27,50.44,50.52,49.35,49.45,5049500.0
2019-08-26,49.98,50.13,49.56,50.04,3645400.0
2019-08-23,50.54,51.02,49.14,49.32,5945400.0
2019-08-22,51.15,51.4,50.67,50.95,3772700.0
2019-08-21,51.04,51.67,50.78,50.9,2962100.0
2019-08-20,51.21,51.53,50.63,50.67,3312000.0
2019-08-19,50.63,51.44,50.61,51.16,5127600.0
2019-08-16,49.63,50.7311,49.5,50.48,4333800.0
2019-08-15,50.8,50.81,49.12,49.29,6285300.0
2019-08-14,52.44,52.44,50.36,50.41,6193600.0
2019-08-13,51.94,53.898,51.51,53.07,5257300.0
2019-08-12,52.78,52.89,51.68,52.0,3729300.0
2019-08-09,52.82,53.05,52.33,52.79,2915900.0
2019-08-08,52.4797,53.03,52.353,53.02,3400300.0
2019-08-07,51.04,52.61,50.089,52.48,6258400.0
2019-08-06,52.0,52.2529,50.79,51.45,6742300.0
2019-08-05,53.47,53.59,51.66,51.87,6751700.0
2019-08-02,54.19,54.35,53.07,53.68,4524000.0
2019-08-01,54.6,55.77,53.9,54.07,5920900.0
2019-07-31,55.28,55.45,53.7917,54.49,6642200.0
2019-07-30,54.99,55.65,54.6094,55.4,2774000.0
2019-07-29,55.09,55.54,54.97,55.12,2793100.0
2019-07-26,54.86,55.14,54.58,55.05,3009300.0
2019-07-25,55.2,55.25,54.5,54.76,3071700.0
2019-07-24,54.64,55.21,54.26,55.2,4000500.0
2019-07-23,54.14,54.8819,53.74,54.65,4583100.0
2019-07-22,54.6576,54.66,53.66,53.94,3944900.0
2019-07-19,54.86,55.11,54.37,54.44,3639600.0
2019-07-18,54.3,54.96,53.82,54.82,4249200.0
2019-07-17,55.69,55.8,54.26,54.52,5185600.0
2019-07-16,56.08,56.15,55.69,55.81,3661100.0
2019-07-15,55.96,56.16,55.74,55.89,3581100.0
2019-07-12,56.25,56.26,55.56,55.74,3826100.0
2019-07-11,56.56,56.95,55.29,55.62,7161300.0
2019-07-10,55.78,56.1513,55.4,55.57,5217900.0
2019-07-09,55.35,55.78,55.13,55.5,3517000.0
2019-07-08,55.17,55.52,54.89,55.43,3819600.0
2019-07-05,55.11,55.565,54.75,55.19,4120600.0
2019-07-03,55.07,55.5021,54.85,55.19,3990500.0
