,open,high,low,close,volume
2019-10-25,59.53,61.32,59.28,61.23,3113728.0
2019-10-24,58.83,60.23,58.24,59.52,3744600.0
2019-10-23,58.13,58.13,56.88,57.65,3332900.0
2019-10-22,58.71,59.9,58.71,58.86,3092100.0
2019-10-21,58.59,59.06,58.28,58.6,2187600.0
2019-10-18,59.08,59.21,57.26,58.13,3324400.0
2019-10-17,60.09,60.09,58.71,59.62,3086700.0
2019-10-16,60.94,61.09,59.34,59.46,2716600.0
2019-10-15,59.31,60.94,59.26,60.82,3573700.0
2019-10-14,59.61,60.23,58.8,59.28,3745100.0
2019-10-11,58.54,59.28,58.01,58.35,2617800.0
2019-10-10,56.4,57.82,56.13,57.34,2361600.0
2019-10-09,56.27,56.97,55.93,56.53,2242800.0
2019-10-08,57.1,57.3,55.4,55.52,4404300.0
2019-10-07,58.29,58.75,57.93,57.99,2457300.0
2019-10-04,58.15,58.74,57.97,58.57,2415300.0
2019-10-03,56.57,57.82,55.48,57.78,4083100.0
2019-10-02,57.81,57.94,56.15,56.82,5590700.0
2019-10-01,60.06,61.11,58.37,58.59,3177100.0
2019-09-30,60.34,60.44,58.83,59.64,3799400.0
2019-09-27,61.44,62.5,60.18,60.49,5759500.0
2019-09-26,61.37,62.5,60.88,61.8,4439600.0
2019-09-25,59.69,62.05,59.46,61.05,6285500.0
2019-09-24,61.2,61.42,59.37,59.58,3930200.0
2019-09-23,61.08,61.73,60.64,60.99,3123200.0
2019-09-20,63.39,63.39,60.59,60.68,8623700.0
2019-09-19,63.69,63.88,62.07,62.65,4108100.0
2019-09-18,63.94,63.99,62.11,63.56,3223400.0
2019-09-17,62.94,64.02,62.65,63.91,2815800.0
2019-09-16,63.71,63.72,62.56,62.99,4591800.0
2019-09-13,64.32,65.31,64.31,64.6,2937100.0
2019-09-12,64.52,65.16,64.04,64.7,3443100.0
2019-09-11,62.91,64.88,62.7,64.3,5005800.0
2019-09-10,62.37,62.87,61.72,62.27,3664100.0
