,open,high,low,close,volume
2019-10-25,94.22,94.23,93.26,93.79,1388932.0
2019-10-24,93.21,94.15,92.82,94.01,1116700.0
2019-10-23,93.45,94.18,92.9,93.15,1080500.0
2019-10-22,93.45,93.94,93.11,93.29,1015100.0
2019-10-21,93.23,93.46,92.4,93.27,755200.0
2019-10-18,92.76,93.12,92.23,92.96,1525800.0
2019-10-17,92.74,93.32,92.11,92.9,869500.0
2019-10-16,92.26,92.84,91.51,92.76,1298500.0
2019-10-15,92.95,93.41,92.0,92.17,1437700.0
2019-10-14,94.05,94.1,92.5,92.72,1250600.0
2019-10-11,94.74,95.17,93.1,93.81,1630000.0
2019-10-10,94.63,95.22,93.69,95.15,1088100.0
2019-10-09,94.47,95.26,94.36,94.89,1185000.0
2019-10-08,95.18,95.33,94.15,94.17,1405700.0
2019-10-07,96.13,96.13,94.73,95.22,1491100.0
2019-10-04,95.0,96.29,94.93,96.08,1543900.0
2019-10-03,94.62,94.93,94.2,94.81,1475400.0
2019-10-02,95.0,95.28,93.98,94.31,1346700.0
2019-10-01,94.89,95.25,94.14,95.19,1251200.0
2019-09-30,95.21,95.59,94.69,95.1,1265600.0
2019-09-27,96.08,96.1,94.28,94.87,1523400.0
2019-09-26,95.76,96.6,95.4,95.9,1222300.0
2019-09-25,95.1,95.38,94.41,95.35,1370500.0
2019-09-24,94.34,95.65,94.04,95.0,2060800.0
2019-09-23,94.06,94.36,93.56,93.96,1338000.0
2019-09-20,93.57,94.1,93.16,93.7,2492700.0
2019-09-19,93.29,93.64,92.65,93.48,959200.0
2019-09-18,93.23,93.71,92.2,93.15,1440900.0
2019-09-17,91.71,92.95,91.71,92.8,1638000.0
2019-09-16,91.26,91.48,90.65,91.31,1212900.0
2019-09-13,91.01,91.9,90.64,91.16,1125300.0
2019-09-12,92.05,92.57,91.23,91.55,1481900.0
2019-09-11,90.04,91.8,89.31,91.27,2296200.0
2019-09-10,90.47,90.52,89.02,90.3,2264900.0
2019-09-09,92.6,92.6,90.44,90.47,3590200.0
2019-09-06,95.24,95.59,91.5,93.13,4625300.0
2019-09-05,96.96,97.33,94.48,95.33,3586200.0
2019-09-04,97.3,98.19,96.94,97.65,1562300.0
2019-09-03,95.93,97.75,95.63,97.73,2274400.0
2019-08-30,96.14,96.24,95.54,95.77,1237900.0
2019-08-29,95.7,95.97,94.78,95.93,1906400.0
2019-08-28,95.53,96.38,94.72,95.11,1951100.0
2019-08-27,94.52,96.46,94.44,95.31,2767300.0
2019-08-26,92.93,94.27,92.61,94.26,1928400.0
2019-08-23,93.43,93.96,92.26,92.59,3010800.0
2019-08-22,92.72,93.29,92.18,93.14,1477300.0
2019-08-21,91.44,92.78,91.44,92.74,1396300.0
2019-08-20,91.58,92.09,91.02,91.81,1366600.0
2019-08-19,90.58,91.78,90.31,91.36,2418700.0
2019-08-16,90.78,91.39,88.78,90.44,1738200.0
2019-08-15,88.78,90.93,88.78,90.69,1757500.0
2019-08-14,90.08,90.22,88.42,88.89,1631400.0
2019-08-13,89.51,90.09,89.0,89.67,2118700.0
2019-08-12,90.03,90.43,89.43,89.99,1359800.0
2019-08-09,89.6692,90.17,89.173,89.87,1274300.0
2019-08-08,88.02,89.5,87.63,89.3,1281700.0
2019-08-07,87.76,88.68,86.43,88.25,1656300.0
2019-08-06,87.22,88.21,85.57,87.89,1902000.0
2019-08-05,86.61,88.63,85.87,87.03,2975800.0
2019-08-02,87.3,87.64,86.4147,86.56,2173200.0
2019-08-01,85.48,87.59,85.16,87.18,1999600.0
2019-07-31,86.67,87.1,84.99,85.46,4115100.0
2019-07-30,87.51,87.93,86.24,86.66,1619500.0
2019-07-29,86.87,87.58,86.57,87.5,1538300.0
2019-07-26,85.9,86.8,85.83,86.66,1351200.0
2019-07-25,85.8,86.26,85.42,85.86,1649400.0
2019-07-24,85.99,86.17,85.07,85.8,1652100.0
2019-07-23,86.33,86.46,85.42,85.76,1821000.0
2019-07-22,86.7,86.89,85.81,86.28,2216400.0
2019-07-19,87.69,87.91,86.3,86.31,1959400.0
2019-07-18,86.94,87.9,86.34,87.85,1618700.0
2019-07-17,86.4179,87.6,86.04,86.9,1669900.0
2019-07-16,86.11,86.36,85.5617,86.14,1534400.0
2019-07-15,85.45,86.39,85.05,86.35,1453800.0
2019-07-12,86.17,86.17,85.1805,85.47,1162000.0
2019-07-11,86.0,86.33,85.23,86.12,1329200.0
2019-07-10,85.94,86.42,85.4151,86.13,1191700.0
2019-07-09,85.4,85.81,84.97,85.7,1475000.0
2019-07-08,85.19,85.56,84.76,85.29,1154100.0
2019-07-05,84.5291,85.14,83.43,85.02,990900.0
2019-07-03,84.33,85.44,84.33,85.13,874400.0
2019-07-02,83.4,84.3,83.23,84.25,1518300.0
2019-07-01,83.26,83.44,82.18,83.13,1673500.0
2019-06-28,83.07,83.87,82.88,83.37,2678400.0
2019-06-27,83.62,83.9682,82.79,83.08,2286100.0
2019-06-26,84.86,84.8861,83.27,83.33,3159200.0
2019-06-25,85.26,85.42,84.73,84.94,1600800.0
2019-06-24,85.08,85.7,84.84,85.26,1543100.0
2019-06-21,85.5,85.6,84.77,85.42,2695600.0
2019-06-20,85.11,85.661,84.63,85.39,1351300.0
2019-06-19,83.94,85.22,83.94,84.94,1703800.0
2019-06-18,84.5,84.7375,83.65,84.25,1994100.0
2019-06-17,84.31,84.86,83.73,84.13,1581900.0
2019-06-14,83.79,84.67,83.75,84.31,1470400.0
2019-06-13,83.59,83.88,82.96,83.61,1240500.0
2019-06-12,82.36,83.3647,82.36,83.36,880500.0
2019-06-11,82.74,82.98,81.45,82.02,1182300.0
2019-06-10,82.9022,82.9,82.04,82.74,1000100.0
