,open,high,low,close,volume
2019-10-25,90.17,90.57,87.64,87.96,2316578.0
2019-10-24,91.18,91.28,90.28,90.84,1913100.0
2019-10-23,92.0,92.35,90.58,91.12,3023000.0
2019-10-22,92.6,93.17,91.73,91.92,2081700.0
2019-10-21,91.85,92.22,91.02,92.21,1656900.0
2019-10-18,91.14,92.38,90.97,92.09,1896800.0
2019-10-17,91.09,91.37,90.5,91.18,2237600.0
2019-10-16,90.89,91.23,89.78,91.02,1857200.0
2019-10-15,91.9,92.15,90.44,91.39,1456200.0
2019-10-14,91.28,91.89,90.92,91.79,964400.0
2019-10-11,91.67,91.82,90.83,91.18,1456100.0
2019-10-10,91.16,91.84,90.35,91.6,1476800.0
2019-10-09,91.37,92.07,91.28,91.35,889200.0
2019-10-08,91.89,92.08,90.74,91.18,1143300.0
2019-10-07,91.05,92.33,91.0,91.54,1411700.0
2019-10-04,91.46,92.0,91.3,91.96,1160000.0
2019-10-03,89.84,91.99,89.84,91.33,1514800.0
2019-10-02,90.06,90.49,88.98,89.78,1525500.0
2019-10-01,90.27,90.52,89.41,89.46,1680900.0
2019-09-30,90.24,91.05,90.08,90.65,2505500.0
2019-09-27,90.72,91.05,89.49,90.29,1862000.0
2019-09-26,89.64,90.92,89.24,90.62,1290800.0
2019-09-25,89.28,89.85,88.84,89.17,1414100.0
2019-09-24,89.3,90.18,88.56,89.17,2093600.0
2019-09-23,88.62,89.94,88.62,89.06,1736400.0
2019-09-20,89.71,89.72,88.66,88.8,3578200.0
2019-09-19,89.08,89.68,88.91,89.3,1354500.0
2019-09-18,89.74,89.88,87.92,88.88,1870800.0
2019-09-17,87.67,89.47,87.5,89.3,1743900.0
2019-09-16,86.1,87.45,85.65,86.93,2421000.0
2019-09-13,87.01,87.61,85.19,85.51,3001000.0
2019-09-12,88.88,89.33,87.23,87.45,2340200.0
2019-09-11,87.2,88.48,86.59,87.68,2735800.0
2019-09-10,89.3,89.76,86.98,87.88,2472200.0
2019-09-09,91.0,91.04,89.63,90.21,1585600.0
2019-09-06,91.19,92.11,91.19,91.39,1904900.0
2019-09-05,91.68,92.11,89.7,91.09,2100900.0
2019-09-04,92.19,92.5,91.53,92.46,2095900.0
2019-09-03,89.38,91.44,89.09,91.38,1937300.0
2019-08-30,89.84,90.0,89.03,89.56,1245500.0
2019-08-29,89.36,89.8,88.72,89.68,1606100.0
2019-08-28,89.47,89.85,88.61,88.89,1242900.0
2019-08-27,89.18,90.22,88.96,88.96,3336700.0
2019-08-26,88.16,88.72,87.4,88.6,2153000.0
2019-08-23,89.01,90.2,87.4,87.75,2110300.0
2019-08-22,88.81,89.26,88.22,88.9,1322400.0
2019-08-21,88.7,89.34,87.96,88.93,1074600.0
2019-08-20,89.9,90.25,88.5,88.55,2286100.0
2019-08-19,88.98,89.62,88.31,89.42,1644600.0
2019-08-16,88.21,89.06,86.44,88.79,1500700.0
2019-08-15,86.49,88.47,86.44,88.28,1866900.0
2019-08-14,87.11,87.55,86.447,86.56,1556800.0
2019-08-13,87.9553,88.24,86.48,87.85,1834900.0
2019-08-12,88.3,88.87,87.37,87.99,1199800.0
2019-08-09,87.89,88.44,87.34,88.28,1507000.0
2019-08-08,86.72,88.27,86.07,87.91,2649500.0
2019-08-07,85.45,87.91,84.645,87.25,2256600.0
2019-08-06,84.51,86.8,84.04,85.41,2564700.0
2019-08-05,85.17,85.51,83.78,84.84,3232300.0
2019-08-02,83.7,85.24,83.7,84.76,1511800.0
2019-08-01,82.77,84.43,81.36,83.7,2791000.0
2019-07-31,83.73,84.68,82.83,83.12,2011600.0
2019-07-30,83.57,84.42,83.07,83.95,1326600.0
2019-07-29,83.75,84.68,83.42,83.71,1113300.0
2019-07-26,82.58,83.28,82.14,83.13,1588800.0
2019-07-25,82.86,83.13,82.22,82.63,1619400.0
2019-07-24,84.0,84.01,82.59,83.09,2051100.0
2019-07-23,83.17,83.73,82.5,83.72,2070600.0
2019-07-22,83.1412,83.62,82.67,83.05,3221500.0
2019-07-19,84.9,84.95,82.9657,83.05,1775000.0
2019-07-18,84.33,85.11,83.98,84.85,1201600.0
2019-07-17,84.94,85.47,83.91,84.5,1278200.0
2019-07-16,83.87,84.81,83.54,84.65,1599000.0
2019-07-15,84.88,85.68,84.37,84.41,1728000.0
2019-07-12,85.2989,85.38,84.41,84.75,1492500.0
2019-07-11,86.39,86.59,84.95,85.17,2168600.0
2019-07-10,86.25,86.91,85.9,86.72,1734100.0
2019-07-09,85.12,86.26,84.97,86.1,1555700.0
2019-07-08,84.3,85.252,84.22,85.26,1334800.0
2019-07-05,84.25,84.5,82.4,84.22,1382900.0
2019-07-03,84.2961,85.46,84.29,85.27,1123100.0
2019-07-02,82.1,84.26,81.93,84.17,2090700.0
2019-07-01,82.13,82.13,80.03,81.74,2257800.0
2019-06-28,81.63,82.19,81.39,81.53,4007600.0
2019-06-27,81.32,82.17,81.2661,81.63,1784600.0
2019-06-26,82.98,83.0,80.53,81.07,2843900.0
2019-06-25,84.23,84.81,82.98,83.3,3555600.0
2019-06-24,84.08,84.59,83.47,84.07,3101200.0
2019-06-21,84.55,84.7638,82.55,83.65,10019400.0
2019-06-20,84.23,85.26,84.175,84.63,3496100.0
2019-06-19,82.57,84.26,82.18,83.8,2459700.0
2019-06-18,84.09,84.36,82.7,83.04,2061200.0
2019-06-17,82.73,83.85,82.5,83.61,2322600.0
2019-06-14,82.2,83.25,82.1949,82.28,2015800.0
2019-06-13,82.19,82.66,81.69,82.33,1759600.0
2019-06-12,82.41,83.25,82.12,82.27,1565900.0
2019-06-11,82.42,82.65,81.3,82.11,1791300.0
2019-06-10,83.31,83.5,81.87,82.38,1565100.0
2019-06-07,83.12,83.87,82.7814,83.23,2268600.0
2019-06-06,82.03,82.82,81.7,82.58,1473700.0
