,open,high,low,close,volume
2019-10-25,51.08,51.725,51.0,51.57,14473421.0
2019-10-24,50.66,51.2,50.66,51.1,16695400.0
2019-10-23,50.72,50.97,50.57,50.93,14173700.0
2019-10-22,50.44,51.02,50.23,50.62,18526900.0
2019-10-21,50.28,50.5,50.18,50.46,19409100.0
2019-10-18,49.34,50.22,49.32,49.97,21199500.0
2019-10-17,49.98,50.17,49.48,49.61,20560100.0
2019-10-16,50.04,50.28,49.45,49.59,23728400.0
2019-10-15,49.28,51.25,48.78,50.11,38478400.0
2019-10-14,49.09,49.45,48.98,49.27,16870500.0
2019-10-11,49.46,49.92,49.15,49.21,23024600.0
2019-10-10,48.33,49.07,48.16,48.65,18267800.0
2019-10-09,48.17,48.42,48.08,48.15,13467800.0
2019-10-08,48.25,48.35,47.54,47.82,19734000.0
2019-10-07,48.95,49.29,48.75,48.81,15691900.0
2019-10-04,48.66,49.25,48.53,49.21,15779500.0
2019-10-03,48.3,48.51,47.32,48.48,20212200.0
2019-10-02,48.72,49.04,48.37,48.47,23515900.0
2019-10-01,50.65,50.78,49.0,49.06,27249300.0
2019-09-30,50.77,50.85,50.06,50.44,26897100.0
2019-09-27,50.4,51.41,50.25,50.71,59467400.0
2019-09-26,49.25,49.37,48.82,48.87,19984000.0
2019-09-25,48.73,49.54,48.65,49.26,21313100.0
2019-09-24,48.98,49.22,48.47,48.65,21629300.0
2019-09-23,48.32,49.09,48.31,48.96,20603400.0
2019-09-20,49.07,49.3,48.61,48.63,30229400.0
2019-09-19,48.99,49.31,48.87,48.91,16887500.0
2019-09-18,48.63,49.21,48.43,48.93,20511700.0
2019-09-17,48.7,48.86,48.31,48.76,18346100.0
2019-09-16,48.46,49.0,48.4,48.98,17759700.0
2019-09-13,49.01,49.36,48.66,48.92,25142400.0
2019-09-12,48.52,49.08,48.22,48.65,24305900.0
2019-09-11,48.29,48.98,47.79,48.85,19190000.0
2019-09-10,48.07,48.93,48.07,48.31,25822400.0
2019-09-09,47.32,48.64,46.89,48.41,27651400.0
2019-09-06,47.58,47.77,47.1,47.15,18846100.0
2019-09-05,47.31,48.17,47.3,47.62,19243400.0
2019-09-04,46.54,46.7,46.28,46.5,17123100.0
2019-09-03,46.31,46.34,45.48,46.09,17224200.0
2019-08-30,46.54,46.9,46.41,46.57,15250600.0
2019-08-29,46.0,46.49,45.78,46.19,16196600.0
2019-08-28,44.64,45.78,44.49,45.47,14740000.0
2019-08-27,45.23,45.33,44.43,44.75,15038200.0
2019-08-26,44.71,45.0,44.49,44.98,15973100.0
2019-08-23,45.2,45.65,44.09,44.42,21152500.0
2019-08-22,45.33,45.83,45.06,45.62,14703900.0
2019-08-21,44.96,45.28,44.81,45.0,13513700.0
2019-08-20,45.04,45.04,44.63,44.68,13345800.0
2019-08-19,45.13,45.47,44.93,45.25,15378100.0
2019-08-16,43.74,44.54,43.34,44.39,21196600.0
2019-08-15,44.3,44.5,43.3387,43.38,27900000.0
2019-08-14,45.0223,45.1,43.94,43.97,28786700.0
2019-08-13,45.61,46.42,45.26,45.96,16649100.0
2019-08-12,45.5101,45.91,45.33,45.43,17364400.0
2019-08-09,46.02,46.66,45.75,46.3,19786100.0
2019-08-08,45.69,46.64,45.55,46.4,20671300.0
2019-08-07,46.07,46.15,45.23,45.81,27830000.0
2019-08-06,46.61,47.03,45.82,46.93,19446100.0
2019-08-05,46.5,46.8,45.85,46.14,27113500.0
2019-08-02,47.11,47.61,46.37,47.44,20159000.0
2019-08-01,48.41,48.64,46.95,47.06,22668600.0
2019-07-31,48.26,48.98,48.11,48.41,23422800.0
2019-07-30,48.01,48.59,47.8886,48.55,14207000.0
2019-07-29,49.38,49.57,48.18,48.28,19148600.0
2019-07-26,48.15,49.31,48.07,49.3,21641500.0
2019-07-25,48.52,48.74,48.01,48.09,20562000.0
2019-07-24,47.3,48.47,47.28,48.45,29357200.0
2019-07-23,46.68,47.59,46.66,47.2,21150200.0
2019-07-22,45.89,46.55,45.77,46.48,17972100.0
2019-07-19,45.96,46.41,45.86,46.03,21847900.0
2019-07-18,45.2201,46.02,45.19,45.82,19409100.0
2019-07-17,45.2,45.75,45.14,45.21,24502100.0
2019-07-16,46.72,46.97,45.22,45.3,37548300.0
2019-07-15,47.4,47.45,46.44,46.71,21338400.0
2019-07-12,47.12,47.42,46.92,47.36,12792600.0
2019-07-11,47.21,47.58,47.06,47.14,19751400.0
2019-07-10,47.67,47.81,47.04,47.15,12784900.0
2019-07-09,47.3,47.89,47.21,47.83,12595000.0
2019-07-08,47.4,47.99,47.31,47.53,13189300.0
2019-07-05,48.1,48.19,47.67,47.77,10801600.0
2019-07-03,47.3,47.79,46.98,47.66,10438400.0
2019-07-02,47.52,47.8,46.92,47.23,12107200.0
2019-07-01,47.88,48.12,47.4,47.69,15089100.0
2019-06-28,46.8113,47.7,46.8,47.32,31030900.0
2019-06-27,46.22,46.53,46.11,46.29,13391600.0
2019-06-26,46.21,46.28,45.78,45.8,17106800.0
2019-06-25,46.13,46.53,45.43,46.14,20814000.0
2019-06-24,46.55,46.69,46.23,46.27,21854400.0
2019-06-21,45.84,46.89,45.79,46.89,39186200.0
2019-06-20,45.85,45.99,45.24,45.86,19205200.0
2019-06-19,46.48,46.7487,45.63,45.65,17787600.0
2019-06-18,45.2457,46.39,45.06,46.1,18611100.0
2019-06-17,45.58,46.02,45.14,45.27,13420400.0
2019-06-14,45.31,45.79,44.84,45.59,16147500.0
2019-06-13,45.1,45.63,44.92,45.29,15629400.0
2019-06-12,46.01,46.27,44.78,44.91,22470400.0
2019-06-11,45.84,46.46,45.77,46.26,15078300.0
2019-06-10,46.06,46.81,46.0615,46.27,15242700.0
2019-06-07,45.9,46.16,45.55,45.63,14979900.0
2019-06-06,45.74,46.19,45.4504,45.92,16020500.0
