,open,high,low,close,volume
2019-10-25,119.0,119.3254,118.2,119.04,2480850.0
2019-10-24,119.15,119.57,118.51,119.1,2900300.0
2019-10-23,119.17,119.85,118.69,119.35,2840000.0
2019-10-22,119.75,120.17,119.39,119.58,2544700.0
2019-10-21,119.3,119.83,118.82,119.74,3410100.0
2019-10-18,120.45,120.6,119.13,119.14,5592300.0
2019-10-17,119.67,120.25,119.36,119.84,3910900.0
2019-10-16,119.31,120.11,119.1,119.42,3781600.0
2019-10-15,119.33,119.99,118.87,119.53,4516700.0
2019-10-14,119.85,120.46,119.1,119.17,4573300.0
2019-10-11,119.92,120.71,118.72,120.24,6127900.0
2019-10-10,118.9,119.88,118.6,119.61,4341500.0
2019-10-09,118.18,119.3,118.02,118.93,3903400.0
2019-10-08,116.81,118.67,116.66,117.58,5125100.0
2019-10-07,118.1,118.3,116.88,117.23,4695000.0
2019-10-04,116.4,118.3,116.19,118.16,4627000.0
2019-10-03,115.88,116.8,114.58,116.31,5206500.0
2019-10-02,117.4,117.55,115.61,116.12,5944500.0
2019-10-01,118.85,119.11,117.72,117.85,3729300.0
2019-09-30,118.67,119.44,118.56,118.68,3401400.0
2019-09-27,119.21,119.23,117.75,118.45,3434700.0
2019-09-26,118.8,119.55,118.19,118.3,3986900.0
2019-09-25,118.47,118.72,117.81,118.47,4613600.0
2019-09-24,118.25,119.86,118.01,118.4,7273100.0
2019-09-23,116.61,118.41,116.56,117.62,5162500.0
2019-09-20,117.35,117.64,116.8,116.98,11332400.0
2019-09-19,117.4,117.81,116.77,117.11,3380600.0
2019-09-18,116.91,117.23,116.18,117.16,3956000.0
2019-09-17,115.32,116.69,115.25,116.51,4604500.0
2019-09-16,116.54,117.17,115.38,115.57,6090300.0
2019-09-13,117.16,118.19,116.95,117.43,5638600.0
2019-09-12,116.65,117.07,115.9,116.92,4474300.0
2019-09-11,116.0,116.7,115.22,116.02,5284100.0
2019-09-10,115.99,116.96,115.48,116.05,4857400.0
2019-09-09,114.5,116.61,114.4,116.33,5973700.0
2019-09-06,115.44,115.75,114.62,114.73,4346400.0
2019-09-05,117.67,117.96,115.27,115.44,5826400.0
2019-09-04,115.69,115.96,114.82,115.91,5782900.0
2019-09-03,113.68,115.31,113.49,114.64,5942700.0
2019-08-30,115.0,115.38,113.9,114.26,5705300.0
2019-08-29,114.2,114.59,113.31,114.08,5270500.0
2019-08-28,112.28,113.08,111.68,112.72,5371000.0
2019-08-27,112.42,112.81,111.51,112.42,5733700.0
2019-08-26,111.56,112.27,111.22,111.99,5935700.0
2019-08-23,111.62,111.91,110.13,110.83,6236700.0
2019-08-22,112.2,112.79,111.35,111.91,5995400.0
2019-08-21,113.98,114.07,111.88,112.02,8156400.0
2019-08-20,113.86,114.04,112.01,112.05,6112300.0
2019-08-19,114.35,114.78,113.6,113.81,7178100.0
2019-08-16,114.08,114.93,110.16,112.99,10965200.0
2019-08-15,112.53,113.64,110.16,112.69,19812900.0
2019-08-14,105.48,108.06,105.14,106.2,9312800.0
2019-08-13,105.25,108.0949,104.85,107.41,6675300.0
2019-08-12,106.72,106.84,104.84,105.22,5868400.0
2019-08-09,108.06,108.46,106.71,107.28,4193500.0
2019-08-08,108.01,108.84,107.77,108.52,4374400.0
2019-08-07,107.02,108.6379,105.92,108.2,7278500.0
2019-08-06,106.19,107.84,105.59,107.27,7016400.0
2019-08-05,108.005,108.0,105.59,105.82,7570000.0
2019-08-02,109.74,110.14,108.15,109.4,5656700.0
2019-08-01,110.32,112.17,109.32,109.38,7455000.0
2019-07-31,111.91,112.34,109.63,110.38,6211300.0
2019-07-30,112.06,112.4,111.67,112.06,3035200.0
2019-07-29,112.84,112.98,111.76,112.27,3746600.0
2019-07-26,112.12,113.34,111.82,113.02,4729000.0
2019-07-25,112.18,112.3981,111.66,112.22,3851500.0
2019-07-24,112.03,112.79,111.57,112.0,4177300.0
2019-07-23,113.12,113.2,111.57,112.09,5754200.0
2019-07-22,114.1,114.34,112.32,112.82,4516900.0
