,open,high,low,close,volume
2019-10-25,28.92,29.39,28.6,29.06,3827991.0
2019-10-24,29.48,29.5,28.89,29.14,3813300.0
2019-10-23,29.07,29.52,29.03,29.51,3062400.0
2019-10-22,28.74,29.25,28.58,29.13,2812800.0
2019-10-21,28.46,28.73,28.45,28.73,2482500.0
2019-10-18,28.13,28.48,28.0,28.28,3495400.0
2019-10-17,27.74,28.21,27.71,28.02,3867500.0
2019-10-16,27.16,27.71,27.16,27.7,3458300.0
2019-10-15,27.15,27.39,27.11,27.23,2137500.0
2019-10-14,27.08,27.24,26.94,27.17,1531100.0
2019-10-11,26.92,27.49,26.91,27.13,3730000.0
2019-10-10,26.57,26.81,26.51,26.66,2487900.0
2019-10-09,26.52,26.77,26.5,26.62,2240200.0
2019-10-08,26.9,26.9,26.24,26.36,2821500.0
2019-10-07,26.95,27.16,26.78,27.01,2279600.0
2019-10-04,26.94,27.11,26.81,27.02,2810600.0
2019-10-03,26.69,26.95,26.35,26.94,2960600.0
2019-10-02,27.21,27.21,26.51,26.73,3580300.0
2019-10-01,27.7,27.92,27.24,27.25,2639500.0
2019-09-30,27.88,27.98,27.64,27.7,2462800.0
2019-09-27,28.0,28.07,27.59,27.79,2337800.0
2019-09-26,27.91,28.05,27.67,27.9,1755700.0
2019-09-25,27.54,27.92,27.54,27.84,2593100.0
2019-09-24,27.69,27.76,27.39,27.55,3000900.0
2019-09-23,27.41,27.87,27.37,27.62,3083000.0
2019-09-20,27.89,27.96,27.48,27.64,4954800.0
2019-09-19,27.81,28.02,27.66,27.79,2261600.0
2019-09-18,27.86,27.94,27.64,27.82,3159900.0
2019-09-17,27.81,27.85,27.4,27.83,2041200.0
2019-09-16,27.27,27.62,27.13,27.59,3182800.0
2019-09-13,27.92,28.06,27.35,27.41,4078600.0
2019-09-12,28.13,28.21,27.72,27.87,3343600.0
2019-09-11,27.28,28.0,27.26,27.99,3965300.0
2019-09-10,26.83,27.42,26.81,27.34,3101500.0
2019-09-09,26.71,26.94,26.64,26.88,3960600.0
2019-09-06,26.6,26.83,26.52,26.71,4290900.0
2019-09-05,26.48,26.79,26.4,26.59,3739900.0
2019-09-04,26.54,26.72,26.47,26.62,3061400.0
2019-09-03,26.19,26.42,26.03,26.4,2833800.0
2019-08-30,26.15,26.5,26.06,26.31,4557900.0
2019-08-29,25.85,26.32,25.78,26.11,2982500.0
2019-08-28,25.01,25.66,24.98,25.65,4236000.0
2019-08-27,25.64,25.71,25.03,25.05,3278400.0
2019-08-26,25.25,25.45,25.09,25.45,2518000.0
2019-08-23,25.54,25.92,25.03,25.12,4285200.0
2019-08-22,25.58,25.72,25.33,25.64,2374900.0
2019-08-21,25.26,25.55,25.1,25.5,2687900.0
2019-08-20,25.19,25.21,24.93,25.03,2583000.0
2019-08-19,25.33,25.35,25.03,25.18,3058900.0
2019-08-16,24.84,25.26,24.39,25.16,2966800.0
2019-08-15,24.521,24.85,24.39,24.78,2657400.0
2019-08-14,24.89,24.93,24.47,24.5,3057200.0
2019-08-13,24.7008,25.26,24.57,25.09,2918300.0
2019-08-12,24.7889,25.08,24.555,24.71,2651800.0
2019-08-09,25.04,25.13,24.54,24.74,3535800.0
2019-08-08,24.68,25.15,24.432,25.14,3244900.0
2019-08-07,24.11,24.745,24.02,24.68,3418200.0
2019-08-06,24.55,24.67,24.09,24.36,4823900.0
2019-08-05,24.62,24.84,24.25,24.47,4347900.0
2019-08-02,25.0,25.29,24.88,25.1,4680600.0
2019-08-01,25.35,25.6,24.98,25.03,7103000.0
2019-07-31,26.02,26.1,25.26,25.41,3692200.0
2019-07-30,25.62,26.14,25.4,26.09,2874100.0
2019-07-29,26.26,26.43,25.09,25.84,4432600.0
2019-07-26,25.45,26.4,25.31,26.21,4950600.0
2019-07-25,25.6,25.62,25.01,25.07,4246200.0
2019-07-24,25.33,25.58,25.22,25.54,2503700.0
2019-07-23,25.16,25.4706,25.16,25.37,2571400.0
2019-07-22,25.15,25.28,25.01,25.14,1643800.0
2019-07-19,25.11,25.41,25.06,25.09,3064000.0
2019-07-18,25.26,25.3,24.94,25.1,3041100.0
2019-07-17,25.66,25.77,25.13,25.3,3497700.0
2019-07-16,25.47,25.86,25.34,25.74,3419300.0
2019-07-15,25.54,25.63,25.36,25.54,2265400.0
2019-07-12,25.78,25.839,25.39,25.54,2894100.0
2019-07-11,26.27,26.32,25.61,25.81,3151700.0
2019-07-10,26.5,26.5,26.19,26.31,3195200.0
2019-07-09,26.2821,26.4,26.06,26.29,2955000.0
2019-07-08,26.55,26.63,26.34,26.43,3638900.0
2019-07-05,26.62,26.67,26.27,26.61,2865000.0
2019-07-03,26.6984,26.88,26.53,26.85,1897800.0
2019-07-02,26.37,26.55,26.22,26.52,3779400.0
2019-07-01,26.5,26.67,26.06,26.4,5151000.0
2019-06-28,25.9498,26.455,25.95,26.34,5349400.0
2019-06-27,25.59,26.16,25.59,25.97,4521900.0
2019-06-26,25.61,25.7387,25.27,25.45,6478500.0
2019-06-25,25.71,26.035,25.56,25.56,6399800.0
2019-06-24,26.09,26.215,25.73,25.83,6334300.0
2019-06-21,26.54,26.55,25.82,26.15,9537000.0
2019-06-20,26.24,26.6306,26.15,26.56,7183800.0
2019-06-19,26.0092,26.18,25.84,26.06,6373100.0
2019-06-18,25.77,26.36,25.7719,25.98,5797100.0
2019-06-17,25.68,25.925,25.53,25.67,5095200.0
2019-06-14,25.41,26.16,25.3615,25.71,6294400.0
2019-06-13,25.05,25.485,24.965,25.28,5326400.0
2019-06-12,24.45,25.135,24.36,25.06,5125300.0
2019-06-11,24.35,24.67,24.169,24.47,4968300.0
2019-06-10,23.92,24.44,23.92,24.11,7680900.0
2019-06-07,23.2,23.88,22.95,23.79,9135500.0
2019-06-06,23.07,23.26,22.845,23.1,7765200.0
