,open,high,low,close,volume
2019-10-25,44.56,46.12,44.02,45.99,1446000.0
2019-10-24,44.8,45.43,44.03,44.76,1361500.0
2019-10-23,43.4,45.05,42.56,44.57,1271600.0
2019-10-22,42.64,43.9,42.01,43.42,1506100.0
2019-10-21,41.3,42.72,40.86,42.55,1173100.0
2019-10-18,42.68,43.44,41.3,41.33,1572100.0
2019-10-17,43.31,43.76,42.35,42.69,1544000.0
2019-10-16,43.46,45.1,43.24,43.38,1334200.0
2019-10-15,44.4,45.07,42.89,43.49,1687600.0
2019-10-14,44.23,44.95,42.78,44.66,1572000.0
2019-10-11,45.44,46.17,44.55,45.32,1552800.0
2019-10-10,43.66,45.12,43.17,44.86,2355100.0
2019-10-09,44.71,44.71,42.83,43.31,1958400.0
2019-10-08,44.54,45.3,43.85,43.93,1934700.0
2019-10-07,46.71,46.8,45.09,45.32,1192100.0
2019-10-04,46.42,47.54,45.65,46.63,1420000.0
2019-10-03,45.12,46.82,44.64,46.78,2387200.0
2019-10-02,45.06,46.69,44.24,45.69,2334200.0
2019-10-01,48.29,48.45,45.2,45.32,1975600.0
2019-09-30,47.48,48.29,47.17,47.94,1140300.0
2019-09-27,45.88,48.22,45.84,47.86,1312500.0
2019-09-26,46.42,47.01,45.96,46.72,1506600.0
2019-09-25,47.72,48.19,46.38,46.89,1976400.0
2019-09-24,50.22,50.31,48.1,48.18,1881900.0
2019-09-23,49.95,51.21,49.55,50.79,1374500.0
2019-09-20,50.97,51.28,50.33,50.71,2542700.0
2019-09-19,51.15,51.52,50.26,50.82,1610800.0
2019-09-18,50.0,50.78,49.27,50.75,1697200.0
2019-09-17,53.35,53.52,50.28,50.84,4202300.0
2019-09-16,52.24,54.36,48.77,53.77,7417900.0
2019-09-13,45.2,48.04,44.95,47.95,3008100.0
2019-09-12,44.16,45.33,43.35,44.31,1538100.0
2019-09-11,45.74,46.45,44.34,46.0,1628900.0
2019-09-10,44.91,46.83,44.79,45.06,2163500.0
2019-09-09,43.0,44.96,43.0,44.82,1744300.0
2019-09-06,42.66,42.66,41.2,42.27,1665100.0
2019-09-05,42.94,44.4,42.77,43.18,2166900.0
2019-09-04,42.27,42.89,41.67,42.18,1829300.0
2019-09-03,41.62,41.76,40.32,41.18,1997300.0
2019-08-30,42.27,43.06,41.37,42.78,2656300.0
2019-08-29,41.75,42.58,41.27,42.31,2690400.0
2019-08-28,38.05,41.99,37.7,41.6,4219400.0
2019-08-27,38.38,38.67,37.19,37.63,1505800.0
2019-08-26,38.87,39.31,37.92,38.12,966400.0
2019-08-23,39.33,39.88,37.9,38.11,1506600.0
2019-08-22,40.86,41.16,40.19,40.21,977100.0
2019-08-21,41.08,41.53,40.22,40.65,1388600.0
2019-08-20,41.64,41.65,40.49,40.5,1251000.0
2019-08-19,41.87,42.58,40.95,41.9,1745700.0
2019-08-16,38.63,41.3,37.89,41.05,2572300.0
2019-08-15,38.25,38.82,37.89,38.5,2104700.0
2019-08-14,41.0,41.33,38.31,38.34,2668200.0
2019-08-13,40.82,43.53,40.23,42.39,2565900.0
2019-08-12,42.69,43.16,40.86,41.0,1937000.0
2019-08-09,44.44,44.44,42.8932,43.02,1940500.0
2019-08-08,44.24,44.79,43.3,44.14,2472900.0
2019-08-07,42.58,44.24,41.31,43.54,2885200.0
2019-08-06,45.51,46.53,41.09,43.95,4196100.0
2019-08-05,45.65,45.65,44.41,44.92,2343900.0
2019-08-02,47.63,48.38,46.07,46.65,1685100.0
2019-08-01,48.69,49.3735,46.75,47.22,2382600.0
