,open,high,low,close,volume
2019-10-25,64.67,64.99,63.33,63.64,2997517.0
2019-10-24,64.97,65.14,64.05,64.54,2579100.0
2019-10-23,64.16,64.59,64.11,64.44,3298200.0
2019-10-22,64.59,64.63,64.08,64.21,2511300.0
2019-10-21,64.16,64.31,63.66,64.29,1797900.0
2019-10-18,63.8,64.14,63.33,64.01,2500400.0
2019-10-17,63.42,63.89,63.29,63.67,1787300.0
2019-10-16,63.19,63.52,62.8,63.49,2199500.0
2019-10-15,63.32,63.63,62.87,63.15,2027300.0
2019-10-14,63.71,63.77,63.05,63.28,2297700.0
2019-10-11,63.83,63.93,63.04,63.33,2634700.0
2019-10-10,63.5,64.17,63.13,63.95,2078900.0
2019-10-09,63.66,64.19,63.56,63.92,1920400.0
2019-10-08,64.28,64.34,63.56,63.59,2774000.0
2019-10-07,64.4,64.49,64.02,64.28,2712400.0
2019-10-04,63.56,64.81,63.55,64.63,2720700.0
2019-10-03,63.64,63.64,62.92,63.47,4143000.0
2019-10-02,64.97,65.0,62.99,63.34,7591600.0
2019-10-01,64.75,65.05,64.18,64.95,3453000.0
2019-09-30,64.86,65.51,64.69,64.89,3900900.0
2019-09-27,65.66,65.84,64.85,65.36,2375000.0
2019-09-26,65.38,65.83,64.96,65.57,3874300.0
2019-09-25,65.35,65.45,64.7,65.05,3634300.0
2019-09-24,64.94,65.68,64.69,65.43,5654400.0
2019-09-23,64.81,65.02,64.44,64.6,2867400.0
2019-09-20,64.12,64.79,64.02,64.62,5853800.0
2019-09-19,64.04,64.33,63.89,64.26,1771600.0
2019-09-18,64.01,64.16,63.41,64.01,3636800.0
2019-09-17,63.23,63.93,63.05,63.73,4718200.0
2019-09-16,62.71,63.02,62.28,62.83,5341300.0
2019-09-13,62.9,63.29,62.52,62.61,2836300.0
2019-09-12,63.42,63.85,62.71,63.07,3588300.0
2019-09-11,62.95,63.73,62.48,63.25,3423000.0
2019-09-10,63.16,63.41,62.19,62.99,4748500.0
2019-09-09,64.66,64.71,63.31,63.39,4850400.0
2019-09-06,65.38,65.52,64.52,64.8,2468700.0
2019-09-05,65.55,65.66,64.76,65.15,2742300.0
2019-09-04,65.81,66.05,65.36,65.82,2514300.0
2019-09-03,64.34,65.57,64.22,65.53,2921400.0
2019-08-30,64.74,64.91,64.07,64.22,3159200.0
2019-08-29,64.23,64.63,63.66,64.6,2724800.0
2019-08-28,64.14,64.53,63.71,63.98,3152200.0
2019-08-27,63.8,64.41,63.75,63.99,3000600.0
2019-08-26,62.65,63.55,62.46,63.54,2575300.0
2019-08-23,63.37,63.68,62.04,62.45,3868700.0
2019-08-22,63.01,63.41,62.68,63.28,3160800.0
2019-08-21,62.34,63.03,62.2,63.0,2238000.0
2019-08-20,62.35,62.51,61.77,62.4,4625200.0
2019-08-19,61.83,62.52,61.58,62.15,2501700.0
2019-08-16,61.61,62.17,61.46,61.8,2257500.0
2019-08-15,60.74,61.7,60.5,61.53,3659100.0
2019-08-14,61.53,61.64,60.57,60.78,3552300.0
2019-08-13,61.39,61.7,60.86,61.38,2604300.0
2019-08-12,61.94,62.02,61.21,61.53,2653200.0
2019-08-09,61.61,62.02,61.37,61.77,2280300.0
2019-08-08,60.82,61.8,60.09,61.64,2758200.0
2019-08-07,60.52,61.14,59.5,60.79,4007300.0
2019-08-06,59.41,60.71,58.94,60.43,3267400.0
2019-08-05,60.07,60.96,59.42,59.63,4839800.0
2019-08-02,60.89,61.33,59.69,59.82,4318200.0
2019-08-01,58.9,61.22,58.74,60.76,5748000.0
2019-07-31,60.35,60.72,59.14,59.61,6127800.0
2019-07-30,60.61,61.31,60.23,60.59,2328300.0
2019-07-29,60.79,61.17,60.59,60.98,2849300.0
2019-07-26,60.22,60.76,60.1,60.51,7061100.0
2019-07-25,60.371,60.7,59.93,60.19,2940200.0
2019-07-24,60.64,60.65,59.98,60.46,2629500.0
2019-07-23,60.87,60.87,60.0,60.41,2902700.0
2019-07-22,60.89,60.95,60.24,60.71,2982900.0
2019-07-19,61.9,62.03,60.74,60.77,3717400.0
2019-07-18,61.42,61.98,60.93,61.93,2218200.0
2019-07-17,61.37,61.66,61.12,61.28,2803700.0
2019-07-16,61.05,61.32,60.68,61.0,3085300.0
2019-07-15,60.83,61.26,60.52,61.18,2198200.0
2019-07-12,61.25,61.3,60.56,60.8,2064100.0
2019-07-11,61.0,61.52,60.51,61.19,3103300.0
2019-07-10,61.14,61.54,60.92,61.17,2468800.0
2019-07-09,60.82,60.93,60.5,60.89,2394600.0
2019-07-08,60.56,60.98,60.43,60.85,1765000.0
2019-07-05,60.13,60.78,59.39,60.69,1838500.0
2019-07-03,60.38,61.08,60.275,60.71,1363400.0
2019-07-02,59.59,60.24,59.46,60.15,2088000.0
2019-07-01,59.7,59.7,58.8,59.43,2503800.0
2019-06-28,59.33,59.84,59.11,59.49,3793600.0
2019-06-27,59.45,59.705,59.005,59.28,2978000.0
2019-06-26,60.72,61.1,59.38,59.45,6044500.0
2019-06-25,61.32,61.41,60.73,60.99,3847700.0
2019-06-24,61.9712,61.97,61.14,61.27,3051500.0
2019-06-21,61.27,61.63,60.64,61.54,5244200.0
2019-06-20,61.13,61.52,60.62,61.31,3489700.0
2019-06-19,59.77,61.0,59.77,60.81,3489700.0
2019-06-18,60.29,60.4,59.615,60.08,4299700.0
2019-06-17,60.22,60.33,59.48,59.88,2721500.0
2019-06-14,59.5209,60.16,59.33,60.03,3163100.0
2019-06-13,59.29,59.52,58.95,59.45,2787700.0
2019-06-12,58.98,59.63,58.69,59.52,1870000.0
2019-06-11,59.2,59.33,58.36,58.69,1832100.0
2019-06-10,59.36,59.41,58.83,59.26,2051200.0
2019-06-07,60.12,60.56,59.38,59.43,2857600.0
2019-06-06,59.47,59.885,59.24,59.8,1642200.0
