,open,high,low,close,volume
2019-10-25,93.37,95.09,92.64,94.9,3158309.0
2019-10-24,92.2,95.5,91.8,93.12,6455400.0
2019-10-23,94.75,95.39,93.31,93.83,5680800.0
2019-10-22,95.25,96.83,95.25,95.98,4291000.0
2019-10-21,95.16,95.49,94.36,95.06,2512000.0
2019-10-18,94.94,95.5,93.09,94.34,2226600.0
2019-10-17,95.55,96.5,94.5,94.91,2065500.0
2019-10-16,96.79,97.52,94.09,94.63,3406100.0
2019-10-15,96.24,97.45,95.89,96.97,2783600.0
2019-10-14,98.31,98.86,95.56,95.93,3742800.0
2019-10-11,95.12,98.15,94.93,96.22,4844800.0
2019-10-10,90.61,94.32,90.5,92.81,2854000.0
2019-10-09,90.7,91.21,89.67,90.48,3188300.0
2019-10-08,92.0,92.01,89.22,89.27,4034900.0
2019-10-07,94.01,94.36,92.53,92.63,2441700.0
2019-10-04,92.49,94.47,91.9,94.24,3217400.0
2019-10-03,92.77,92.8,90.89,92.49,3722800.0
2019-10-02,91.63,93.62,90.47,92.45,4694400.0
2019-10-01,94.3,94.66,90.87,92.04,7621900.0
2019-09-30,96.27,96.56,95.23,95.9,3965900.0
2019-09-27,96.95,98.29,95.24,95.95,2504400.0
2019-09-26,97.73,98.16,96.11,97.24,2419100.0
2019-09-25,96.12,97.52,94.39,97.19,3488800.0
2019-09-24,98.98,99.48,95.4,96.12,3443700.0
2019-09-23,96.14,99.32,95.16,98.05,3821800.0
2019-09-20,98.81,99.93,95.39,96.55,11012000.0
2019-09-19,105.0,106.25,103.27,103.62,1909200.0
2019-09-18,104.46,105.06,102.79,104.92,2013600.0
2019-09-17,103.83,104.51,103.2,104.28,1868700.0
2019-09-16,103.9,104.64,102.67,104.39,1375000.0
2019-09-13,106.02,106.63,105.11,105.24,1591100.0
2019-09-12,106.53,107.79,104.75,105.03,3841700.0
2019-09-11,106.77,107.4,104.03,105.05,3136500.0
2019-09-10,105.45,106.95,104.06,106.72,2494700.0
2019-09-09,106.5,107.15,104.98,105.51,1866900.0
2019-09-06,105.42,107.37,105.21,105.94,2650000.0
2019-09-05,104.24,107.5,104.24,105.3,3445800.0
2019-09-04,101.95,103.03,101.61,102.29,2003100.0
2019-09-03,102.66,103.18,99.81,100.4,3216500.0
2019-08-30,104.43,105.19,103.29,104.06,1938600.0
2019-08-29,102.43,105.11,102.43,103.45,3291700.0
2019-08-28,99.96,100.91,98.64,100.83,2249100.0
2019-08-27,102.55,103.05,99.8,100.22,2746500.0
2019-08-26,100.87,102.4,98.0,101.79,3320500.0
2019-08-23,103.88,104.84,100.3,100.97,4078500.0
2019-08-22,106.32,106.34,103.33,104.43,1981500.0
2019-08-21,105.97,106.54,104.74,106.09,1552600.0
2019-08-20,107.0,107.17,103.81,105.1,3417900.0
2019-08-19,108.07,109.37,106.74,106.91,2322300.0
2019-08-16,105.31,106.45,104.9,105.46,2531400.0
2019-08-15,104.27,104.53,102.83,103.8,2171000.0
2019-08-14,103.51,104.43,102.59,102.98,3002300.0
2019-08-13,103.0,107.78,101.65,106.43,3310800.0
2019-08-12,103.22,104.97,102.4843,103.18,2638500.0
2019-08-09,109.0,109.0,104.14,104.23,4415400.0
2019-08-08,106.32,109.91,105.41,109.84,3338700.0
2019-08-07,104.77,106.36,104.0,104.92,3732100.0
2019-08-06,108.5,109.47,105.2,105.66,3018300.0
2019-08-05,106.98,108.45,106.14,107.01,4108300.0
2019-08-02,112.2067,113.98,109.21,110.18,4450900.0
2019-08-01,114.31,117.64,111.76,113.46,5335800.0
2019-07-31,119.51,119.7864,112.87,114.21,5125500.0
2019-07-30,119.8289,121.04,118.72,119.51,2404900.0
2019-07-29,120.78,122.16,119.79,120.55,2770300.0
2019-07-26,127.71,127.87,120.47,120.77,5831400.0
2019-07-25,125.01,131.29,124.25,127.59,7457600.0
2019-07-24,127.39,133.0,125.86,132.14,6356300.0
2019-07-23,124.39,128.01,123.91,127.28,3043700.0
2019-07-22,122.7379,124.95,122.7,124.23,2073100.0
2019-07-19,123.0,124.48,122.57,122.7,2434200.0
2019-07-18,120.66,123.91,120.31,122.86,2907500.0
2019-07-17,121.26,122.53,120.2,120.91,1727700.0
2019-07-16,121.06,121.78,119.26,121.23,2050600.0
2019-07-15,120.69,121.85,120.2,121.66,1407300.0
2019-07-12,118.3651,120.59,118.37,120.32,2183500.0
2019-07-11,118.52,118.6,116.51,118.37,1880000.0
2019-07-10,118.31,119.07,116.76,117.49,2062600.0
2019-07-09,114.83,117.47,114.42,117.34,2081400.0
2019-07-08,114.95,116.04,114.17,115.93,1431600.0
2019-07-05,115.9618,116.32,114.72,116.11,1747400.0
2019-07-03,117.77,118.29,114.135,116.39,2627900.0
2019-07-02,120.65,120.83,117.3193,117.6,3113500.0
2019-07-01,122.3,123.3741,120.07,121.15,4280500.0
2019-06-28,118.31,118.4,115.91,117.92,4524900.0
2019-06-27,114.65,118.34,114.65,118.18,4137900.0
2019-06-26,112.15,115.485,112.0569,114.23,3186100.0
2019-06-25,112.35,113.48,109.68,109.95,2829400.0
2019-06-24,112.82,114.13,112.18,112.69,1974600.0
2019-06-21,114.05,114.18,112.13,112.14,4518400.0
2019-06-20,114.35,114.76,112.8,114.76,2948900.0
2019-06-19,112.11,112.5,110.51,111.84,2631900.0
2019-06-18,105.89,112.17,104.95,111.78,5151100.0
2019-06-17,105.41,106.06,104.32,104.53,1910500.0
2019-06-14,104.6,106.33,103.6276,105.42,3032800.0
2019-06-13,109.0,109.69,107.51,108.35,2606900.0
2019-06-12,110.77,110.9,107.8659,107.94,2239600.0
2019-06-11,113.01,114.01,111.03,111.67,3571200.0
2019-06-10,109.1,112.18,109.02,110.88,3689600.0
2019-06-07,106.58,107.76,105.44,107.49,2548700.0
2019-06-06,105.21,106.15,103.84,106.01,2789300.0
