,open,high,low,close,volume
2019-10-25,68.9,69.48,68.9,69.25,6220708.0
2019-10-24,69.96,70.05,69.02,69.09,9003600.0
2019-10-23,68.96,69.76,68.78,69.75,8641800.0
2019-10-22,68.78,69.76,68.65,69.09,9536000.0
2019-10-21,67.82,68.77,67.82,68.74,10199300.0
2019-10-18,67.87,68.15,67.61,67.61,13472700.0
2019-10-17,68.48,68.88,68.08,68.14,9757200.0
2019-10-16,69.21,69.53,68.21,68.23,9765800.0
2019-10-15,69.06,70.0,69.01,69.42,6645700.0
2019-10-14,68.6,69.37,68.59,69.18,6234600.0
2019-10-11,68.98,69.49,68.89,68.98,10101900.0
2019-10-10,67.43,68.36,67.38,68.25,7100100.0
2019-10-09,67.3,67.7,67.2,67.44,8580900.0
2019-10-08,67.54,67.92,66.64,66.7,9748700.0
2019-10-07,68.7,69.03,68.02,68.02,10993000.0
2019-10-04,68.11,69.07,67.82,68.97,10534800.0
2019-10-03,67.0,68.0,66.31,67.98,10788400.0
2019-10-02,68.27,68.59,67.01,67.15,14503700.0
2019-10-01,70.83,70.91,68.91,68.95,10279100.0
2019-09-30,71.24,71.45,70.58,70.61,9768900.0
2019-09-27,70.7,71.67,70.63,71.48,8224000.0
2019-09-26,71.22,71.35,70.68,70.97,8420200.0
2019-09-25,70.98,71.47,70.82,71.35,8035200.0
2019-09-24,71.81,71.87,70.82,71.14,13307100.0
2019-09-23,71.52,72.36,71.46,72.13,7495200.0
2019-09-20,72.49,72.5,71.86,72.08,19736600.0
2019-09-19,72.97,73.19,72.19,72.33,8050200.0
2019-09-18,72.65,72.97,72.33,72.82,7292200.0
2019-09-17,73.82,74.08,72.63,73.17,14452200.0
2019-09-16,75.04,75.18,73.6,73.73,19830200.0
2019-09-13,72.26,72.72,72.06,72.64,7337200.0
2019-09-12,70.98,72.16,70.7,71.98,9100700.0
2019-09-11,72.78,72.84,71.55,71.93,10525700.0
2019-09-10,72.14,72.85,71.62,72.07,13810800.0
2019-09-09,71.16,72.07,70.98,71.49,12840200.0
2019-09-06,70.35,70.95,70.12,70.93,10418500.0
2019-09-05,69.84,70.55,69.7,70.27,9901500.0
2019-09-04,69.5,69.61,69.09,69.29,6959200.0
2019-09-03,67.89,68.68,67.63,68.56,9849700.0
2019-08-30,68.61,69.08,68.06,68.48,9180800.0
2019-08-29,68.3,68.67,68.09,68.43,9004100.0
2019-08-28,67.53,67.98,67.16,67.68,9647400.0
2019-08-27,68.13,68.44,66.97,67.19,9490900.0
2019-08-26,68.12,68.26,67.53,67.85,7343900.0
2019-08-23,68.82,69.53,67.03,67.49,15371900.0
2019-08-22,69.91,69.96,69.25,69.57,8972000.0
2019-08-21,69.96,69.98,69.37,69.72,10134200.0
2019-08-20,69.3,69.3,68.71,69.03,9743500.0
2019-08-19,68.97,69.65,68.86,69.45,10032800.0
2019-08-16,67.78,68.46,66.53,68.3,12649000.0
2019-08-15,67.46,67.5599,66.53,67.25,12874400.0
2019-08-14,69.07,69.09,67.65,67.65,18114400.0
2019-08-13,69.27,70.62,68.9243,70.49,12403300.0
2019-08-12,70.06,70.16,69.33,69.63,9542600.0
2019-08-09,72.13,72.25,70.47,70.84,13686600.0
2019-08-08,70.85,72.41,70.628,72.38,14304100.0
2019-08-07,69.86,70.875,69.4,70.5,15231100.0
2019-08-06,70.29,71.01,70.28,70.96,12282400.0
2019-08-05,70.78,70.92,69.61,70.28,19080900.0
2019-08-02,72.61,73.26,71.18,71.75,21376700.0
2019-08-01,73.74,74.27,72.27,72.46,17132800.0
2019-07-31,75.04,75.66,74.26,74.36,13104600.0
2019-07-30,75.06,75.56,74.89,75.35,6961200.0
2019-07-29,74.88,75.38,74.7,75.34,7091900.0
2019-07-26,74.87,75.08,74.6,74.81,7677300.0
2019-07-25,75.78,75.78,74.8,74.93,9083900.0
2019-07-24,75.39,76.05,74.85,75.36,8260200.0
2019-07-23,75.15,75.77,74.75,75.37,8551200.0
2019-07-22,75.24,75.3,74.4975,75.07,8368800.0
2019-07-19,74.9,75.25,74.54,74.99,11243100.0
2019-07-18,75.03,75.2684,74.18,74.84,11424500.0
2019-07-17,75.74,75.9666,75.35,75.48,7419300.0
2019-07-16,76.92,77.07,75.79,75.93,10197400.0
2019-07-15,77.63,77.74,76.8934,77.08,7116400.0
2019-07-12,77.75,77.88,77.5,77.63,6139000.0
2019-07-11,77.414,77.61,77.05,77.57,6404000.0
2019-07-10,76.799,77.63,76.74,77.51,8077400.0
2019-07-09,76.45,76.77,75.73,76.43,7863000.0
2019-07-08,76.14,76.7,75.92,76.48,7876100.0
2019-07-05,76.19,76.35,75.59,76.13,6880800.0
2019-07-03,75.82,76.5,75.625,76.44,5246100.0
2019-07-02,76.14,76.27,75.41,75.72,10475400.0
2019-07-01,77.13,77.925,76.29,76.56,11437900.0
2019-06-28,76.19,76.73,75.941,76.63,14781300.0
2019-06-27,76.59,76.7485,75.76,75.82,8147800.0
2019-06-26,76.68,77.13,76.47,76.6,11365500.0
2019-06-25,77.08,77.22,76.19,76.27,9740000.0
2019-06-24,77.53,77.76,76.81,76.95,10011800.0
2019-06-21,77.14,77.76,76.87,77.69,23108100.0
