,open,high,low,close,volume
2019-10-25,30.28,30.7,30.25,30.51,1028195.0
2019-10-24,30.84,30.99,30.29,30.38,1101700.0
2019-10-23,30.1,30.73,29.93,30.68,1517400.0
2019-10-22,29.94,30.51,29.83,30.36,1167000.0
2019-10-21,29.98,30.32,29.9,29.96,1133600.0
2019-10-18,29.42,29.98,29.42,29.8,1558500.0
2019-10-17,29.54,29.68,29.34,29.57,723500.0
2019-10-16,29.73,29.98,29.36,29.45,1527100.0
2019-10-15,29.33,30.06,29.3,29.84,1295600.0
2019-10-14,29.35,29.41,29.05,29.26,1281700.0
2019-10-11,29.23,29.8,29.12,29.41,1987700.0
2019-10-10,28.75,29.23,28.73,28.82,1221600.0
2019-10-09,28.59,28.94,28.35,28.76,1214300.0
2019-10-08,29.51,29.66,28.29,28.31,2070000.0
2019-10-07,29.46,30.11,29.33,29.83,1906000.0
2019-10-04,29.44,29.68,28.97,29.59,1428400.0
2019-10-03,28.89,29.35,28.6,29.33,1396500.0
2019-10-02,29.17,29.29,28.64,28.97,1493100.0
2019-10-01,30.17,30.61,29.47,29.47,1919600.0
2019-09-30,30.39,30.71,29.89,29.91,2227200.0
2019-09-27,30.37,30.81,30.24,30.33,1813600.0
2019-09-26,30.0,30.4,29.61,30.39,2879300.0
2019-09-25,29.58,30.15,29.58,30.0,1010600.0
2019-09-24,29.98,30.19,29.34,29.51,1399900.0
2019-09-23,29.57,30.15,29.39,29.83,1763900.0
2019-09-20,30.4,30.65,29.63,29.64,3137800.0
2019-09-19,30.71,30.87,30.15,30.2,1245800.0
2019-09-18,30.76,30.76,30.13,30.58,1288000.0
2019-09-17,30.72,30.85,30.25,30.73,1011400.0
2019-09-16,30.69,31.1,30.4,31.06,1265900.0
2019-09-13,30.62,31.04,30.54,30.82,1368000.0
2019-09-12,31.11,31.36,30.11,30.47,2400200.0
2019-09-11,31.26,31.49,30.46,31.23,1705000.0
2019-09-10,31.38,31.62,31.14,31.3,2014300.0
2019-09-09,30.1,31.56,30.09,31.3,2916900.0
2019-09-06,29.78,30.15,29.68,29.85,1493600.0
2019-09-05,29.63,30.26,29.63,29.85,1774700.0
2019-09-04,29.4,29.74,29.08,29.31,1405400.0
2019-09-03,28.6,29.21,28.54,29.11,2431400.0
2019-08-30,29.11,29.44,28.83,28.99,2053600.0
2019-08-29,28.24,28.91,28.24,28.79,1505200.0
2019-08-28,27.43,28.07,27.43,27.82,2114700.0
2019-08-27,27.31,28.09,27.25,27.49,2136400.0
2019-08-26,28.16,28.39,27.99,28.1,1604000.0
2019-08-23,28.24,28.62,27.67,27.78,2621000.0
2019-08-22,28.77,29.07,28.56,28.61,2118600.0
2019-08-21,28.47,28.79,28.3,28.59,1588100.0
2019-08-20,28.19,28.43,28.03,28.08,1487800.0
2019-08-19,29.02,29.19,28.3,28.36,1750500.0
2019-08-16,28.22,28.5987,27.4,28.57,1504900.0
2019-08-15,27.59,28.03,27.4028,27.93,2696100.0
2019-08-14,27.7512,28.1,27.46,27.58,2859600.0
2019-08-13,28.0,29.01,27.97,28.35,2068600.0
2019-08-12,27.93,28.11,27.58,28.09,2101400.0
2019-08-09,29.67,29.67,28.18,28.2,2598600.0
2019-08-08,29.42,29.82,29.2098,29.72,1818500.0
2019-08-07,28.91,29.38,28.49,29.25,2015000.0
2019-08-06,29.31,29.52,28.86,29.29,2571200.0
2019-08-05,29.71,29.93,29.1,29.34,2761600.0
2019-08-02,31.52,31.66,30.1,30.58,3903700.0
2019-08-01,32.04,32.71,31.36,31.64,2410400.0
2019-07-31,32.39,32.46,31.33,32.1,5865800.0
2019-07-30,33.56,33.57,32.3,32.78,5448500.0
2019-07-29,34.4,34.4,33.76,33.94,2001800.0
2019-07-26,34.59,34.8,34.41,34.43,1442900.0
2019-07-25,34.96,35.1727,34.47,34.54,2022300.0
2019-07-24,34.54,35.17,34.54,35.09,1962700.0
2019-07-23,34.35,34.75,33.98,34.72,1429000.0
2019-07-22,34.32,34.5,33.94,34.03,1947800.0
2019-07-19,35.29,35.29,34.27,34.29,1827200.0
2019-07-18,34.78,35.24,34.6324,35.2,1391100.0
2019-07-17,35.3027,35.44,34.82,34.86,1795000.0
2019-07-16,35.01,35.64,34.94,35.31,1836000.0
2019-07-15,35.34,35.52,34.7793,35.01,1403000.0
2019-07-12,35.1168,35.59,35.07,35.37,1452500.0
2019-07-11,35.52,35.6,34.69,34.92,1943900.0
2019-07-10,36.07,36.24,35.48,35.48,2126200.0
2019-07-09,35.39,36.02,35.29,35.95,1819800.0
2019-07-08,36.09,36.22,35.52,35.66,1571300.0
2019-07-05,36.0702,36.49,35.81,36.44,1339300.0
2019-07-03,35.88,36.575,35.65,36.48,805900.0
2019-07-02,36.15,36.248,35.45,35.64,1543800.0
2019-07-01,36.08,36.49,35.8509,36.24,2492700.0
2019-06-28,35.44,35.605,35.07,35.41,2775300.0
2019-06-27,35.16,35.41,35.09,35.33,1136600.0
2019-06-26,35.02,35.365,34.96,35.3,1697500.0
2019-06-25,34.79,35.065,34.68,34.76,1940400.0
2019-06-24,35.37,35.62,34.72,34.82,1562000.0
2019-06-21,35.34,35.56,35.2307,35.26,3293000.0
2019-06-20,35.39,35.52,34.98,35.45,2057400.0
2019-06-19,34.97,35.1,34.6,34.96,1863300.0
2019-06-18,34.53,35.08,34.41,34.89,2244100.0
2019-06-17,34.43,34.535,34.1,34.28,1893200.0
2019-06-14,34.9509,34.96,34.37,34.42,1470600.0
2019-06-13,35.01,35.26,34.87,35.17,1883300.0
2019-06-12,34.78,35.23,34.78,34.91,1806800.0
2019-06-11,35.0,35.17,34.65,35.02,1778100.0
2019-06-10,34.2696,35.0,34.27,34.69,1310200.0
2019-06-07,34.13,34.47,33.9931,34.16,1537900.0
2019-06-06,33.53,34.09,33.48,34.03,2033500.0
