,open,high,low,close,volume
2019-10-25,82.46,83.53,82.12,83.3,708407.0
2019-10-24,81.9,83.15,80.93,81.98,736300.0
2019-10-23,81.26,81.97,81.12,81.6,841100.0
2019-10-22,80.84,81.8,80.55,81.27,734700.0
2019-10-21,80.26,81.03,79.91,81.01,810800.0
2019-10-18,78.86,79.92,78.21,79.78,976700.0
2019-10-17,78.64,79.47,78.53,78.81,624300.0
2019-10-16,77.74,78.61,77.41,78.18,857200.0
2019-10-15,77.38,78.83,77.17,78.02,555700.0
2019-10-14,77.33,77.81,76.94,77.01,560600.0
2019-10-11,76.53,78.76,76.37,77.63,667400.0
2019-10-10,74.58,76.24,74.33,75.43,762200.0
2019-10-09,74.25,74.91,73.62,74.57,512200.0
2019-10-08,74.63,74.73,73.31,73.43,727700.0
2019-10-07,75.66,76.41,75.42,75.57,655800.0
2019-10-04,75.22,76.06,74.97,75.97,466700.0
2019-10-03,74.28,75.14,72.87,75.12,937900.0
2019-10-02,75.7,75.97,74.53,74.61,958700.0
2019-10-01,80.09,80.38,76.37,76.83,850600.0
2019-09-30,80.34,80.47,79.58,79.62,748000.0
2019-09-27,79.93,80.43,79.31,80.13,881900.0
2019-09-26,78.66,79.89,78.56,79.33,863100.0
2019-09-25,76.81,78.68,76.71,78.56,605000.0
2019-09-24,77.97,78.59,76.53,76.86,901000.0
2019-09-23,77.02,77.93,76.81,77.54,458100.0
2019-09-20,78.35,78.55,77.3,77.48,1440500.0
2019-09-19,78.3,79.11,77.87,77.95,519400.0
2019-09-18,78.02,78.45,77.56,78.39,763900.0
2019-09-17,78.03,78.46,77.72,78.33,643300.0
2019-09-16,78.22,78.44,77.29,78.06,583800.0
2019-09-13,78.47,79.37,78.05,78.67,759900.0
2019-09-12,79.26,79.45,77.87,78.07,766600.0
2019-09-11,78.55,79.29,78.13,79.29,958400.0
2019-09-10,77.47,78.35,76.92,78.35,714800.0
2019-09-09,78.6,78.6,76.28,77.5,677300.0
2019-09-06,78.28,79.16,78.05,78.39,701000.0
2019-09-05,76.07,78.07,76.07,77.75,525300.0
2019-09-04,75.38,75.99,74.73,75.31,741000.0
2019-09-03,75.84,76.25,74.08,74.64,700100.0
2019-08-30,77.17,77.37,76.23,76.61,637500.0
2019-08-29,76.0,76.99,75.66,76.39,850400.0
2019-08-28,74.06,75.12,73.6,74.99,352800.0
2019-08-27,74.7,74.83,74.02,74.28,583200.0
2019-08-26,74.37,74.4,73.35,74.06,504500.0
2019-08-23,75.14,75.93,73.35,73.74,1039900.0
2019-08-22,76.59,76.67,75.54,75.57,536200.0
2019-08-21,76.92,77.04,75.85,75.97,434100.0
2019-08-20,76.65,76.8,75.88,76.04,513100.0
2019-08-19,77.79,77.79,74.45,76.9,467000.0
2019-08-16,75.45,76.72,74.45,76.57,494400.0
2019-08-15,75.04,75.4514,74.45,75.15,674800.0
2019-08-14,75.95,76.1,74.82,74.88,686200.0
2019-08-13,75.51,77.79,75.01,77.04,458600.0
