,open,high,low,close,volume
2019-10-25,108.83,109.7,108.6,109.1,912381.0
2019-10-24,109.62,109.78,108.73,108.95,1391700.0
2019-10-23,110.12,110.72,108.09,109.27,1849600.0
2019-10-22,112.3,112.3,110.07,110.1,1783800.0
2019-10-21,112.87,113.21,111.31,112.31,1228500.0
2019-10-18,109.99,112.6,109.58,112.3,1952300.0
2019-10-17,111.69,112.33,110.25,110.37,1209900.0
2019-10-16,110.93,111.71,110.5,111.48,1284300.0
2019-10-15,113.37,113.52,110.55,111.3,1740000.0
2019-10-14,114.01,114.75,112.71,112.82,1040400.0
2019-10-11,114.8,115.17,114.03,114.45,1760500.0
2019-10-10,113.0,114.62,112.93,114.33,841200.0
2019-10-09,113.1,113.87,112.84,113.33,946300.0
2019-10-08,113.42,113.42,111.82,112.59,1406500.0
2019-10-07,114.45,114.59,113.66,113.69,991000.0
2019-10-04,113.82,114.95,113.71,114.66,1359800.0
2019-10-03,112.67,114.12,112.23,113.68,1327300.0
2019-10-02,112.36,112.7,111.44,112.67,1445400.0
2019-10-01,113.4,113.42,112.33,112.89,1042700.0
2019-09-30,113.13,113.81,112.72,113.43,1247700.0
2019-09-27,113.31,113.45,112.2,112.99,924700.0
2019-09-26,111.99,113.82,111.99,112.81,1471400.0
2019-09-25,112.16,112.27,111.02,111.51,2403900.0
2019-09-24,114.37,114.51,111.93,112.24,3414400.0
2019-09-23,112.0,114.51,111.51,113.59,1291100.0
2019-09-20,114.34,114.87,112.27,112.3,3256300.0
2019-09-19,114.16,114.74,113.84,114.1,949700.0
2019-09-18,113.37,114.61,113.14,114.58,1955300.0
2019-09-17,111.02,112.9,110.88,112.8,2068000.0
2019-09-16,110.48,111.74,110.18,110.54,1739900.0
2019-09-13,113.17,113.88,110.69,111.36,2477000.0
2019-09-12,114.94,115.95,113.13,113.27,1968500.0
2019-09-11,114.93,115.91,113.16,113.8,1979900.0
2019-09-10,117.11,117.17,113.88,115.27,1889100.0
2019-09-09,119.59,119.59,117.22,117.81,1758600.0
2019-09-06,117.99,119.43,117.75,119.21,1669900.0
2019-09-05,118.58,119.1,117.9,118.16,1375100.0
2019-09-04,117.63,117.89,116.09,117.89,1275100.0
2019-09-03,116.8,117.49,116.28,116.71,1362800.0
2019-08-30,117.9,117.9,116.34,116.78,1154200.0
2019-08-29,117.57,117.72,116.37,117.31,1081500.0
2019-08-28,117.08,117.4,116.44,116.96,879500.0
2019-08-27,117.56,118.17,116.67,116.97,1380400.0
2019-08-26,116.19,117.29,115.97,117.23,1130300.0
2019-08-23,116.98,117.37,114.91,115.31,1800400.0
2019-08-22,117.55,117.99,116.6,117.31,832700.0
2019-08-21,117.03,117.56,116.2,117.23,1065200.0
2019-08-20,116.56,117.71,116.09,116.57,1028400.0
2019-08-19,116.54,116.8,115.34,116.46,1061800.0
2019-08-16,116.454,116.67,115.11,115.62,1400900.0
2019-08-15,115.67,116.62,115.35,116.4,1369400.0
2019-08-14,116.69,116.93,115.51,115.55,1413200.0
2019-08-13,116.48,117.13,115.34,117.13,1502500.0
2019-08-12,118.59,118.77,115.595,116.54,1327500.0
2019-08-09,117.5,119.12,117.19,119.02,1656100.0
2019-08-08,116.67,118.68,116.67,117.32,2373100.0
2019-08-07,115.68,116.35,114.68,116.26,2003000.0
