,open,high,low,close,volume
2019-10-25,123.17,124.6963,123.11,124.36,992449.0
2019-10-24,122.61,124.02,122.52,122.95,2195800.0
2019-10-23,122.55,123.0,121.04,121.8,2831700.0
2019-10-22,127.0,127.2,122.45,122.81,2273800.0
2019-10-21,128.23,128.5,125.85,126.45,1639300.0
2019-10-18,128.41,129.37,127.66,128.12,2451400.0
2019-10-17,128.83,129.02,127.93,128.47,1494700.0
2019-10-16,128.42,129.14,127.51,127.93,1633200.0
2019-10-15,127.31,130.2,127.23,128.71,2006500.0
2019-10-14,128.6,129.0,126.26,126.59,1810100.0
2019-10-11,128.2,130.09,128.05,128.47,2310900.0
2019-10-10,125.71,128.43,125.62,127.41,1890600.0
2019-10-09,125.97,126.89,125.22,126.43,1464200.0
2019-10-08,125.01,126.83,124.32,125.38,1621200.0
2019-10-07,126.33,127.0,125.79,126.07,1007300.0
2019-10-04,124.96,127.24,124.96,127.05,1468400.0
2019-10-03,121.95,124.74,121.9,124.28,1590400.0
2019-10-02,124.12,125.2,121.57,122.29,1743300.0
2019-10-01,124.99,126.12,124.53,125.12,1542300.0
2019-09-30,125.01,125.3,123.88,124.59,1859200.0
2019-09-27,126.77,126.92,123.43,123.9,1664000.0
2019-09-26,124.9,126.53,124.9,126.06,1870800.0
2019-09-25,124.65,125.33,123.9,124.78,1196000.0
2019-09-24,125.48,126.37,124.56,125.05,1843800.0
2019-09-23,125.35,126.45,124.27,125.08,1574800.0
2019-09-20,124.92,126.14,124.64,125.62,2572300.0
2019-09-19,123.4,124.85,123.32,124.27,1424200.0
2019-09-18,122.78,123.57,121.99,123.24,1673800.0
2019-09-17,120.07,122.85,120.07,122.42,2182300.0
2019-09-16,120.0,120.74,119.52,119.64,2651000.0
2019-09-13,121.71,122.2,120.24,121.02,3116200.0
2019-09-12,121.29,122.86,121.06,121.69,2444800.0
2019-09-11,123.02,124.28,120.01,120.7,3365700.0
2019-09-10,125.82,125.82,121.61,123.03,3089400.0
2019-09-09,130.08,130.08,125.79,126.66,2601600.0
2019-09-06,128.28,129.48,127.86,128.43,1698200.0
2019-09-05,128.7,129.03,127.71,128.07,1721400.0
2019-09-04,127.65,127.79,126.58,127.59,1953900.0
2019-09-03,126.13,127.45,125.98,127.04,1887400.0
2019-08-30,127.13,127.44,125.66,126.42,1601200.0
2019-08-29,126.47,126.96,125.2,126.68,1498800.0
2019-08-28,124.75,126.27,124.46,125.77,1110400.0
2019-08-27,127.01,127.47,124.75,125.24,2394900.0
2019-08-26,124.31,126.24,124.25,126.2,1267400.0
2019-08-23,126.58,127.49,122.42,123.07,2321400.0
2019-08-22,127.88,128.11,125.52,126.64,2397900.0
2019-08-21,126.84,128.13,126.2,127.64,1875000.0
2019-08-20,127.54,128.41,125.94,126.05,1657100.0
2019-08-19,126.02,127.37,125.65,126.75,1137000.0
2019-08-16,124.32,125.6,121.53,125.37,1209700.0
2019-08-15,121.88,124.11,121.53,123.68,1650300.0
2019-08-14,123.4,124.42,121.58,121.79,1875200.0
2019-08-13,122.54,125.48,122.54,124.7,1784700.0
2019-08-12,123.97,124.47,122.27,123.96,1470300.0
2019-08-09,124.12,125.88,123.92,125.07,1658000.0
2019-08-08,122.06,124.34,121.5,124.11,2295000.0
2019-08-07,120.55,121.4,118.56,120.89,2659000.0
2019-08-06,117.59,121.8192,117.48,121.17,4042200.0
2019-08-05,115.07,115.52,111.87,112.57,3488100.0
2019-08-02,115.7,116.98,115.42,116.36,2227000.0
2019-08-01,114.9,117.03,114.02,115.7,2101200.0
2019-07-31,115.47,116.36,114.36,114.89,2099800.0
2019-07-30,115.0,115.84,114.31,115.79,1380800.0
2019-07-29,115.07,115.98,114.4,115.55,1541500.0
2019-07-26,115.15,115.15,114.46,115.11,1574100.0
2019-07-25,115.42,115.98,114.47,114.65,1174500.0
2019-07-24,115.81,115.94,114.04,115.44,1581200.0
2019-07-23,115.62,116.14,114.44,115.94,1209600.0
2019-07-22,115.0977,116.69,114.22,115.94,3063400.0
2019-07-19,115.64,115.89,114.01,114.09,1839000.0
2019-07-18,114.35,115.2,114.02,114.94,1177700.0
2019-07-17,114.0,114.96,113.57,113.68,1930300.0
2019-07-16,114.27,115.04,113.47,113.48,1214600.0
2019-07-15,113.16,113.77,112.51,113.57,1255200.0
2019-07-12,114.61,114.96,112.43,113.31,1473400.0
2019-07-11,114.32,114.56,113.33,114.35,1588000.0
