,open,high,low,close,volume
2019-11-01,22.74,22.8,22.23,22.35,2681500.0
2019-10-31,22.77,23.0,22.58,22.88,356880000.0
2019-10-30,21.95,22.45,21.86,22.44,2992600.0
2019-10-29,21.65,22.08,21.47,21.97,2765100.0
2019-10-28,22.2,22.25,21.73,21.83,2285700.0
2019-10-25,22.9,23.02,22.27,22.47,3043800.0
2019-10-24,21.74,22.49,21.69,22.45,2560200.0
2019-10-23,21.93,22.13,21.59,21.63,2130300.0
2019-10-22,22.14,22.25,21.49,21.73,2546900.0
2019-10-21,22.63,22.66,21.95,21.99,2078500.0
2019-10-18,22.78,22.84,22.34,22.58,2317500.0
2019-10-17,22.22,22.78,22.11,22.49,2683100.0
2019-10-16,22.15,22.39,21.87,22.38,3022200.0
2019-10-15,22.45,22.6,21.92,22.0,3824200.0
2019-10-11,23.44,23.46,22.36,22.44,5028800.0
2019-10-10,23.8,23.85,23.24,23.81,2500400.0
2019-10-09,24.0,24.04,23.62,23.81,2179800.0
2019-10-08,23.89,24.24,23.75,24.07,3609000.0
2019-10-07,23.42,23.76,23.29,23.49,2104800.0
2019-10-04,22.9,23.66,22.87,23.62,3083500.0
2019-10-03,23.27,23.92,22.97,23.0,4733500.0
2019-10-02,23.14,23.39,22.84,23.12,4014300.0
2019-10-01,22.79,23.31,22.62,22.74,5000000.0
2019-09-30,23.01,23.25,22.51,22.92,4804700.0
2019-09-27,23.5,23.67,23.21,23.46,4102500.0
2019-09-26,24.18,24.34,23.98,24.03,2583700.0
2019-09-25,24.8,24.91,23.89,24.1,4058100.0
2019-09-24,24.41,24.95,24.28,24.94,5718000.0
2019-09-23,24.66,24.81,24.45,24.68,3863100.0
2019-09-20,24.3,24.53,23.73,24.47,12100000.0
2019-09-19,23.63,24.32,23.63,24.28,5191400.0
2019-09-18,23.82,23.93,22.9,23.4,6558700.0
2019-09-17,22.97,24.08,22.92,23.9,5141500.0
2019-09-16,23.06,23.13,22.54,22.6,6214700.0
2019-09-13,23.06,23.06,22.6,22.85,6523300.0
2019-09-12,23.71,23.93,22.61,22.62,6413500.0
2019-09-11,22.64,23.31,22.6,22.89,4733500.0
2019-09-10,22.65,23.15,22.28,22.66,5925500.0
2019-09-09,23.6,23.62,22.59,22.9,5584800.0
2019-09-06,24.38,24.61,23.52,23.55,6740600.0
2019-09-05,25.57,25.7,23.91,24.36,7645700.0
2019-09-04,25.8,26.32,25.67,26.3,4103400.0
2019-09-03,26.11,26.24,25.76,25.94,4594400.0
2019-08-30,25.4,25.93,25.26,25.81,4768300.0
2019-08-29,26.42,26.45,25.51,25.63,4573400.0
2019-08-28,26.3,26.69,26.06,26.54,4667600.0
2019-08-27,25.56,26.37,25.56,26.27,5327000.0
2019-08-26,25.65,25.85,25.32,25.49,3887400.0
2019-08-23,25.54,25.61,25.4,25.45,5179800.0
2019-08-22,24.66,24.98,24.58,24.96,3305300.0
2019-08-21,24.61,24.9,24.42,24.8,5507700.0
2019-08-20,24.29,24.93,24.23,24.88,5737400.0
2019-08-19,23.92,24.46,23.72,24.12,7061400.0
2019-08-16,24.3,24.49,23.97,24.38,4620600.0
2019-08-15,24.22,24.5,23.97,24.49,4630600.0
2019-08-14,24.37,24.5,24.0,24.21,6661000.0
2019-08-13,24.4,24.45,23.14,23.97,7588400.0
2019-08-12,24.49,24.67,23.7,23.8,4077300.0
2019-08-09,23.93,24.32,23.86,23.96,3935800.0
2019-08-08,23.58,24.16,23.35,24.06,4443800.0
2019-08-07,23.95,24.56,23.91,24.05,9913100.0
2019-08-06,23.0,23.67,22.92,23.32,6181400.0
2019-08-02,22.41,22.89,22.31,22.33,5552000.0
2019-08-01,20.92,22.62,20.92,22.43,7266800.0
2019-07-31,22.35,22.36,21.1,21.45,8440300.0
2019-07-30,22.7,22.81,22.33,22.38,4444000.0
2019-07-29,22.5,22.65,22.35,22.63,3374000.0
2019-07-26,22.49,22.7,22.42,22.46,2382800.0
2019-07-25,22.7,22.8,22.24,22.43,3640500.0
2019-07-24,22.9,22.96,22.71,22.82,5077100.0
2019-07-23,22.67,22.95,22.43,22.71,4706400.0
2019-07-22,22.5,22.8,22.4,22.77,3992800.0
2019-07-19,22.35,22.84,22.27,22.5,5856200.0
2019-07-18,21.73,22.64,21.56,22.46,8542900.0
2019-07-17,21.19,21.86,21.12,21.83,4183400.0
2019-07-16,21.12,21.37,21.02,21.03,3945300.0
2019-07-15,21.55,21.71,21.17,21.31,2907200.0
2019-07-12,21.44,21.58,21.26,21.51,2704500.0
2019-07-11,21.44,21.81,21.34,21.41,4078100.0
2019-07-10,21.23,21.64,21.02,21.63,4481000.0
2019-07-09,20.72,21.15,20.6,21.09,3492000.0
2019-07-08,20.68,20.9,20.48,20.76,5286400.0
2019-07-05,20.4,20.74,19.95,20.67,5581700.0
2019-07-04,20.7,21.13,20.66,21.1,888000.0
2019-07-03,20.62,21.09,20.3,20.93,4021700.0
2019-07-02,19.93,20.62,19.79,20.47,5055000.0
2019-06-28,20.61,20.74,20.43,20.67,5007900.0
2019-06-27,20.48,20.64,20.13,20.59,5268700.0
2019-06-26,20.09,20.97,20.06,20.81,6143900.0
2019-06-25,21.49,21.67,20.77,21.08,9620800.0
2019-06-24,20.73,21.45,20.68,21.41,7158900.0
2019-06-21,20.16,20.77,20.06,20.56,13889100.0
2019-06-20,19.65,20.56,19.65,20.22,7806900.0
2019-06-19,18.88,19.35,18.67,19.24,6011900.0
2019-06-18,19.21,19.32,18.83,19.26,5950700.0
2019-06-17,18.68,19.02,18.52,19.02,3688300.0
2019-06-14,18.68,18.81,18.44,18.66,4716700.0
2019-06-13,18.29,18.5,18.09,18.5,3122300.0
2019-06-12,18.15,18.35,18.08,18.31,5868900.0
2019-06-11,17.76,18.14,17.69,18.01,2642200.0
