,open,high,low,close,volume
2019-11-01,79.99,81.04,78.43,79.29,586900.0
2019-10-31,79.5,81.18,79.29,80.95,121490000.0
2019-10-30,77.74,79.23,77.36,78.75,863700.0
2019-10-29,75.26,77.73,75.18,77.6,672200.0
2019-10-28,75.56,76.41,74.5,76.17,523900.0
2019-10-25,76.84,77.49,75.35,76.73,983700.0
2019-10-24,72.63,75.64,72.24,75.27,861200.0
2019-10-23,70.05,71.84,69.83,70.62,840000.0
2019-10-22,69.69,70.32,68.51,69.46,610100.0
2019-10-21,71.52,71.52,69.22,69.37,372800.0
2019-10-18,70.93,71.24,70.21,71.13,1052700.0
2019-10-17,68.7,71.01,68.59,70.44,609300.0
2019-10-16,69.21,69.3,68.06,69.04,592400.0
2019-10-15,69.28,69.64,68.2,68.47,719400.0
2019-10-11,71.86,71.95,68.81,68.96,867900.0
2019-10-10,72.78,73.42,71.45,73.17,417900.0
2019-10-09,73.19,73.55,72.54,72.96,409100.0
2019-10-08,72.85,73.26,71.76,73.25,589900.0
2019-10-07,71.34,72.58,71.21,72.02,478800.0
2019-10-04,71.0,72.62,70.56,72.34,561800.0
2019-10-03,71.48,73.34,71.15,71.28,773200.0
2019-10-02,71.76,72.39,70.53,71.21,759800.0
2019-10-01,69.99,71.52,69.22,70.26,1328300.0
2019-09-30,72.15,72.93,70.61,71.0,1121200.0
2019-09-27,75.81,75.87,73.32,73.48,1236300.0
2019-09-26,77.78,78.18,76.9,76.9,510400.0
2019-09-25,79.09,79.56,76.64,77.53,717100.0
2019-09-24,78.25,79.66,77.52,79.32,885200.0
2019-09-23,78.04,79.13,77.62,78.92,397000.0
2019-09-20,76.25,77.42,75.44,77.29,1424500.0
2019-09-19,76.41,76.48,75.53,75.86,612400.0
2019-09-18,76.36,76.89,74.3,75.56,816400.0
2019-09-17,74.67,76.6,74.58,76.44,682000.0
2019-09-16,75.34,75.34,73.25,73.99,630100.0
2019-09-13,74.99,75.72,73.1,73.32,998800.0
2019-09-12,77.6,79.04,74.62,74.74,1280800.0
2019-09-11,74.58,77.31,74.47,75.51,740800.0
2019-09-10,75.47,76.58,74.35,74.58,1165000.0
2019-09-09,78.39,78.79,75.07,75.94,1320000.0
2019-09-06,81.01,81.97,78.4,78.48,1315200.0
2019-09-05,83.47,83.81,80.12,81.18,1097800.0
2019-09-04,84.03,84.91,83.58,84.91,1016100.0
