,open,high,low,close,volume
2019-11-01,19.16,19.21,18.92,19.0,691400.0
2019-10-31,18.76,19.24,18.61,19.16,142900000.0
2019-10-30,18.03,18.61,17.91,18.49,1358300.0
2019-10-29,18.45,18.55,18.1,18.24,771600.0
2019-10-28,18.81,18.83,18.22,18.45,1320400.0
2019-10-25,19.13,19.13,18.79,18.81,911900.0
2019-10-24,19.37,19.41,19.09,19.14,527200.0
2019-10-23,19.85,19.97,19.33,19.37,1004200.0
2019-10-22,19.72,19.92,19.67,19.83,643200.0
2019-10-21,19.81,19.95,19.37,19.67,810500.0
2019-10-18,19.54,19.8,19.46,19.51,407500.0
2019-10-17,19.4,19.64,19.36,19.58,305900.0
2019-10-16,19.34,19.41,19.18,19.4,655300.0
2019-10-15,19.27,19.6,19.18,19.42,649800.0
2019-10-11,19.11,19.35,19.04,19.28,576300.0
2019-10-10,18.94,19.11,18.76,19.1,522700.0
2019-10-09,19.14,19.14,18.89,18.99,352200.0
2019-10-08,19.08,19.14,18.8,19.0,1076500.0
2019-10-07,18.91,19.25,18.83,19.18,616800.0
2019-10-04,18.95,19.14,18.69,18.95,862900.0
2019-10-03,19.1,19.19,18.78,18.93,552700.0
2019-10-02,19.1,19.22,18.84,19.22,1600600.0
2019-10-01,19.45,19.5,19.02,19.2,1467900.0
2019-09-30,19.48,19.94,19.41,19.45,1323900.0
2019-09-27,19.43,19.5,19.2,19.27,546400.0
2019-09-26,19.38,19.56,19.38,19.44,364600.0
2019-09-25,19.4,19.49,19.29,19.4,566900.0
2019-09-24,19.64,19.83,19.41,19.43,593200.0
2019-09-23,19.92,20.0,19.69,19.74,435900.0
2019-09-20,19.8,19.99,19.77,19.97,1116600.0
2019-09-19,19.73,19.91,19.63,19.81,506200.0
2019-09-18,19.75,19.87,19.49,19.73,571100.0
2019-09-17,19.7,19.91,19.6,19.85,698800.0
2019-09-16,19.13,19.74,19.13,19.72,738000.0
2019-09-13,18.76,19.15,18.76,19.06,525000.0
2019-09-12,18.84,19.01,18.74,18.78,465000.0
2019-09-11,18.88,19.04,18.65,18.91,671700.0
2019-09-10,18.79,18.93,18.63,18.83,627200.0
2019-09-09,18.53,19.08,18.53,18.76,873400.0
2019-09-06,18.49,18.5,18.23,18.32,676600.0
2019-09-05,18.54,18.57,18.39,18.52,800500.0
2019-09-04,18.36,18.53,18.2,18.53,728500.0
2019-09-03,17.99,18.32,17.65,18.23,840900.0
2019-08-30,18.31,18.39,18.04,18.08,730500.0
2019-08-29,18.11,18.32,18.03,18.17,596200.0
2019-08-28,17.81,18.34,17.72,18.08,939400.0
2019-08-27,18.0,18.2,17.77,17.82,1164900.0
2019-08-26,18.43,18.54,18.07,18.12,514000.0
2019-08-23,18.44,18.61,18.36,18.44,1662000.0
2019-08-22,18.77,18.87,18.52,18.67,607800.0
2019-08-21,18.65,18.88,18.53,18.81,950200.0
2019-08-20,19.09,19.24,18.59,18.67,817500.0
2019-08-19,19.03,19.18,18.93,19.02,598600.0
2019-08-16,18.84,19.25,18.84,18.96,561800.0
2019-08-15,19.2,19.21,18.79,18.87,717300.0
2019-08-14,19.61,19.9,19.18,19.19,640700.0
2019-08-13,19.61,19.83,19.53,19.75,585000.0
2019-08-12,19.9,19.91,19.43,19.74,645800.0
2019-08-09,20.09,20.19,19.83,20.01,557800.0
2019-08-08,19.87,20.22,19.6,20.06,635500.0
2019-08-07,19.1,20.02,18.92,19.84,1300100.0
2019-08-06,19.79,20.0,19.17,19.2,1003000.0
2019-08-02,19.92,20.01,19.41,19.98,941300.0
2019-08-01,20.42,20.55,20.1,20.15,924400.0
2019-07-31,19.76,20.64,19.73,20.21,1186500.0
2019-07-30,20.01,20.02,19.72,19.75,757200.0
2019-07-29,20.44,20.45,20.09,20.1,467900.0
2019-07-26,20.37,20.6,20.23,20.41,528700.0
2019-07-25,20.67,20.79,20.32,20.4,744800.0
2019-07-24,20.4,20.77,20.27,20.71,581900.0
2019-07-23,20.83,20.83,20.29,20.5,953600.0
2019-07-22,19.69,20.87,19.69,20.82,2079000.0
2019-07-19,19.65,19.75,19.57,19.62,298200.0
2019-07-18,19.7,19.84,19.58,19.63,531400.0
2019-07-17,19.91,19.96,19.63,19.72,422700.0
2019-07-16,20.0,20.14,19.79,19.9,394700.0
2019-07-15,19.93,20.04,19.73,20.04,577900.0
2019-07-12,19.97,20.08,19.81,19.93,417600.0
2019-07-11,20.1,20.23,19.9,19.91,455300.0
2019-07-10,20.0,20.17,19.95,20.09,394200.0
2019-07-09,19.99,20.16,19.91,19.94,367700.0
2019-07-08,19.99,20.2,19.9,19.98,396300.0
2019-07-05,19.87,20.07,19.8,20.05,467100.0
2019-07-04,19.85,19.95,19.73,19.9,183700.0
2019-07-03,19.74,20.05,19.72,19.85,479100.0
2019-07-02,19.82,19.87,19.67,19.71,313200.0
2019-06-28,19.48,19.94,19.42,19.81,709100.0
2019-06-27,19.4,19.59,19.28,19.5,612500.0
2019-06-26,19.67,19.78,19.38,19.39,510600.0
2019-06-25,19.6,19.68,19.46,19.6,400400.0
2019-06-24,19.79,19.82,19.59,19.64,478500.0
2019-06-21,19.99,20.19,19.69,19.81,2083800.0
2019-06-20,19.73,20.25,19.66,20.01,909300.0
2019-06-19,19.5,19.8,19.42,19.54,467000.0
2019-06-18,19.4,19.6,19.29,19.51,596200.0
2019-06-17,19.2,19.4,19.1,19.34,349900.0
2019-06-14,19.22,19.27,18.97,19.18,373300.0
2019-06-13,19.08,19.41,18.99,19.21,505000.0
2019-06-12,19.34,19.42,18.96,18.99,433000.0
