,open,high,low,close,volume
2019-11-01,5.63,5.87,5.62,5.85,1585800.0
2019-10-31,5.68,5.71,5.5,5.58,236370000.0
2019-10-30,5.72,5.77,5.62,5.69,2204700.0
2019-10-29,5.62,5.81,5.55,5.72,1651100.0
2019-10-28,5.71,5.8,5.6,5.62,1826400.0
2019-10-25,5.62,5.68,5.53,5.67,2124300.0
2019-10-24,5.63,5.74,5.56,5.62,2179200.0
2019-10-23,5.55,5.63,5.48,5.58,4013800.0
2019-10-22,5.6,5.68,5.51,5.54,3549800.0
2019-10-21,5.56,5.6,5.5,5.59,1306800.0
2019-10-18,5.67,5.69,5.48,5.51,1337300.0
2019-10-17,5.71,5.71,5.59,5.62,2417300.0
2019-10-16,5.61,5.72,5.57,5.68,1703800.0
2019-10-15,5.56,5.62,5.44,5.59,1758900.0
2019-10-11,5.5,5.57,5.45,5.55,3407700.0
2019-10-10,5.46,5.5,5.41,5.46,1210000.0
2019-10-09,5.52,5.58,5.4,5.43,1299100.0
2019-10-08,5.57,5.65,5.44,5.44,1535700.0
2019-10-07,5.77,5.77,5.6,5.65,897800.0
2019-10-04,5.88,5.91,5.62,5.71,4585300.0
2019-10-03,5.71,5.85,5.71,5.81,2988800.0
2019-10-02,6.0,6.03,5.76,5.81,2814000.0
2019-10-01,6.31,6.39,6.01,6.04,1750500.0
2019-09-30,6.48,6.48,6.29,6.31,1619800.0
2019-09-27,6.45,6.66,6.34,6.52,1929000.0
2019-09-26,6.49,6.54,6.43,6.5,1301900.0
2019-09-25,6.5,6.6,6.39,6.51,2798500.0
2019-09-24,6.73,6.76,6.51,6.56,1403600.0
2019-09-23,6.84,6.87,6.72,6.75,1560000.0
2019-09-20,6.85,7.02,6.7,6.83,3021900.0
2019-09-19,7.06,7.1,6.8,6.83,2608200.0
2019-09-18,7.22,7.29,6.97,7.01,2135100.0
2019-09-17,7.24,7.42,6.97,7.3,3919400.0
2019-09-16,7.85,7.85,7.08,7.18,4956100.0
2019-09-13,6.55,6.92,6.5,6.91,2850400.0
2019-09-12,6.36,6.56,6.25,6.49,1988100.0
2019-09-11,6.44,6.69,6.34,6.45,2959500.0
2019-09-10,6.44,6.49,6.23,6.36,2244900.0
2019-09-09,6.18,6.37,6.13,6.35,1719300.0
2019-09-06,5.85,6.2,5.83,6.05,2175200.0
2019-09-05,5.89,5.96,5.83,5.9,1693100.0
2019-09-04,5.83,5.89,5.78,5.84,1360400.0
2019-09-03,5.55,5.75,5.38,5.74,3515900.0
2019-08-30,5.89,5.89,5.54,5.62,1020800.0
2019-08-29,5.77,5.94,5.71,5.86,1081800.0
2019-08-28,5.55,5.8,5.55,5.76,923300.0
2019-08-27,5.59,5.6,5.37,5.49,1459500.0
2019-08-26,5.75,5.84,5.54,5.56,1400000.0
2019-08-23,5.89,5.89,5.61,5.66,2378100.0
2019-08-22,6.12,6.17,5.95,5.96,694400.0
2019-08-21,6.13,6.19,6.02,6.1,996300.0
2019-08-20,6.09,6.17,5.96,6.1,1207500.0
2019-08-19,5.97,6.09,5.92,6.08,1286400.0
2019-08-16,5.82,5.99,5.79,5.91,1509100.0
2019-08-15,5.96,5.98,5.66,5.79,2967900.0
2019-08-14,6.16,6.2,5.92,5.96,2103800.0
2019-08-13,6.24,6.38,6.19,6.27,890100.0
2019-08-12,6.25,6.33,6.11,6.21,937900.0
2019-08-09,6.27,6.27,6.12,6.26,886000.0
2019-08-08,6.19,6.24,6.09,6.21,1022300.0
2019-08-07,6.16,6.16,6.0,6.1,1687100.0
2019-08-06,6.53,6.54,6.15,6.22,3613900.0
2019-08-02,6.96,6.97,6.58,6.65,1403300.0
2019-08-01,6.8,6.97,6.52,6.94,3731000.0
2019-07-31,6.38,6.79,6.36,6.75,2174500.0
2019-07-30,6.03,6.41,5.98,6.35,2051900.0
2019-07-29,6.2,6.23,6.02,6.07,1753700.0
2019-07-26,6.26,6.33,6.12,6.15,2677400.0
2019-07-25,6.49,6.49,6.2,6.25,2590900.0
2019-07-24,6.49,6.52,6.3,6.41,1249800.0
2019-07-23,6.4,6.54,6.4,6.48,1158900.0
2019-07-22,6.38,6.42,6.25,6.39,1478900.0
2019-07-19,6.27,6.38,6.18,6.35,1027200.0
2019-07-18,6.37,6.39,6.19,6.27,1139000.0
2019-07-17,6.66,6.66,6.31,6.39,1457000.0
2019-07-16,6.55,6.58,6.45,6.58,1486600.0
2019-07-15,6.44,6.6,6.33,6.56,2106600.0
2019-07-12,6.53,6.53,6.35,6.4,919500.0
2019-07-11,6.51,6.56,6.4,6.5,2289700.0
2019-07-10,6.38,6.55,6.38,6.48,1279800.0
2019-07-09,6.38,6.4,6.25,6.31,1275300.0
2019-07-08,6.49,6.54,6.39,6.42,511300.0
2019-07-05,6.38,6.55,6.37,6.49,761300.0
2019-07-04,6.26,6.46,6.16,6.42,950000.0
2019-07-03,6.27,6.31,6.08,6.26,2446800.0
2019-07-02,6.51,6.62,6.15,6.24,2052600.0
2019-06-28,6.53,6.59,6.37,6.41,2017300.0
2019-06-27,6.94,6.95,6.46,6.47,1785000.0
2019-06-26,6.73,7.04,6.65,6.95,1971800.0
2019-06-25,6.72,6.78,6.63,6.64,2133700.0
2019-06-24,6.8,6.83,6.61,6.71,1978500.0
2019-06-21,6.95,6.96,6.71,6.75,3115900.0
2019-06-20,6.92,7.11,6.85,6.85,1981300.0
2019-06-19,6.86,6.95,6.73,6.79,1601300.0
2019-06-18,6.8,6.9,6.69,6.85,1716700.0
2019-06-17,6.65,6.77,6.59,6.74,1186700.0
2019-06-14,6.85,6.85,6.57,6.68,1117700.0
2019-06-13,6.72,6.86,6.64,6.78,1429000.0
2019-06-12,6.66,6.68,6.56,6.6,1180300.0
2019-06-11,6.8,6.84,6.65,6.72,1347700.0
