,open,high,low,close,volume
2019-11-01,32.91,34.17,32.83,34.05,604200.0
2019-10-31,32.65,32.95,32.28,32.74,56950000.0
2019-10-30,31.98,32.83,31.65,32.78,549700.0
2019-10-29,31.37,32.18,31.26,32.05,560900.0
2019-10-28,30.88,31.66,30.8,31.38,646000.0
2019-10-25,29.85,31.44,29.76,30.73,942800.0
2019-10-24,29.66,29.8,29.32,29.59,625500.0
2019-10-23,29.51,29.81,29.36,29.49,794800.0
2019-10-22,30.01,30.24,29.52,29.55,1077400.0
2019-10-21,29.7,30.25,29.44,29.9,666700.0
2019-10-18,30.21,30.21,29.24,29.57,590100.0
2019-10-17,29.31,30.03,29.31,29.97,753800.0
2019-10-16,28.36,29.64,28.35,29.25,988700.0
2019-10-15,27.56,29.11,27.53,28.17,1193700.0
2019-10-11,26.01,27.72,25.72,27.25,791200.0
2019-10-10,25.67,26.03,25.44,25.62,569300.0
2019-10-09,26.1,26.21,25.51,25.64,480000.0
2019-10-08,25.4,26.22,25.13,25.88,595500.0
2019-10-07,25.36,25.85,24.89,25.65,524000.0
2019-10-04,26.1,26.22,25.41,25.43,578100.0
2019-10-03,25.12,26.06,25.07,26.0,800100.0
2019-10-02,25.75,25.75,25.1,25.19,843000.0
2019-10-01,28.89,28.97,25.29,26.01,1555300.0
2019-09-30,28.64,28.97,28.57,28.9,617700.0
2019-09-27,29.27,29.29,28.64,28.76,471200.0
2019-09-26,29.03,29.46,28.49,29.03,760400.0
2019-09-25,29.15,29.52,28.85,28.88,1144700.0
2019-09-24,30.0,30.15,28.88,29.14,739600.0
2019-09-23,30.24,30.44,29.88,29.91,418200.0
2019-09-20,30.67,31.04,30.29,30.37,1978800.0
2019-09-19,30.82,30.94,30.44,30.7,1099000.0
2019-09-18,30.66,30.81,30.26,30.78,714500.0
2019-09-17,30.87,31.03,30.13,30.59,713200.0
2019-09-16,30.94,31.17,30.74,30.93,542000.0
2019-09-13,31.62,31.87,30.72,30.86,734300.0
2019-09-12,30.52,31.72,30.52,31.38,1152200.0
2019-09-11,29.56,30.48,29.41,30.45,2674200.0
2019-09-10,28.85,29.62,28.59,29.59,573100.0
2019-09-09,29.26,29.45,28.87,29.09,738100.0
2019-09-06,28.82,29.65,28.79,29.26,691400.0
2019-09-05,28.41,28.95,28.2,28.78,747900.0
