,open,high,low,close,volume
2019-11-01,97.85,98.12,97.52,97.93,3260900.0
2019-10-31,97.66,98.21,97.1,97.5,277340000.0
2019-10-30,98.15,99.08,97.75,98.93,3689100.0
2019-10-29,98.2,98.6,98.01,98.29,1177500.0
2019-10-28,98.47,98.54,98.08,98.15,1091300.0
2019-10-25,97.25,98.4,97.18,98.1,3641900.0
2019-10-24,98.0,98.08,97.23,97.51,3725200.0
2019-10-23,97.66,97.92,97.41,97.71,5356400.0
2019-10-22,97.63,98.08,97.57,97.61,1367000.0
2019-10-21,97.05,97.62,96.97,97.42,1547500.0
2019-10-18,97.24,97.25,96.64,96.86,1098700.0
2019-10-17,97.34,97.39,96.45,96.89,1209300.0
2019-10-16,96.91,97.48,96.89,97.22,1835200.0
2019-10-15,97.29,97.53,96.79,96.83,1969800.0
2019-10-11,96.84,97.58,96.73,96.98,2312500.0
2019-10-10,95.72,96.77,95.72,96.14,895800.0
2019-10-09,95.59,95.93,95.01,95.78,1313400.0
2019-10-08,95.55,95.83,94.85,95.16,1584100.0
2019-10-07,95.66,96.46,95.61,96.12,1344800.0
2019-10-04,95.5,95.93,95.18,95.86,2976400.0
2019-10-03,95.59,95.82,94.64,95.51,3024900.0
2019-10-02,96.15,96.62,95.05,95.84,1636600.0
2019-10-01,98.14,98.38,96.37,96.97,1827800.0
2019-09-30,97.7,98.24,97.54,97.58,1452300.0
2019-09-27,97.34,98.12,97.11,97.61,1370500.0
2019-09-26,97.28,97.3,96.57,97.02,1464000.0
2019-09-25,96.0,97.51,95.84,97.1,2168500.0
2019-09-24,97.02,97.32,95.79,96.12,2154500.0
2019-09-23,97.46,97.53,96.86,96.92,985400.0
2019-09-20,97.51,98.15,97.46,97.58,3115200.0
2019-09-19,97.21,97.95,97.12,97.31,2212000.0
2019-09-18,96.71,97.32,96.37,97.22,1474700.0
2019-09-17,96.13,96.92,95.6,96.61,1322800.0
2019-09-16,96.0,96.79,95.69,96.42,1197300.0
2019-09-13,96.24,96.93,96.24,96.48,1584000.0
2019-09-12,95.36,96.26,94.68,95.94,1477200.0
2019-09-11,95.07,95.9,94.5,95.5,1826600.0
2019-09-10,93.21,94.92,93.12,94.9,1611200.0
2019-09-09,92.8,93.3,92.36,93.21,1480200.0
2019-09-06,92.07,92.35,91.51,92.23,1397200.0
2019-09-05,91.04,92.87,90.75,91.77,2124200.0
2019-09-04,90.72,91.25,89.67,90.18,1757600.0
2019-09-03,90.99,91.02,89.66,90.43,1676200.0
2019-08-30,91.9,92.05,91.2,91.26,1368400.0
2019-08-29,89.92,91.51,89.81,91.21,2698100.0
2019-08-28,89.05,89.95,89.05,89.36,2429700.0
2019-08-27,90.72,91.08,88.24,89.21,4958300.0
2019-08-26,92.66,93.4,92.21,92.38,969900.0
2019-08-23,92.94,93.03,91.74,92.0,1241600.0
2019-08-22,93.43,93.93,92.93,93.06,1435400.0
2019-08-21,92.99,93.27,92.43,93.16,1061100.0
2019-08-20,93.78,93.78,92.41,92.62,1187100.0
2019-08-19,94.05,94.43,93.51,94.01,1828800.0
2019-08-16,93.28,93.43,92.62,93.19,1463800.0
2019-08-15,92.6,92.81,91.8,92.35,1676100.0
2019-08-14,93.72,94.06,92.35,92.7,1747700.0
2019-08-13,93.91,95.24,93.66,94.77,1089000.0
2019-08-12,94.84,94.9,93.84,94.22,890600.0
2019-08-09,95.66,95.91,95.16,95.44,1944100.0
2019-08-08,95.74,96.27,95.32,95.67,1008600.0
2019-08-07,94.3,95.49,93.85,95.21,1409500.0
2019-08-06,95.31,95.31,93.66,95.06,3856800.0
2019-08-02,97.05,97.45,95.97,96.7,1819500.0
2019-08-01,98.64,98.9,97.15,97.45,1399100.0
2019-07-31,98.41,98.9,98.09,98.8,1690100.0
2019-07-30,100.13,100.13,99.08,99.59,1929400.0
2019-07-29,100.05,100.57,99.79,100.24,3628200.0
2019-07-26,100.0,100.27,99.5,99.98,1420400.0
2019-07-25,99.99,100.13,99.46,99.83,2934600.0
2019-07-24,99.07,99.89,98.87,99.79,1313500.0
2019-07-23,99.05,99.4,98.94,99.16,1229400.0
2019-07-22,98.8,98.96,98.41,98.69,1086700.0
2019-07-19,99.3,99.46,98.66,98.71,1000700.0
2019-07-18,98.94,99.38,98.82,99.1,1271400.0
2019-07-17,99.54,99.82,98.86,98.92,1192600.0
2019-07-16,99.65,99.89,99.21,99.43,765200.0
2019-07-15,100.29,100.29,99.16,99.46,1054700.0
2019-07-12,100.3,100.48,99.98,100.01,1157500.0
2019-07-11,100.2,100.49,99.91,100.37,1319100.0
2019-07-10,101.08,101.52,99.92,100.23,1965300.0
2019-07-09,100.27,101.0,100.26,100.95,984000.0
2019-07-08,100.6,100.73,100.27,100.44,1410200.0
2019-07-05,100.27,100.95,100.25,100.88,1521100.0
2019-07-04,100.35,100.52,100.08,100.35,400200.0
2019-07-03,100.0,100.31,99.67,100.3,851600.0
2019-07-02,99.5,100.18,99.36,99.92,1481800.0
2019-06-28,98.74,99.02,98.51,98.92,1347100.0
2019-06-27,98.56,98.83,98.04,98.43,876500.0
2019-06-26,98.79,99.2,98.15,98.52,1109000.0
2019-06-25,99.68,99.79,98.9,98.91,1238600.0
2019-06-24,99.82,100.15,99.5,99.78,966700.0
2019-06-21,100.38,100.55,99.75,99.94,3546900.0
2019-06-20,100.55,100.59,99.61,100.43,920200.0
2019-06-19,100.7,101.13,100.08,100.25,941400.0
2019-06-18,99.8,100.75,99.8,100.51,1118200.0
2019-06-17,99.68,100.33,99.53,99.56,807800.0
2019-06-14,99.13,100.03,98.73,99.67,1045100.0
2019-06-13,99.18,99.46,98.76,99.15,829500.0
2019-06-12,99.36,99.74,98.64,99.04,920500.0
2019-06-11,99.9,100.15,99.33,99.6,1088800.0
