,open,high,low,close,volume
2019-11-01,75.79,75.89,75.55,75.8,1874900.0
2019-10-31,75.59,75.83,75.25,75.54,179590000.0
2019-10-30,75.4,75.8,75.22,75.76,1524100.0
2019-10-29,75.0,75.75,75.0,75.55,2700800.0
2019-10-28,75.35,75.49,75.02,75.19,1489500.0
2019-10-25,74.82,75.31,74.82,75.13,1255500.0
2019-10-24,75.08,75.21,74.8,75.08,1312000.0
2019-10-23,75.18,75.34,74.91,75.09,1453900.0
2019-10-22,75.41,75.5,75.1,75.19,2187600.0
2019-10-21,75.71,75.84,74.9,75.29,2771500.0
2019-10-18,75.91,75.91,75.47,75.57,1455700.0
2019-10-17,75.78,75.86,75.27,75.49,1830900.0
2019-10-16,75.62,76.07,75.59,75.76,2194100.0
2019-10-15,75.3,76.17,75.3,75.58,2221900.0
2019-10-11,75.0,75.58,74.97,75.15,1871100.0
2019-10-10,74.68,75.24,74.64,74.81,2190800.0
2019-10-09,74.5,75.0,74.35,74.82,3417400.0
2019-10-08,73.95,74.34,73.85,74.2,3095500.0
2019-10-07,74.08,74.49,74.06,74.31,1883200.0
2019-10-04,73.84,74.37,73.5,74.25,2692100.0
2019-10-03,73.88,73.89,73.12,73.8,4403100.0
2019-10-02,74.0,74.31,73.51,73.93,4892300.0
2019-10-01,75.3,75.65,74.2,74.6,2761400.0
2019-09-30,75.36,75.78,75.25,75.25,4520900.0
2019-09-27,76.28,76.49,75.96,76.25,6634900.0
2019-09-26,75.67,76.25,75.67,76.14,7539100.0
2019-09-25,75.17,75.78,75.16,75.67,4185100.0
2019-09-24,75.0,75.75,74.99,75.33,3569300.0
2019-09-23,74.67,74.85,74.45,74.85,1736100.0
2019-09-20,74.6,75.2,74.5,74.75,8086300.0
2019-09-19,74.5,74.87,74.48,74.5,2532700.0
2019-09-18,74.72,75.01,74.52,74.58,2103200.0
2019-09-17,74.34,75.01,74.23,74.75,2973100.0
2019-09-16,74.64,74.74,74.02,74.47,1850100.0
