,open,high,low,close,volume
2019-11-01,23.95,24.0,23.85,23.85,2400.0
2019-10-31,23.66,23.78,23.65,23.78,280000.0
2019-10-30,23.72,23.75,23.65,23.65,1700.0
2019-10-29,23.75,23.8,23.51,23.8,1900.0
2019-10-28,23.45,23.61,23.25,23.6,1300.0
2019-10-25,23.45,23.45,23.45,23.45,0.0
2019-10-24,23.45,23.45,23.45,23.45,100.0
2019-10-23,23.26,23.5,23.26,23.45,4300.0
2019-10-22,23.53,23.75,23.45,23.45,2900.0
2019-10-21,23.46,23.58,23.45,23.46,700.0
2019-10-18,23.5,23.51,23.5,23.5,2200.0
2019-10-17,23.61,23.61,23.34,23.34,3500.0
2019-10-16,23.5,23.5,23.01,23.46,2600.0
2019-10-15,23.55,23.9,23.55,23.69,3800.0
2019-10-11,23.88,23.97,23.6,23.6,5600.0
2019-10-10,23.81,23.82,23.64,23.68,4600.0
2019-10-09,23.6,23.75,23.6,23.75,1100.0
2019-10-08,24.0,24.0,23.75,23.75,1000.0
2019-10-07,24.03,24.04,24.03,24.04,300.0
2019-10-04,23.6,24.16,23.6,24.16,6400.0
2019-10-03,23.57,23.68,23.38,23.67,11500.0
2019-10-02,24.35,24.35,24.0,24.04,4200.0
2019-10-01,24.33,24.33,24.23,24.25,20100.0
2019-09-30,24.0,24.48,24.0,24.33,4000.0
2019-09-27,24.25,24.25,24.18,24.18,600.0
2019-09-26,24.32,24.32,24.25,24.25,10900.0
2019-09-25,24.0,24.5,24.0,24.5,7300.0
2019-09-24,24.6,24.65,24.24,24.24,6100.0
2019-09-23,24.6,24.69,24.6,24.63,1500.0
2019-09-20,24.8,24.8,24.5,24.5,800.0
2019-09-19,24.51,24.72,24.5,24.72,2700.0
2019-09-18,24.69,24.77,24.38,24.49,1700.0
2019-09-17,24.31,24.6,24.31,24.6,1900.0
2019-09-16,23.78,24.72,23.78,24.72,10400.0
2019-09-13,24.25,24.3,24.14,24.15,3000.0
2019-09-12,24.02,24.25,24.02,24.25,900.0
2019-09-11,24.25,24.38,24.25,24.38,1000.0
2019-09-10,24.18,24.18,24.1,24.1,1800.0
2019-09-09,24.37,24.38,24.05,24.17,2200.0
2019-09-06,24.79,24.79,24.25,24.25,1700.0
2019-09-05,23.57,24.5,23.57,24.49,3800.0
2019-09-04,24.0,24.11,23.83,24.0,1000.0
2019-09-03,23.07,23.95,23.07,23.95,1900.0
2019-08-30,23.75,24.05,23.68,23.96,6200.0
2019-08-29,23.8,24.0,23.76,23.76,4900.0
2019-08-28,23.6,24.0,23.6,23.89,2300.0
2019-08-27,23.89,24.13,23.37,23.6,6100.0
2019-08-26,23.68,24.13,23.68,24.13,3400.0
2019-08-23,23.85,24.01,23.75,23.75,4900.0
2019-08-22,23.88,23.88,23.84,23.85,1300.0
2019-08-21,24.48,24.48,23.91,24.13,1300.0
2019-08-20,24.25,24.25,24.0,24.0,200.0
2019-08-19,23.72,24.24,23.72,24.07,2200.0
2019-08-16,23.89,23.89,23.89,23.89,200.0
2019-08-15,23.18,23.82,23.18,23.82,2100.0
2019-08-14,23.42,23.86,23.42,23.86,1300.0
2019-08-13,24.67,24.71,24.67,24.71,200.0
2019-08-12,24.94,25.0,24.5,24.63,1500.0
2019-08-09,25.0,25.07,25.0,25.06,3100.0
2019-08-08,24.88,25.15,24.88,25.04,1100.0
2019-08-07,24.98,24.98,24.92,24.92,300.0
2019-08-06,24.51,24.51,24.38,24.4,1500.0
2019-08-02,25.15,25.16,25.15,25.16,400.0
2019-08-01,25.0,25.06,25.0,25.06,3000.0
2019-07-31,24.54,25.0,24.54,24.87,1600.0
2019-07-30,25.19,25.25,25.19,25.25,2700.0
2019-07-29,24.57,25.26,24.57,25.25,2600.0
2019-07-26,25.42,25.5,25.42,25.5,500.0
2019-07-25,25.26,25.52,25.25,25.25,1200.0
2019-07-24,25.32,25.6,25.27,25.5,2400.0
2019-07-23,25.33,25.35,25.24,25.31,8000.0
2019-07-22,25.5,25.51,25.25,25.25,6600.0
2019-07-19,25.5,25.61,25.49,25.49,1300.0
2019-07-18,25.28,25.28,25.28,25.28,500.0
2019-07-17,25.27,25.35,25.27,25.35,1500.0
2019-07-16,25.25,25.45,25.2,25.45,3200.0
2019-07-15,25.21,25.21,24.99,25.0,2800.0
2019-07-12,25.25,25.3,25.2,25.2,1100.0
2019-07-11,25.0,25.27,24.88,25.27,9800.0
2019-07-10,25.01,25.4,25.01,25.21,3700.0
2019-07-09,25.06,25.06,25.0,25.0,2500.0
2019-07-08,25.29,25.29,25.1,25.11,2500.0
2019-07-05,25.25,25.25,25.0,25.24,3300.0
2019-07-04,25.39,25.4,25.39,25.4,1100.0
2019-07-03,25.38,25.45,25.35,25.35,5800.0
2019-07-02,25.49,25.49,25.45,25.45,400.0
2019-06-28,25.1,25.3,25.1,25.3,900.0
2019-06-27,25.25,25.25,25.01,25.11,1100.0
2019-06-26,25.35,25.35,25.35,25.35,200.0
2019-06-25,25.6,25.6,25.5,25.5,1000.0
2019-06-24,25.63,25.72,25.63,25.72,200.0
2019-06-21,25.77,25.85,25.75,25.75,1800.0
2019-06-20,25.8,26.1,25.8,25.89,2200.0
2019-06-19,25.4,25.4,25.4,25.4,100.0
2019-06-18,25.13,25.64,25.13,25.61,5600.0
2019-06-17,24.74,25.16,24.74,25.15,7500.0
2019-06-14,24.5,24.64,24.5,24.64,1400.0
2019-06-13,24.49,24.65,24.49,24.5,1500.0
2019-06-12,24.5,24.75,24.4,24.49,6300.0
2019-06-11,24.47,24.47,24.47,24.47,0.0
