,open,high,low,close,volume
2019-11-01,19.2,19.38,19.08,19.26,452700.0
2019-10-31,19.21,19.28,19.1,19.17,36600000.0
2019-10-30,19.28,19.28,19.19,19.25,301200.0
2019-10-29,19.26,19.44,19.18,19.26,382500.0
2019-10-28,19.23,19.36,19.17,19.28,815300.0
2019-10-25,19.12,19.23,19.11,19.17,209100.0
2019-10-24,19.05,19.31,19.03,19.13,284700.0
2019-10-23,19.1,19.21,18.98,19.06,255700.0
2019-10-22,19.05,19.47,19.05,19.15,417400.0
2019-10-21,19.11,19.13,18.94,19.06,271200.0
2019-10-18,18.83,19.24,18.83,19.09,437500.0
2019-10-17,19.15,19.15,18.91,18.91,378500.0
2019-10-16,18.85,19.21,18.76,19.14,380000.0
2019-10-15,18.82,18.95,18.62,18.84,400200.0
2019-10-11,18.72,18.95,18.65,18.86,371700.0
2019-10-10,18.52,18.81,18.52,18.65,233100.0
2019-10-09,18.51,18.62,18.45,18.56,245600.0
2019-10-08,18.51,18.51,18.26,18.43,390100.0
2019-10-07,18.46,18.62,18.46,18.59,257300.0
2019-10-04,18.55,18.61,18.45,18.51,298400.0
2019-10-03,18.64,18.67,18.32,18.53,403500.0
2019-10-02,18.75,18.89,18.47,18.68,391500.0
2019-10-01,19.33,19.44,18.68,18.91,779100.0
2019-09-30,19.35,19.49,19.32,19.33,383900.0
2019-09-27,19.35,19.48,19.15,19.37,721500.0
2019-09-26,19.13,19.66,19.13,19.46,1626300.0
2019-09-25,19.11,19.3,19.11,19.16,389700.0
2019-09-24,19.4,19.4,19.07,19.16,525900.0
2019-09-23,19.4,19.46,19.33,19.38,272400.0
2019-09-20,19.34,19.58,19.34,19.47,921100.0
2019-09-19,19.42,19.57,19.38,19.39,300800.0
2019-09-18,19.49,19.52,19.3,19.47,324700.0
2019-09-17,19.41,19.52,19.32,19.49,460500.0
2019-09-16,19.26,19.53,19.24,19.36,273800.0
2019-09-13,19.29,19.58,19.29,19.3,389100.0
2019-09-12,19.11,19.45,19.11,19.25,460700.0
2019-09-11,19.04,19.25,18.85,19.14,830400.0
2019-09-10,19.0,19.11,18.95,18.97,515900.0
2019-09-09,19.11,19.2,19.0,19.06,320400.0
2019-09-06,19.08,19.26,18.99,19.08,392600.0
2019-09-05,18.72,19.21,18.7,19.15,580500.0
2019-09-04,18.67,18.86,18.66,18.71,771600.0
2019-09-03,18.78,18.96,18.58,18.89,709000.0
2019-08-30,19.1,19.23,19.04,19.08,593900.0
2019-08-29,19.13,19.25,19.02,19.07,597100.0
2019-08-28,19.18,19.18,18.94,19.05,494200.0
2019-08-27,18.99,19.38,18.88,19.38,1207500.0
2019-08-26,18.91,19.05,18.69,18.95,408000.0
2019-08-23,18.99,19.13,18.79,18.82,329200.0
2019-08-22,19.08,19.48,18.79,19.1,323800.0
2019-08-21,18.98,19.12,18.91,19.1,424500.0
2019-08-20,18.97,19.01,18.73,18.97,431800.0
2019-08-19,18.86,19.09,18.86,19.05,412800.0
2019-08-16,18.4,18.88,18.27,18.85,720700.0
2019-08-15,18.22,18.41,18.17,18.38,514900.0
2019-08-14,18.25,18.35,18.13,18.28,696200.0
2019-08-13,18.14,18.62,18.14,18.4,775600.0
2019-08-12,18.19,18.47,18.08,18.12,482100.0
2019-08-09,18.0,18.28,18.0,18.2,898600.0
2019-08-08,19.97,19.97,18.26,18.32,1316500.0
2019-08-07,19.92,20.19,19.74,20.08,395400.0
2019-08-06,19.94,20.36,19.89,20.09,467400.0
2019-08-02,20.23,20.24,20.05,20.17,269100.0
2019-08-01,20.48,20.63,20.23,20.32,439900.0
2019-07-31,20.57,20.59,20.36,20.46,740800.0
2019-07-30,20.57,20.64,20.35,20.6,478000.0
2019-07-29,20.93,20.97,20.63,20.69,515000.0
2019-07-26,20.73,20.96,20.61,20.87,356100.0
2019-07-25,21.19,21.24,20.72,20.75,670800.0
2019-07-24,21.2,21.24,21.1,21.19,453300.0
2019-07-23,21.11,21.31,21.11,21.24,299100.0
2019-07-22,21.23,21.23,21.05,21.11,450900.0
2019-07-19,21.3,21.58,21.17,21.27,443500.0
2019-07-18,21.46,21.46,21.25,21.29,565800.0
2019-07-17,21.58,21.58,21.29,21.5,275400.0
2019-07-16,21.62,21.72,21.45,21.58,443000.0
2019-07-15,21.5,21.7,21.46,21.62,386500.0
2019-07-12,21.42,21.61,21.39,21.5,223100.0
2019-07-11,21.6,21.6,21.19,21.37,528800.0
2019-07-10,21.7,21.81,21.44,21.57,429700.0
2019-07-09,21.69,21.85,21.64,21.67,395000.0
2019-07-08,21.69,21.85,21.55,21.74,348300.0
2019-07-05,21.75,21.88,21.65,21.82,182400.0
2019-07-04,21.84,21.84,21.68,21.8,220100.0
2019-07-03,21.88,21.9,21.71,21.84,505000.0
2019-07-02,21.41,21.97,21.41,21.89,828200.0
2019-06-28,21.0,21.42,20.99,21.34,638900.0
2019-06-27,21.02,21.27,20.93,20.99,538300.0
2019-06-26,21.2,21.57,21.16,21.2,784000.0
2019-06-25,21.22,21.3,21.0,21.15,683500.0
2019-06-24,21.28,21.48,21.07,21.25,590300.0
2019-06-21,21.37,21.55,21.28,21.28,796700.0
2019-06-20,21.41,21.54,20.97,21.44,603200.0
2019-06-19,21.4,21.43,21.19,21.4,389200.0
2019-06-18,21.42,21.44,21.22,21.43,661700.0
2019-06-17,21.03,21.44,20.96,21.4,527800.0
2019-06-14,20.86,21.12,20.74,21.05,472300.0
2019-06-13,20.85,21.0,20.74,20.92,277900.0
2019-06-12,20.91,21.18,20.84,20.88,389600.0
