,open,high,low,close,volume
2019-11-01,4.85,5.06,4.85,5.03,4695800.0
2019-10-31,4.96,5.03,4.68,4.81,673870000.0
2019-10-30,5.28,5.33,5.14,5.19,1610000.0
2019-10-29,5.12,5.36,5.08,5.27,1778800.0
2019-10-28,5.37,5.46,5.17,5.18,2738200.0
2019-10-25,5.3,5.38,5.16,5.37,2112900.0
2019-10-24,5.41,5.42,5.22,5.32,2970800.0
2019-10-23,5.25,5.38,5.18,5.35,3016400.0
2019-10-22,5.1,5.4,5.05,5.29,3097300.0
2019-10-21,4.93,5.21,4.93,5.07,2926200.0
2019-10-18,5.14,5.14,4.95,4.98,1701300.0
2019-10-17,5.03,5.14,5.01,5.12,2468400.0
2019-10-16,5.13,5.24,5.01,5.03,1980600.0
2019-10-15,5.05,5.28,4.98,5.14,3824000.0
2019-10-11,5.05,5.19,5.01,5.12,3826700.0
2019-10-10,5.0,5.08,4.9,4.99,2331900.0
2019-10-09,5.16,5.17,4.96,4.98,2684800.0
2019-10-08,5.21,5.26,5.12,5.12,3053700.0
2019-10-07,5.32,5.45,5.26,5.29,2038800.0
2019-10-04,5.46,5.51,5.28,5.33,3714600.0
2019-10-03,5.31,5.45,5.22,5.45,2818100.0
2019-10-02,5.39,5.53,5.28,5.38,2925000.0
2019-10-01,5.65,5.74,5.4,5.47,3650900.0
2019-09-30,5.75,5.86,5.59,5.66,2976400.0
2019-09-27,5.69,5.91,5.65,5.77,3612700.0
2019-09-26,5.81,5.86,5.69,5.78,3211100.0
2019-09-25,5.81,5.96,5.68,5.88,5915600.0
2019-09-24,6.14,6.17,5.92,5.95,4589800.0
2019-09-23,6.19,6.28,6.13,6.17,4752900.0
2019-09-20,6.18,6.3,6.13,6.21,6132000.0
2019-09-19,6.15,6.27,6.11,6.12,5745200.0
2019-09-18,5.9,6.12,5.88,6.07,7180700.0
2019-09-17,6.1,6.24,5.88,6.05,8448900.0
2019-09-16,6.13,6.3,6.07,6.27,9841300.0
2019-09-13,5.6,5.72,5.49,5.69,6244300.0
2019-09-12,5.15,5.58,5.08,5.56,6995900.0
2019-09-11,5.4,5.45,5.22,5.37,6750100.0
2019-09-10,5.2,5.37,5.19,5.31,4626900.0
2019-09-09,4.99,5.22,4.99,5.14,3587100.0
2019-09-06,4.74,5.0,4.71,4.96,2644600.0
2019-09-05,4.75,4.89,4.67,4.83,3834200.0
2019-09-04,4.56,4.8,4.55,4.69,5473400.0
2019-09-03,4.28,4.5,4.18,4.47,7045700.0
2019-08-30,4.3,4.33,4.13,4.2,2593500.0
2019-08-29,4.24,4.35,4.2,4.35,2307600.0
2019-08-28,3.98,4.23,3.97,4.19,3945100.0
2019-08-27,3.96,3.97,3.83,3.89,1545900.0
2019-08-26,4.04,4.14,3.91,3.92,2858600.0
2019-08-23,4.07,4.09,3.99,4.01,3136900.0
2019-08-22,4.18,4.26,4.12,4.13,2363500.0
2019-08-21,4.21,4.28,4.09,4.17,2598300.0
2019-08-20,4.07,4.2,4.01,4.18,2417200.0
2019-08-19,4.01,4.11,4.01,4.1,2633500.0
2019-08-16,3.76,4.0,3.72,3.98,3776400.0
2019-08-15,3.8,3.8,3.69,3.72,2270500.0
2019-08-14,4.0,4.03,3.8,3.8,3996400.0
2019-08-13,4.05,4.21,4.02,4.15,2217500.0
2019-08-12,4.01,4.09,4.0,4.06,3259100.0
2019-08-09,4.09,4.15,4.03,4.12,2665700.0
2019-08-08,3.83,4.07,3.82,4.04,3829600.0
2019-08-07,3.84,3.89,3.7,3.78,5211100.0
2019-08-06,4.0,4.04,3.85,3.92,3827500.0
2019-08-02,4.3,4.32,4.09,4.1,2779000.0
2019-08-01,4.29,4.3,4.14,4.24,4548600.0
