,open,high,low,close,volume
2019-11-01,44.5,44.93,44.48,44.89,510800.0
2019-10-31,44.44,44.6,44.08,44.31,40660000.0
2019-10-30,44.0,44.6,43.89,44.52,946700.0
2019-10-29,44.97,45.15,44.34,44.4,916000.0
2019-10-28,45.47,45.7,44.89,45.08,744600.0
2019-10-25,45.61,45.86,45.25,45.38,426600.0
2019-10-24,45.1,45.84,45.09,45.66,384800.0
2019-10-23,45.64,45.93,45.2,45.35,414400.0
2019-10-22,46.5,46.78,45.69,45.7,374600.0
2019-10-21,46.46,46.64,45.57,46.41,415400.0
2019-10-18,46.61,46.74,46.19,46.33,733200.0
2019-10-17,47.0,47.05,46.24,46.34,773900.0
2019-10-16,47.47,47.47,46.67,46.82,649000.0
2019-10-15,47.46,47.95,47.11,47.39,565900.0
2019-10-11,47.58,48.25,47.27,47.28,462500.0
2019-10-10,47.88,47.97,47.25,47.4,513000.0
2019-10-09,46.6,48.08,46.6,47.75,749200.0
2019-10-08,46.46,47.02,46.23,46.58,741000.0
2019-10-07,48.0,48.0,46.51,46.73,765300.0
2019-10-04,47.75,48.23,47.72,48.0,431600.0
2019-10-03,47.47,47.74,46.71,47.71,1073600.0
2019-10-02,47.3,47.73,46.68,47.65,686500.0
2019-10-01,47.52,48.21,47.23,47.46,525400.0
2019-09-30,47.41,47.84,47.33,47.43,700300.0
2019-09-27,47.84,48.24,47.08,47.32,582400.0
2019-09-26,47.5,48.0,47.26,47.73,618000.0
2019-09-25,47.43,48.15,47.28,47.45,515200.0
2019-09-24,48.05,48.56,47.41,47.51,489400.0
2019-09-23,47.79,48.19,47.65,47.73,515200.0
2019-09-20,47.96,48.84,47.83,47.96,1429700.0
2019-09-19,46.9,48.25,46.75,47.98,1093700.0
2019-09-18,47.88,48.19,47.01,47.74,837300.0
2019-09-17,46.62,48.42,46.61,47.86,867200.0
2019-09-16,47.29,47.7,46.65,46.73,846300.0
2019-09-13,48.2,48.2,47.49,47.67,785700.0
2019-09-12,48.5,49.1,47.35,48.14,1511100.0
2019-09-11,48.06,48.82,47.8,48.48,700100.0
