,open,high,low,close,volume
2019-11-01,11.25,11.31,11.18,11.3,424000.0
2019-10-31,11.2,11.22,11.12,11.2,47820000.0
2019-10-30,11.21,11.34,11.18,11.2,658100.0
2019-10-29,11.19,11.26,11.05,11.2,930600.0
2019-10-28,11.09,11.21,11.01,11.2,573900.0
2019-10-25,11.05,11.12,11.02,11.04,245400.0
2019-10-24,10.92,11.3,10.92,11.11,1104500.0
2019-10-23,11.05,11.11,10.74,10.91,703700.0
2019-10-22,11.05,11.18,11.03,11.07,417600.0
2019-10-21,10.88,11.11,10.87,11.02,868900.0
2019-10-18,10.75,10.93,10.72,10.85,877800.0
2019-10-17,10.71,10.75,10.68,10.74,241100.0
2019-10-16,10.82,10.88,10.67,10.72,491000.0
2019-10-15,10.69,10.94,10.67,10.84,421300.0
2019-10-11,10.67,10.8,10.61,10.72,537300.0
2019-10-10,10.65,10.73,10.56,10.66,557400.0
2019-10-09,10.71,10.73,10.52,10.65,661100.0
2019-10-08,10.55,10.78,10.46,10.67,702600.0
2019-10-07,10.5,10.59,10.34,10.58,365100.0
2019-10-04,10.45,10.52,10.4,10.5,589400.0
2019-10-03,10.43,10.48,10.25,10.45,674800.0
2019-10-02,10.6,10.6,10.38,10.43,700600.0
2019-10-01,10.6,10.7,10.51,10.67,778800.0
2019-09-30,10.53,10.69,10.53,10.6,1130200.0
2019-09-27,10.55,10.75,10.55,10.6,632900.0
2019-09-26,10.58,10.62,10.5,10.6,522900.0
2019-09-25,10.56,10.59,10.49,10.59,621200.0
2019-09-24,10.59,10.63,10.49,10.59,399100.0
2019-09-23,10.62,10.66,10.55,10.58,269800.0
2019-09-20,10.61,10.65,10.58,10.62,630300.0
2019-09-19,10.66,10.77,10.63,10.66,404200.0
2019-09-18,10.67,10.69,10.6,10.65,164600.0
2019-09-17,10.63,10.72,10.59,10.72,626500.0
2019-09-16,10.75,10.77,10.61,10.64,404400.0
2019-09-13,10.77,10.8,10.71,10.75,333600.0
2019-09-12,10.74,10.81,10.64,10.75,471100.0
2019-09-11,10.69,10.79,10.6,10.74,593800.0
2019-09-10,10.78,10.86,10.62,10.79,1186300.0
2019-09-09,10.79,10.84,10.75,10.78,433000.0
2019-09-06,10.68,10.81,10.68,10.77,1247300.0
2019-09-05,10.63,10.71,10.59,10.69,322000.0
2019-09-04,10.57,10.64,10.47,10.6,607600.0
2019-09-03,10.61,10.67,10.49,10.57,461900.0
2019-08-30,10.68,10.84,10.61,10.66,1288100.0
2019-08-29,10.6,10.76,10.57,10.67,1099400.0
2019-08-28,10.46,10.58,10.34,10.55,372100.0
2019-08-27,10.41,10.52,10.34,10.48,748600.0
2019-08-26,10.31,10.43,10.23,10.39,534100.0
2019-08-23,10.32,10.33,10.2,10.25,1527500.0
2019-08-22,10.38,10.38,10.3,10.33,200800.0
2019-08-21,10.35,10.37,10.3,10.35,411600.0
2019-08-20,10.29,10.37,10.26,10.31,785000.0
2019-08-19,10.24,10.42,10.24,10.33,1253700.0
2019-08-16,10.2,10.33,10.17,10.23,468800.0
