,open,high,low,close,volume
2019-11-01,48.1,48.53,48.09,48.45,4244400.0
2019-10-31,47.95,47.97,47.63,47.97,366330000.0
2019-10-30,47.8,48.03,47.61,47.98,2867300.0
2019-10-29,47.8,47.96,47.51,47.74,7926100.0
2019-10-28,47.76,48.07,47.7,47.83,2934200.0
2019-10-25,47.66,47.72,47.53,47.65,2912400.0
2019-10-24,47.99,47.99,47.53,47.83,2810400.0
2019-10-23,47.44,48.05,47.42,47.83,3825400.0
2019-10-22,47.56,47.88,47.45,47.5,4942600.0
2019-10-21,47.35,47.5,47.29,47.42,2649800.0
2019-10-18,47.28,47.59,46.95,47.36,4825800.0
2019-10-17,47.15,47.19,46.63,46.97,2785100.0
2019-10-16,47.15,47.3,47.04,47.15,3507400.0
2019-10-15,47.18,47.38,46.87,47.1,4564000.0
2019-10-11,47.63,47.85,47.4,47.42,2701800.0
2019-10-10,47.01,47.53,47.0,47.4,4834600.0
2019-10-09,46.5,46.92,46.41,46.88,4317300.0
2019-10-08,46.27,46.5,45.99,46.35,4768500.0
2019-10-07,46.16,46.44,45.89,46.35,4666300.0
2019-10-04,45.9,46.39,45.8,46.33,2223500.0
2019-10-03,45.51,45.86,45.08,45.84,5057200.0
2019-10-02,46.3,46.47,45.45,45.49,2838900.0
2019-10-01,46.62,46.81,45.94,46.5,3507300.0
2019-09-30,47.68,47.87,46.39,46.5,5634800.0
2019-09-27,47.49,47.78,47.27,47.78,2545200.0
2019-09-26,46.82,47.49,46.71,47.36,2559000.0
2019-09-25,46.74,46.94,46.61,46.88,2276600.0
2019-09-24,46.72,47.13,46.69,46.86,3070500.0
2019-09-23,46.92,46.99,46.49,46.61,3535300.0
2019-09-20,46.78,47.13,46.76,46.91,7536500.0
2019-09-19,47.09,47.16,46.54,46.69,3857800.0
2019-09-18,47.0,47.26,46.73,46.73,3596700.0
2019-09-17,46.68,46.82,46.56,46.7,2350900.0
2019-09-16,46.9,47.16,46.47,46.63,5092700.0
2019-09-13,45.96,46.57,45.92,46.32,4294600.0
2019-09-12,45.85,46.12,45.5,45.88,4707500.0
2019-09-11,45.7,46.05,45.69,45.86,3071800.0
2019-09-10,45.3,45.84,45.29,45.66,3664800.0
2019-09-09,45.41,45.47,45.11,45.3,4779800.0
2019-09-06,45.0,45.36,44.89,45.25,2743500.0
2019-09-05,44.76,45.34,44.75,45.08,3349700.0
2019-09-04,44.93,45.28,44.48,44.51,4282700.0
