,open,high,low,close,volume
2019-11-01,11.35,11.81,11.29,11.73,4159000.0
2019-10-31,11.7,11.77,10.89,11.13,463850000.0
2019-10-30,11.71,11.8,11.24,11.7,4249100.0
2019-10-29,11.03,11.88,10.93,11.64,5021900.0
2019-10-28,10.98,11.29,10.98,11.22,1601700.0
2019-10-25,10.69,11.13,10.69,10.99,1719000.0
2019-10-24,11.22,11.3,10.54,10.76,2024000.0
2019-10-23,11.17,11.2,10.76,11.0,2525800.0
2019-10-22,11.03,11.27,10.88,10.93,1588900.0
2019-10-21,11.33,11.5,11.0,11.04,3261000.0
2019-10-18,11.45,11.46,10.97,11.08,4558100.0
2019-10-17,10.75,11.68,10.69,11.1,6160700.0
2019-10-16,9.85,10.01,9.71,9.97,2391700.0
2019-10-15,9.93,9.99,9.56,9.88,3554000.0
2019-10-11,9.74,10.54,9.7,10.19,8406400.0
2019-10-10,9.65,9.75,9.46,9.64,3309900.0
2019-10-09,9.6,9.67,9.35,9.41,3567300.0
2019-10-08,9.52,9.54,9.34,9.48,3105400.0
2019-10-07,9.73,9.77,9.59,9.62,4149000.0
2019-10-04,9.75,9.9,9.55,9.67,3997100.0
2019-10-03,9.79,9.98,9.71,9.81,5795600.0
2019-10-02,10.53,10.57,9.92,9.96,4408900.0
2019-10-01,10.79,11.22,10.4,10.79,4562700.0
2019-09-30,10.89,11.23,10.79,11.13,3746500.0
2019-09-27,10.61,11.21,10.57,10.83,5003500.0
2019-09-26,11.64,11.68,10.28,10.37,5299400.0
2019-09-25,11.4,11.87,10.95,11.59,2434100.0
2019-09-24,11.04,11.58,10.99,11.56,4999100.0
2019-09-23,11.07,11.29,10.59,11.03,6479100.0
2019-09-20,11.67,12.72,11.63,12.21,12197800.0
2019-09-19,10.18,11.66,10.16,11.2,7390100.0
2019-09-18,10.54,10.57,9.96,10.15,4349400.0
2019-09-17,10.33,10.6,10.25,10.6,2600500.0
2019-09-16,10.6,10.75,10.4,10.55,2989600.0
2019-09-13,10.49,11.12,10.38,11.0,7969700.0
2019-09-12,9.25,10.38,9.24,10.03,11780100.0
2019-09-11,9.53,9.65,9.16,9.24,3524300.0
2019-09-10,9.22,9.6,9.06,9.4,2779900.0
2019-09-09,9.06,9.34,9.05,9.24,4991900.0
2019-09-06,9.4,9.4,9.02,9.05,1779200.0
2019-09-05,8.95,9.38,8.9,9.3,4893400.0
2019-09-04,8.4,8.82,8.38,8.69,3519200.0
2019-09-03,7.98,8.22,7.86,8.17,3231100.0
2019-08-30,8.09,8.22,7.97,8.16,2851200.0
2019-08-29,8.18,8.4,7.97,7.99,3106000.0
2019-08-28,7.87,8.03,7.85,7.99,4130600.0
2019-08-27,8.23,8.32,7.84,7.89,3065300.0
2019-08-26,8.53,8.65,8.09,8.17,2421300.0
2019-08-23,8.81,8.83,8.36,8.41,2293900.0
2019-08-22,8.98,9.0,8.78,8.8,1492000.0
2019-08-21,9.05,9.22,8.9,8.95,1866800.0
2019-08-20,9.04,9.07,8.9,8.96,1849500.0
2019-08-19,8.74,9.21,8.6,9.16,2422500.0
2019-08-16,8.74,8.75,8.31,8.44,1709500.0
2019-08-15,8.98,9.02,8.49,8.63,2807800.0
2019-08-14,9.39,9.47,8.92,8.96,3956700.0
2019-08-13,9.57,9.94,9.52,9.7,3035700.0
2019-08-12,9.6,9.71,9.42,9.59,3653600.0
2019-08-09,10.11,10.25,9.54,9.58,5248300.0
2019-08-08,10.18,10.38,10.15,10.3,3692800.0
2019-08-07,10.0,10.12,9.74,10.04,4078000.0
2019-08-06,10.29,10.32,9.83,10.14,3816600.0
2019-08-02,10.63,10.63,10.29,10.49,4022400.0
2019-08-01,11.91,11.96,10.62,10.74,4221600.0
2019-07-31,11.86,12.19,11.83,12.16,2544300.0
2019-07-30,11.86,12.21,11.68,12.13,4544500.0
2019-07-29,12.45,12.64,11.99,12.24,2125300.0
2019-07-26,12.47,12.63,12.4,12.51,916900.0
2019-07-25,12.98,13.01,12.34,12.43,2014600.0
2019-07-24,12.8,13.0,12.69,12.88,2379800.0
2019-07-23,13.1,13.19,12.84,12.95,2147000.0
2019-07-22,13.16,13.35,13.03,13.05,2460800.0
2019-07-19,12.97,13.49,12.97,13.31,3171800.0
2019-07-18,12.33,12.59,12.26,12.52,2239300.0
2019-07-17,12.51,12.6,12.25,12.39,2730100.0
2019-07-16,11.81,12.74,11.8,12.69,3519600.0
2019-07-15,11.56,11.97,11.56,11.95,1950300.0
2019-07-12,11.32,11.45,11.24,11.43,1397700.0
2019-07-11,10.93,11.47,10.93,11.39,2460800.0
2019-07-10,11.03,11.1,10.81,11.08,2834600.0
2019-07-09,11.35,11.35,10.39,10.8,4335700.0
2019-07-08,11.67,11.76,11.52,11.55,1663300.0
2019-07-05,11.9,12.05,11.55,11.77,2769400.0
2019-07-04,12.03,12.2,12.03,12.09,524000.0
2019-07-03,12.42,12.47,12.1,12.17,984600.0
2019-07-02,12.29,12.37,11.92,12.35,2865700.0
2019-06-28,12.33,12.47,12.21,12.44,1629300.0
2019-06-27,12.45,12.5,12.22,12.26,2019100.0
2019-06-26,12.33,12.52,12.03,12.42,2201800.0
2019-06-25,12.5,12.63,12.29,12.4,3014100.0
2019-06-24,12.11,12.38,11.93,12.34,2373100.0
2019-06-21,11.88,12.09,11.8,11.95,5158500.0
