,open,high,low,close,volume
2019-11-01,54.75,55.36,54.0,54.27,1455200.0
2019-10-31,54.31,54.95,54.19,54.72,114930000.0
2019-10-30,53.73,54.58,53.7,54.26,706400.0
2019-10-29,53.71,53.89,53.24,53.79,959100.0
2019-10-28,53.94,54.11,53.63,53.67,1258500.0
2019-10-25,54.15,54.43,53.59,53.98,1292900.0
2019-10-24,54.33,54.7,54.12,54.14,1063500.0
2019-10-23,54.86,55.14,53.99,54.39,1673100.0
2019-10-22,55.2,55.66,54.54,54.68,1540600.0
2019-10-21,54.7,55.09,54.38,55.01,1323300.0
2019-10-18,54.67,54.71,54.22,54.51,1132400.0
2019-10-17,54.71,54.82,54.29,54.41,661200.0
2019-10-16,55.22,55.22,54.58,54.8,1425500.0
2019-10-15,55.33,55.68,54.84,55.07,1279200.0
2019-10-11,56.09,56.13,55.3,55.41,1142800.0
2019-10-10,56.41,56.59,55.97,56.22,1285900.0
2019-10-09,56.59,56.65,56.28,56.41,1119900.0
2019-10-08,56.8,56.83,56.32,56.47,1037000.0
2019-10-07,56.76,56.9,56.57,56.78,660400.0
2019-10-04,56.52,56.94,56.46,56.65,864700.0
2019-10-03,56.12,56.8,56.09,56.48,1357800.0
2019-10-02,56.03,56.25,55.64,56.05,861600.0
2019-10-01,56.0,56.28,55.76,56.02,832400.0
2019-09-30,56.27,56.64,55.99,56.01,1082900.0
2019-09-27,56.64,56.64,55.95,56.09,1052400.0
2019-09-26,56.25,56.79,56.25,56.59,958000.0
2019-09-25,55.96,56.22,55.77,56.16,883900.0
2019-09-24,56.14,56.49,55.93,55.96,1124200.0
2019-09-23,55.85,56.2,55.72,55.92,647900.0
2019-09-20,55.57,56.09,55.57,55.76,2738300.0
2019-09-19,55.54,55.86,55.43,55.54,821600.0
2019-09-18,55.74,55.75,55.44,55.45,1190200.0
2019-09-17,55.5,56.26,55.48,55.63,1231500.0
2019-09-16,55.43,55.6,55.05,55.35,994900.0
2019-09-13,55.26,55.65,54.95,55.44,1146500.0
2019-09-12,55.27,55.85,55.13,55.32,1097700.0
2019-09-11,54.89,55.34,54.72,55.24,1387100.0
2019-09-10,55.37,55.4,54.7,55.17,1277400.0
2019-09-09,55.51,55.56,54.83,55.43,1267200.0
2019-09-06,55.65,55.73,55.15,55.62,992000.0
2019-09-05,56.03,56.24,55.64,55.65,1023600.0
2019-09-04,56.36,56.62,55.92,56.08,1543700.0
2019-09-03,55.01,56.37,55.01,56.33,1724500.0
2019-08-30,54.81,55.31,54.55,54.97,957000.0
2019-08-29,54.83,54.95,54.36,54.73,595900.0
2019-08-28,54.78,54.86,54.48,54.65,685000.0
2019-08-27,54.28,54.94,54.22,54.83,1152000.0
2019-08-26,54.07,54.36,53.96,54.15,830100.0
2019-08-23,54.22,54.28,53.91,54.03,2497700.0
2019-08-22,54.51,54.58,54.13,54.36,2199800.0
2019-08-21,54.71,54.82,54.47,54.79,664700.0
2019-08-20,54.71,54.85,54.49,54.6,533500.0
2019-08-19,53.96,54.72,53.87,54.64,832900.0
2019-08-16,54.54,54.64,54.19,54.43,673500.0
2019-08-15,53.96,54.35,53.96,54.23,830500.0
2019-08-14,54.04,54.34,53.8,53.96,996100.0
2019-08-13,53.85,54.26,53.65,54.0,743100.0
2019-08-12,53.76,54.17,53.63,53.92,587000.0
2019-08-09,53.67,54.07,53.62,53.87,583300.0
2019-08-08,53.62,54.06,53.38,53.71,903700.0
2019-08-07,53.2,53.97,53.18,53.69,1208900.0
2019-08-06,52.08,53.33,52.06,53.16,2000900.0
2019-08-02,52.5,52.62,52.27,52.36,1016000.0
2019-08-01,51.92,52.68,51.62,52.51,1024500.0
2019-07-31,51.94,52.19,51.68,52.02,1380500.0
2019-07-30,52.35,52.42,51.8,52.02,615500.0
2019-07-29,51.92,52.38,51.83,52.27,676800.0
2019-07-26,51.84,52.18,51.84,51.9,806100.0
2019-07-25,51.96,51.97,51.62,51.87,496300.0
2019-07-24,51.86,51.93,51.44,51.88,647300.0
2019-07-23,51.77,51.99,51.58,51.77,446100.0
2019-07-22,51.64,51.79,51.45,51.59,730300.0
2019-07-19,51.98,52.05,51.51,51.58,639300.0
2019-07-18,51.79,52.01,51.62,51.88,716800.0
2019-07-17,51.88,52.1,51.78,51.78,813200.0
2019-07-16,51.78,51.85,51.46,51.79,607200.0
2019-07-15,52.11,52.16,51.79,51.89,423100.0
2019-07-12,52.64,52.65,51.9,52.06,943700.0
2019-07-11,52.52,52.9,52.35,52.71,1006700.0
2019-07-10,52.52,52.76,52.45,52.51,749400.0
2019-07-09,52.27,52.58,52.18,52.49,637900.0
2019-07-08,52.11,52.31,51.92,52.24,707200.0
2019-07-05,52.31,52.31,51.85,52.22,674200.0
2019-07-04,52.3,52.48,52.12,52.19,250200.0
2019-07-03,52.11,52.52,52.09,52.23,646200.0
2019-07-02,52.19,52.22,51.73,52.0,772200.0
2019-06-28,51.59,51.9,51.38,51.71,1167800.0
2019-06-27,51.86,52.0,51.21,51.59,877900.0
2019-06-26,52.23,52.35,51.69,51.88,839600.0
2019-06-25,52.58,52.58,52.15,52.24,693400.0
2019-06-24,52.95,52.95,52.4,52.59,641600.0
2019-06-21,52.65,52.94,52.46,52.83,3504900.0
2019-06-20,52.64,52.81,52.47,52.67,936000.0
2019-06-19,52.25,52.74,52.25,52.55,869400.0
2019-06-18,52.25,52.26,52.01,52.21,1056900.0
2019-06-17,52.17,52.21,51.8,52.08,1020600.0
2019-06-14,51.88,52.2,51.78,52.15,813900.0
2019-06-13,51.91,52.01,51.73,51.89,948500.0
2019-06-12,51.55,52.04,51.27,51.83,922000.0
2019-06-11,51.67,51.67,51.26,51.45,1007900.0
