,open,high,low,close,volume
2019-11-01,33.71,34.21,33.59,33.96,900800.0
2019-10-31,33.72,35.19,33.54,33.65,93020000.0
2019-10-30,33.85,34.15,33.71,33.85,1053400.0
2019-10-29,34.12,34.38,33.76,33.9,1150900.0
2019-10-28,33.93,34.57,33.79,34.18,1204400.0
2019-10-25,34.42,34.52,33.86,33.88,988400.0
2019-10-24,35.14,35.14,34.06,34.52,637400.0
2019-10-23,36.29,36.4,34.68,35.07,767300.0
2019-10-22,35.35,37.4,35.02,36.41,1194300.0
2019-10-21,34.54,36.05,34.07,35.37,1822200.0
2019-10-18,31.01,37.14,30.81,34.53,6407700.0
2019-10-17,46.59,46.8,46.22,46.49,314400.0
2019-10-16,46.49,46.99,46.2,46.61,648600.0
2019-10-15,45.55,46.6,45.45,46.51,890100.0
2019-10-11,46.53,46.79,45.94,45.98,417300.0
2019-10-10,46.09,46.38,45.96,46.35,336200.0
2019-10-09,46.08,46.53,45.85,46.31,342900.0
2019-10-08,46.22,46.3,45.78,45.97,332500.0
2019-10-07,46.61,46.7,46.34,46.49,257300.0
2019-10-04,46.68,47.04,46.55,46.64,244300.0
2019-10-03,46.45,46.73,45.9,46.71,316000.0
2019-10-02,46.01,46.46,45.75,46.43,463300.0
2019-10-01,47.17,47.55,46.01,46.14,424400.0
2019-09-30,46.9,47.31,46.87,47.02,406600.0
2019-09-27,47.21,47.26,46.68,46.79,292800.0
2019-09-26,46.4,47.4,46.33,47.1,608600.0
2019-09-25,46.61,46.8,45.93,46.38,447900.0
2019-09-24,46.87,47.16,46.43,46.52,506000.0
2019-09-23,46.97,47.18,46.63,46.69,451900.0
2019-09-20,47.78,48.33,47.09,47.09,1250400.0
2019-09-19,48.15,48.41,47.59,47.59,578300.0
2019-09-18,48.91,48.91,47.99,48.07,492300.0
2019-09-17,48.12,48.97,47.9,48.89,385800.0
2019-09-16,49.6,49.6,48.05,48.08,394400.0
2019-09-13,49.38,50.22,49.34,49.78,425200.0
2019-09-12,49.4,49.46,48.67,49.35,547200.0
2019-09-11,49.0,49.75,48.61,49.3,458100.0
2019-09-10,48.9,49.11,48.5,49.0,393600.0
2019-09-09,49.1,49.1,48.73,49.0,336600.0
2019-09-06,49.59,49.59,49.0,49.07,361200.0
2019-09-05,49.55,49.95,49.44,49.58,437000.0
2019-09-04,48.77,49.38,48.77,49.23,618000.0
2019-09-03,48.81,49.33,48.4,48.58,509300.0
2019-08-30,49.25,49.45,48.63,48.81,329800.0
2019-08-29,48.53,49.23,48.53,49.08,443100.0
2019-08-28,47.98,48.29,47.85,48.15,240700.0
2019-08-27,47.73,48.21,47.59,48.15,601900.0
2019-08-26,47.67,48.11,47.21,47.59,381600.0
2019-08-23,47.73,47.82,47.19,47.32,350700.0
2019-08-22,48.6,48.81,48.14,48.49,278000.0
2019-08-21,48.73,48.87,48.38,48.6,431800.0
2019-08-20,48.34,48.84,47.98,48.62,400800.0
2019-08-19,48.43,48.99,48.37,48.44,356700.0
2019-08-16,48.27,48.38,47.87,48.03,436700.0
2019-08-15,47.79,48.06,47.7,47.9,413800.0
2019-08-14,48.72,48.84,47.4,47.72,538300.0
2019-08-13,48.73,49.73,48.72,49.56,545900.0
2019-08-12,49.17,49.48,48.73,48.75,292900.0
2019-08-09,49.87,49.97,49.19,49.39,326300.0
2019-08-08,49.9,50.24,49.69,50.04,363700.0
