,open,high,low,close,volume
2019-11-01,8.35,8.4,8.31,8.39,382700.0
2019-10-31,8.34,8.44,8.33,8.38,13400000.0
2019-10-30,8.36,8.37,8.28,8.35,156600.0
2019-10-29,8.46,8.5,8.28,8.34,242500.0
2019-10-28,8.41,8.51,8.41,8.45,271200.0
2019-10-25,8.47,8.56,8.44,8.44,261700.0
2019-10-24,8.63,8.63,8.42,8.49,378800.0
2019-10-23,8.88,8.88,8.46,8.58,825800.0
2019-10-22,8.6,8.8,8.5,8.72,885700.0
2019-10-21,7.79,8.57,7.78,8.55,1123600.0
2019-10-18,7.52,7.53,7.45,7.51,149100.0
2019-10-17,7.54,7.58,7.5,7.51,212700.0
2019-10-16,7.6,7.61,7.45,7.53,270200.0
2019-10-15,7.61,7.66,7.53,7.61,359000.0
2019-10-11,7.43,7.58,7.38,7.57,319600.0
2019-10-10,7.39,7.47,7.37,7.4,205000.0
2019-10-09,7.35,7.39,7.35,7.36,84700.0
2019-10-08,7.39,7.42,7.35,7.36,194400.0
2019-10-07,7.4,7.41,7.33,7.4,142100.0
2019-10-04,7.39,7.42,7.32,7.39,160800.0
2019-10-03,7.42,7.48,7.38,7.4,187000.0
2019-10-02,7.43,7.47,7.4,7.42,199800.0
2019-10-01,7.43,7.535,7.42,7.45,276000.0
2019-09-30,7.48,7.48,7.41,7.43,236800.0
2019-09-27,7.45,7.45,7.39,7.42,200700.0
2019-09-26,7.44,7.46,7.41,7.44,326600.0
2019-09-25,7.43,7.49,7.4,7.44,222500.0
2019-09-24,7.45,7.5,7.41,7.43,199600.0
2019-09-23,7.44,7.49,7.42,7.45,381600.0
2019-09-20,7.54,7.54,7.4,7.46,538000.0
2019-09-19,7.53,7.56,7.49,7.52,86200.0
2019-09-18,7.5,7.56,7.46,7.54,197400.0
2019-09-17,7.6,7.66,7.5,7.51,142600.0
2019-09-16,7.69,7.76,7.56,7.59,289300.0
2019-09-13,7.75,7.89,7.75,7.8,317400.0
2019-09-12,7.68,7.75,7.68,7.71,283200.0
2019-09-11,7.75,7.76,7.63,7.7,232000.0
2019-09-10,7.81,7.81,7.7,7.75,143400.0
2019-09-09,7.78,7.88,7.73,7.85,149800.0
2019-09-06,7.77,7.8,7.73,7.79,111600.0
2019-09-05,7.61,7.8,7.55,7.8,170900.0
2019-09-04,7.59,7.62,7.55,7.59,96800.0
2019-09-03,7.57,7.63,7.49,7.57,182500.0
2019-08-30,7.54,7.57,7.52,7.53,116800.0
2019-08-29,7.57,7.62,7.53,7.53,147800.0
2019-08-28,7.56,7.58,7.51,7.56,166500.0
2019-08-27,7.66,7.68,7.55,7.58,230300.0
2019-08-26,7.61,7.73,7.61,7.66,137000.0
2019-08-23,7.74,7.75,7.63,7.68,241500.0
2019-08-22,7.73,7.8,7.73,7.74,307100.0
2019-08-21,7.72,7.8,7.68,7.75,291700.0
2019-08-20,7.76,7.8,7.72,7.76,213100.0
2019-08-19,7.75,7.83,7.72,7.76,140100.0
2019-08-16,7.74,7.81,7.67,7.79,175300.0
2019-08-15,7.75,7.8,7.65,7.72,99700.0
2019-08-14,7.79,7.89,7.76,7.77,260100.0
2019-08-13,7.78,7.88,7.77,7.84,322100.0
2019-08-12,7.47,7.89,7.47,7.75,510800.0
2019-08-09,7.43,7.58,7.41,7.57,263100.0
2019-08-08,7.44,7.53,7.4,7.44,241300.0
2019-08-07,7.4,7.44,7.35,7.38,262800.0
2019-08-06,7.52,7.52,7.39,7.45,368400.0
2019-08-02,7.53,7.6,7.52,7.53,134000.0
2019-08-01,7.48,7.59,7.46,7.54,183200.0
2019-07-31,7.53,7.55,7.47,7.49,206600.0
2019-07-30,7.47,7.6,7.47,7.49,212700.0
2019-07-29,7.43,7.52,7.43,7.47,195700.0
2019-07-26,7.44,7.46,7.41,7.44,144800.0
2019-07-25,7.45,7.46,7.42,7.45,131400.0
2019-07-24,7.49,7.52,7.44,7.45,175000.0
2019-07-23,7.54,7.54,7.43,7.48,213300.0
2019-07-22,7.53,7.63,7.47,7.53,214100.0
2019-07-19,7.48,7.58,7.47,7.55,280900.0
2019-07-18,7.45,7.55,7.45,7.5,316500.0
2019-07-17,7.47,7.52,7.42,7.48,123700.0
2019-07-16,7.44,7.485,7.415,7.43,198200.0
2019-07-15,7.47,7.53,7.43,7.45,128200.0
2019-07-12,7.47,7.53,7.42,7.46,243900.0
2019-07-11,7.5,7.55,7.41,7.5,358200.0
2019-07-10,7.45,7.54,7.445,7.52,80800.0
2019-07-09,7.44,7.48,7.39,7.47,205300.0
2019-07-08,7.56,7.58,7.41,7.42,190000.0
2019-07-05,7.54,7.62,7.53,7.54,88600.0
2019-07-04,7.56,7.57,7.47,7.51,145700.0
2019-07-03,7.74,7.77,7.54,7.57,109600.0
2019-07-02,7.69,7.79,7.69,7.75,431500.0
2019-06-28,7.66,7.755,7.63,7.72,156000.0
2019-06-27,7.74,7.76,7.66,7.67,208900.0
2019-06-26,7.71,7.8,7.63,7.74,197700.0
2019-06-25,7.69,7.74,7.69,7.72,237500.0
2019-06-24,7.71,8.0,7.69,7.74,309400.0
2019-06-21,7.68,7.73,7.525,7.72,3938200.0
