,open,high,low,close,volume
2019-11-01,2.8,2.95,2.75,2.87,1240100.0
2019-10-31,2.95,2.96,2.77,2.83,171940000.0
2019-10-30,2.86,3.08,2.82,2.97,2223400.0
2019-10-29,2.79,3.0,2.72,2.94,4379500.0
2019-10-28,3.08,3.23,3.02,3.03,1967400.0
2019-10-25,3.2,3.23,3.01,3.11,3183000.0
2019-10-24,3.58,3.59,3.26,3.31,3389900.0
2019-10-23,3.33,3.74,3.2,3.51,5395100.0
2019-10-22,3.49,3.545,3.35,3.39,2021300.0
2019-10-21,3.53,3.56,3.225,3.52,4002000.0
2019-10-18,3.96,3.96,3.53,3.6,3119400.0
2019-10-17,3.42,3.89,3.28,3.81,3690100.0
2019-10-16,3.5,3.5,3.21,3.25,2245500.0
2019-10-15,3.12,3.6,3.07,3.37,4742300.0
2019-10-11,3.65,3.8,3.34,3.35,4917600.0
2019-10-10,3.95,4.1,3.6,3.76,7700800.0
2019-10-09,4.88,5.04,4.85,4.88,1036900.0
2019-10-08,4.86,4.96,4.74,4.86,2296700.0
2019-10-07,5.17,5.21,5.03,5.06,2066100.0
2019-10-04,5.3,5.5,5.27,5.42,1926500.0
2019-10-03,5.0,5.3,4.91,5.27,1943600.0
2019-10-02,4.91,5.18,4.68,5.02,3418200.0
2019-10-01,5.25,5.33,4.86,5.07,1856100.0
2019-09-30,5.57,5.6,5.2,5.23,1685000.0
2019-09-27,5.43,5.73,5.4,5.55,1683300.0
2019-09-26,5.58,5.62,5.4,5.46,852600.0
2019-09-25,5.47,5.59,5.29,5.48,1377100.0
2019-09-24,5.83,5.87,5.42,5.49,2267900.0
2019-09-23,5.83,6.13,5.81,5.84,2443600.0
2019-09-20,5.3,5.86,5.23,5.84,3223400.0
2019-09-19,5.48,5.48,5.19,5.24,977000.0
2019-09-18,5.36,5.5,5.31,5.44,942400.0
2019-09-17,5.68,5.68,5.335,5.39,1224000.0
2019-09-16,5.65,5.73,5.58,5.66,771500.0
2019-09-13,5.55,5.67,5.505,5.64,677500.0
2019-09-12,5.57,5.68,5.5,5.51,1010400.0
2019-09-11,5.85,5.89,5.63,5.73,1440100.0
2019-09-10,5.8,5.97,5.68,5.83,1007600.0
2019-09-09,6.23,6.23,5.8,5.84,1383700.0
2019-09-06,6.03,6.22,5.87,6.1,2116400.0
2019-09-05,5.69,6.05,5.67,5.99,1268600.0
2019-09-04,5.61,5.7,5.45,5.65,944300.0
2019-09-03,5.35,5.59,5.3,5.59,1173600.0
2019-08-30,5.28,5.36,5.23,5.35,806500.0
2019-08-29,5.22,5.35,5.15,5.26,1337600.0
2019-08-28,5.04,5.36,4.93,5.23,1799100.0
2019-08-27,5.44,5.44,5.02,5.13,1279600.0
2019-08-26,5.4,5.41,5.22,5.34,1009500.0
2019-08-23,5.26,5.57,5.23,5.34,1194700.0
2019-08-22,5.48,5.55,5.27,5.31,1055400.0
2019-08-21,5.57,5.65,5.46,5.5,772100.0
2019-08-20,5.75,5.8,5.58,5.62,829200.0
2019-08-19,6.05,6.07,5.69,5.77,1021500.0
2019-08-16,5.79,6.12,5.75,5.89,1711400.0
2019-08-15,5.93,5.98,5.54,5.69,2448200.0
2019-08-14,6.4,6.52,6.08,6.09,2512400.0
2019-08-13,6.22,6.54,6.12,6.51,2007300.0
2019-08-12,6.09,6.3,5.9,6.28,1558600.0
2019-08-09,6.0,6.28,5.76,6.14,2283700.0
2019-08-08,5.96,6.09,5.87,6.02,2664900.0
2019-08-07,5.74,5.83,5.69,5.81,1296600.0
2019-08-06,5.77,5.945,5.66,5.85,2354000.0
2019-08-02,5.56,5.89,5.53,5.79,3167000.0
2019-08-01,5.62,5.66,5.22,5.39,1706100.0
2019-07-31,5.47,5.7,5.43,5.58,2258400.0
2019-07-30,5.73,5.86,5.41,5.49,3710100.0
2019-07-29,5.23,5.8,4.9,5.72,6497900.0
2019-07-26,5.33,5.495,5.23,5.24,3722000.0
2019-07-25,5.6,5.89,5.32,5.37,3408800.0
2019-07-24,5.83,5.87,5.6,5.62,3009700.0
2019-07-23,6.17,6.17,5.8,5.93,2070600.0
2019-07-22,6.41,6.45,6.12,6.18,868100.0
2019-07-19,6.53,6.55,6.39,6.4,407900.0
2019-07-18,6.6,6.65,6.35,6.49,956600.0
2019-07-17,6.63,6.69,6.56,6.66,956000.0
2019-07-16,6.73,6.73,6.54,6.58,886200.0
2019-07-15,6.33,6.64,6.25,6.58,1283900.0
2019-07-12,6.65,6.65,6.26,6.33,1837600.0
2019-07-11,6.73,6.8,6.64,6.69,845400.0
2019-07-10,6.83,6.85,6.61,6.67,868300.0
2019-07-09,6.59,6.83,6.49,6.78,1342100.0
2019-07-08,6.79,6.79,6.6,6.62,919900.0
2019-07-05,6.87,6.91,6.77,6.81,598200.0
2019-07-04,6.84,6.9,6.78,6.88,249200.0
2019-07-03,6.71,6.91,6.69,6.86,973200.0
2019-07-02,6.95,7.0,6.75,6.8,1078500.0
2019-06-28,7.2,7.25,6.87,6.99,1574300.0
2019-06-27,6.63,7.15,6.63,7.08,2782600.0
2019-06-26,6.72,6.86,6.59,6.62,2887400.0
2019-06-25,6.9,6.98,6.73,6.74,2920600.0
2019-06-24,7.38,7.385,7.01,7.06,2635400.0
