,open,high,low,close,volume
2019-11-01,1.3,1.32,1.25,1.28,281700.0
2019-10-31,1.34,1.38,1.31,1.32,36300000.0
2019-10-30,1.37,1.38,1.33,1.34,1249300.0
2019-10-29,1.42,1.42,1.36,1.38,386900.0
2019-10-28,1.41,1.43,1.39,1.41,1396600.0
2019-10-25,1.4,1.42,1.38,1.4,1110400.0
2019-10-24,1.37,1.41,1.37,1.4,128600.0
2019-10-23,1.36,1.4,1.36,1.39,282300.0
2019-10-22,1.36,1.37,1.34,1.35,137400.0
2019-10-21,1.36,1.4,1.35,1.36,338800.0
2019-10-18,1.41,1.41,1.34,1.38,276800.0
2019-10-17,1.39,1.4,1.39,1.4,497500.0
2019-10-16,1.42,1.42,1.36,1.41,347300.0
2019-10-15,1.45,1.45,1.41,1.43,329900.0
2019-10-11,1.45,1.51,1.4,1.42,388000.0
2019-10-10,1.46,1.46,1.41,1.45,241700.0
2019-10-09,1.43,1.46,1.41,1.43,242600.0
2019-10-08,1.42,1.44,1.4,1.44,228000.0
2019-10-07,1.4,1.46,1.39,1.42,251800.0
2019-10-04,1.39,1.42,1.35,1.41,488900.0
2019-10-03,1.43,1.43,1.38,1.4,440700.0
2019-10-02,1.43,1.45,1.42,1.43,404500.0
2019-10-01,1.47,1.49,1.43,1.45,399400.0
2019-09-30,1.52,1.52,1.44,1.47,576400.0
2019-09-27,1.51,1.53,1.45,1.53,281500.0
2019-09-26,1.57,1.57,1.48,1.52,168700.0
2019-09-25,1.53,1.58,1.51,1.57,197800.0
2019-09-24,1.59,1.59,1.51,1.53,217100.0
2019-09-23,1.69,1.69,1.56,1.59,193500.0
2019-09-20,1.6,1.65,1.58,1.65,363000.0
2019-09-19,1.63,1.63,1.55,1.59,221200.0
2019-09-18,1.59,1.71,1.58,1.63,358900.0
2019-09-17,1.75,1.75,1.59,1.59,822500.0
2019-09-16,1.74,1.75,1.69,1.75,495400.0
2019-09-13,1.64,1.72,1.63,1.69,354000.0
2019-09-12,1.54,1.66,1.51,1.66,584800.0
2019-09-11,1.58,1.58,1.53,1.55,148900.0
2019-09-10,1.54,1.58,1.48,1.55,620400.0
2019-09-09,1.5,1.5,1.43,1.5,189300.0
2019-09-06,1.38,1.44,1.37,1.44,282900.0
2019-09-05,1.36,1.38,1.34,1.38,243800.0
2019-09-04,1.36,1.36,1.33,1.35,145000.0
2019-09-03,1.37,1.37,1.33,1.34,255700.0
2019-08-30,1.37,1.37,1.35,1.37,294700.0
2019-08-29,1.33,1.4,1.33,1.37,338900.0
2019-08-28,1.33,1.36,1.33,1.35,219100.0
2019-08-27,1.36,1.37,1.33,1.34,302300.0
2019-08-26,1.38,1.4,1.34,1.35,299200.0
2019-08-23,1.39,1.43,1.36,1.36,378900.0
2019-08-22,1.45,1.45,1.39,1.42,454300.0
2019-08-21,1.4,1.43,1.35,1.43,6567000.0
2019-08-20,1.46,1.47,1.4,1.41,854500.0
2019-08-19,1.55,1.55,1.43,1.45,1405000.0
2019-08-16,1.6,1.6,1.51,1.56,538600.0
2019-08-15,1.55,1.62,1.54,1.56,586100.0
2019-08-14,1.68,1.7,1.65,1.66,383400.0
2019-08-13,1.72,1.73,1.67,1.69,184600.0
2019-08-12,1.76,1.78,1.69,1.71,540700.0
2019-08-09,1.8,1.81,1.74,1.79,648000.0
2019-08-08,1.79,1.83,1.73,1.8,230700.0
2019-08-07,1.81,1.84,1.72,1.8,568000.0
2019-08-06,1.8,1.84,1.73,1.8,620800.0
2019-08-02,1.84,1.89,1.81,1.85,580200.0
2019-08-01,1.87,1.91,1.8,1.87,635300.0
2019-07-31,1.94,1.97,1.84,1.86,875000.0
2019-07-30,1.76,1.99,1.73,1.95,2021100.0
2019-07-29,1.69,1.79,1.69,1.76,683900.0
2019-07-26,1.64,1.75,1.64,1.7,270600.0
2019-07-25,1.72,1.73,1.64,1.66,334500.0
2019-07-24,1.73,1.75,1.71,1.73,195100.0
2019-07-23,1.71,1.78,1.7,1.74,418100.0
2019-07-22,1.69,1.8,1.69,1.7,395200.0
2019-07-19,1.66,1.8,1.66,1.71,621900.0
2019-07-18,1.73,1.8,1.66,1.68,597900.0
2019-07-17,1.77,1.84,1.73,1.75,399900.0
2019-07-16,1.76,1.8,1.76,1.77,187000.0
2019-07-15,1.76,1.81,1.73,1.75,826200.0
2019-07-12,1.83,1.84,1.77,1.78,250900.0
2019-07-11,1.87,1.93,1.8,1.83,292000.0
2019-07-10,1.98,1.98,1.86,1.88,955600.0
2019-07-09,1.84,1.98,1.83,1.96,1219900.0
2019-07-08,1.82,1.86,1.81,1.85,245200.0
2019-07-05,1.79,1.84,1.79,1.83,211400.0
2019-07-04,1.79,1.81,1.79,1.81,65400.0
2019-07-03,1.82,1.83,1.78,1.81,820100.0
2019-07-02,1.85,1.86,1.79,1.81,863100.0
2019-06-28,1.71,1.81,1.67,1.81,575600.0
2019-06-27,1.68,1.72,1.6,1.71,2447100.0
2019-06-26,1.8,1.81,1.76,1.79,205500.0
2019-06-25,1.85,1.87,1.78,1.8,250500.0
2019-06-24,1.92,1.92,1.83,1.86,351600.0
2019-06-21,1.92,1.95,1.86,1.92,1192200.0
2019-06-20,1.94,1.99,1.9,1.92,450200.0
2019-06-19,1.95,1.96,1.86,1.9,460200.0
2019-06-18,1.95,1.97,1.86,1.95,602400.0
2019-06-17,2.0,2.01,1.94,1.94,616100.0
2019-06-14,1.96,2.0,1.89,1.97,490000.0
2019-06-13,1.9,1.99,1.9,1.95,480000.0
2019-06-12,1.83,1.95,1.83,1.93,992600.0
2019-06-11,1.7,1.85,1.68,1.85,1375600.0
