,open,high,low,close,volume
2019-11-01,55.7,55.86,55.27,55.42,751300.0
2019-10-31,55.38,55.9,55.3,55.7,44480000.0
2019-10-30,54.94,55.44,54.72,55.38,238400.0
2019-10-29,54.79,55.31,54.62,55.0,507700.0
2019-10-28,55.0,55.2,54.76,54.88,644900.0
2019-10-25,54.86,55.38,54.55,54.92,338100.0
2019-10-24,55.13,55.22,54.71,54.95,296500.0
2019-10-23,55.95,56.07,55.19,55.3,516000.0
2019-10-22,56.22,56.48,55.89,55.89,247800.0
2019-10-21,55.99,56.26,55.75,56.13,320200.0
2019-10-18,56.73,56.73,55.79,55.95,633400.0
2019-10-17,56.24,56.6,55.99,56.23,700600.0
2019-10-16,56.6,56.83,56.02,56.06,435900.0
2019-10-15,56.45,56.85,56.39,56.59,627000.0
2019-10-11,57.33,57.42,56.39,56.41,384100.0
2019-10-10,57.63,57.67,57.15,57.2,471700.0
2019-10-09,57.76,57.98,57.66,57.74,467000.0
2019-10-08,57.97,58.16,57.66,57.69,598900.0
2019-10-07,57.95,58.21,57.66,58.15,568100.0
2019-10-04,58.13,58.3,57.71,57.81,579200.0
2019-10-03,58.18,58.4,57.62,58.0,976400.0
2019-10-02,57.71,58.23,57.63,58.05,669800.0
2019-10-01,58.49,59.03,57.47,57.63,798300.0
2019-09-30,57.9,58.67,57.9,58.33,530100.0
2019-09-27,58.34,58.5,57.54,57.91,389600.0
2019-09-26,58.58,58.94,58.18,58.26,532200.0
2019-09-25,58.45,58.84,58.35,58.52,413800.0
2019-09-24,57.74,58.61,57.41,58.38,612500.0
2019-09-23,57.49,57.65,57.29,57.55,339700.0
2019-09-20,57.27,57.81,56.87,57.31,2099700.0
2019-09-19,57.14,57.87,57.09,57.16,532200.0
2019-09-18,57.17,57.61,56.86,57.0,770400.0
2019-09-17,56.35,57.53,56.18,57.15,452100.0
2019-09-16,57.45,57.45,56.2,56.22,717900.0
2019-09-13,57.13,57.73,57.13,57.51,506800.0
2019-09-12,57.53,57.69,57.07,57.17,517100.0
2019-09-11,57.5,57.7,56.93,57.45,567700.0
2019-09-10,57.8,58.06,56.95,57.4,790900.0
2019-09-09,57.74,58.35,57.39,57.9,710400.0
2019-09-06,57.75,58.29,57.64,57.89,527200.0
2019-09-05,57.38,58.15,57.18,57.64,776100.0
2019-09-04,56.69,57.25,56.42,56.87,589700.0
2019-09-03,56.1,56.83,56.05,56.56,468900.0
2019-08-30,56.25,56.65,55.95,56.49,503900.0
2019-08-29,55.72,56.75,55.7,56.19,642500.0
2019-08-28,55.0,55.67,54.95,55.53,291700.0
2019-08-27,54.56,55.17,54.41,55.05,516500.0
2019-08-26,54.28,54.61,54.11,54.51,226800.0
2019-08-23,54.3,54.4,54.06,54.18,369000.0
2019-08-22,54.74,54.83,54.4,54.76,413100.0
2019-08-21,54.76,55.01,54.46,54.83,306100.0
2019-08-20,54.75,54.85,54.06,54.77,449500.0
2019-08-19,54.46,55.34,54.44,55.0,404600.0
2019-08-16,54.28,54.35,53.91,54.3,494100.0
2019-08-15,53.66,54.42,53.54,53.98,567200.0
2019-08-14,52.75,53.9,52.43,53.75,735500.0
2019-08-13,52.93,53.8,52.93,53.46,581000.0
2019-08-12,52.75,53.36,52.75,53.05,409900.0
2019-08-09,52.81,53.27,52.5,52.87,390400.0
2019-08-08,52.72,53.44,52.58,52.82,503100.0
2019-08-07,52.06,52.89,52.06,52.87,482400.0
2019-08-06,51.17,52.56,51.16,52.35,726300.0
2019-08-02,52.5,52.68,52.01,52.15,342200.0
2019-08-01,51.55,52.82,51.55,52.54,500800.0
2019-07-31,51.5,51.87,51.17,51.62,397400.0
2019-07-30,52.03,52.07,51.28,51.68,379900.0
2019-07-29,51.17,52.3,51.17,52.16,444100.0
2019-07-26,50.84,51.51,50.77,51.37,306900.0
2019-07-25,50.19,50.87,50.01,50.74,316900.0
2019-07-24,50.07,50.27,49.41,50.21,420700.0
2019-07-23,49.66,50.18,49.38,50.17,320500.0
2019-07-22,49.38,49.63,49.29,49.58,191200.0
2019-07-19,49.66,49.92,49.35,49.38,232700.0
2019-07-18,49.62,49.85,49.43,49.57,218100.0
2019-07-17,49.74,49.99,49.41,49.64,370600.0
2019-07-16,49.72,49.85,49.37,49.67,331200.0
2019-07-15,49.56,49.71,49.0,49.7,373500.0
2019-07-12,49.71,50.05,49.49,49.56,463700.0
2019-07-11,49.7,49.85,49.4,49.63,468600.0
2019-07-10,49.24,50.05,49.24,49.6,604400.0
2019-07-09,49.39,49.88,49.12,49.24,445500.0
2019-07-08,49.45,49.53,49.11,49.4,352600.0
2019-07-05,49.35,49.81,49.1,49.53,350000.0
2019-07-04,49.31,49.46,49.06,49.25,151000.0
2019-07-03,49.17,49.45,49.11,49.26,283600.0
2019-07-02,49.25,49.71,48.63,49.11,417900.0
2019-06-28,49.21,49.26,48.6,49.14,613700.0
2019-06-27,48.93,49.25,48.76,49.2,370700.0
2019-06-26,49.28,49.44,48.74,48.94,508500.0
2019-06-25,49.32,49.51,49.09,49.35,592500.0
2019-06-24,49.91,50.0,49.13,49.51,390600.0
2019-06-21,50.23,50.43,49.59,49.91,1672900.0
2019-06-20,51.34,51.45,50.16,50.2,472100.0
2019-06-19,51.37,51.64,50.98,51.31,367600.0
2019-06-18,51.12,51.64,50.86,51.29,512500.0
2019-06-17,50.45,51.14,50.34,51.0,397100.0
2019-06-14,50.3,50.61,49.85,50.52,419400.0
2019-06-13,50.29,50.49,49.9,50.36,387100.0
2019-06-12,50.05,50.48,50.0,50.32,331200.0
2019-06-11,49.85,50.12,49.65,50.06,389800.0
