,open,high,low,close,volume
2019-11-01,68.13,68.33,68.07,68.25,834500.0
2019-10-31,67.71,68.15,67.53,68.02,83990000.0
2019-10-30,67.94,68.1,67.68,67.94,535800.0
2019-10-29,67.56,68.0,67.53,67.81,619200.0
2019-10-28,67.6,68.05,67.59,67.71,693500.0
2019-10-25,67.2,67.75,67.15,67.47,619100.0
2019-10-24,67.49,67.72,67.22,67.38,733100.0
2019-10-23,67.5,67.75,67.34,67.48,663300.0
2019-10-22,67.53,67.8,67.4,67.51,691500.0
2019-10-21,67.65,67.78,67.41,67.45,570200.0
2019-10-18,67.4,67.85,67.19,67.41,931400.0
2019-10-17,67.19,67.33,66.89,67.32,677300.0
2019-10-16,66.99,67.33,66.92,67.23,896000.0
2019-10-15,66.4,67.17,66.39,66.87,1181500.0
2019-10-11,66.35,66.9,66.31,66.39,1362600.0
2019-10-10,65.99,66.46,65.91,66.09,1044300.0
2019-10-09,66.04,66.3,65.72,66.08,1081300.0
2019-10-08,64.92,66.1,64.86,65.85,1884500.0
2019-10-07,65.62,65.88,65.11,65.27,1337700.0
2019-10-04,65.13,65.76,65.13,65.75,1397400.0
2019-10-03,65.08,65.21,64.48,65.15,1342900.0
2019-10-02,65.5,65.69,64.47,65.27,1696800.0
2019-10-01,65.91,66.22,65.29,65.95,1559300.0
2019-09-30,65.95,66.47,65.84,65.92,838300.0
2019-09-27,66.0,66.3,65.76,65.95,1228900.0
2019-09-26,66.15,66.57,66.11,66.57,1785800.0
2019-09-25,65.65,66.25,65.65,66.15,2861600.0
2019-09-24,65.73,66.0,65.52,65.77,1394400.0
2019-09-23,65.0,65.78,64.96,65.53,1110200.0
2019-09-20,65.0,65.6,64.98,65.33,2771500.0
2019-09-19,64.75,65.33,64.71,64.99,1233500.0
2019-09-18,64.55,64.9,64.38,64.83,1101900.0
2019-09-17,64.39,64.81,64.14,64.59,929600.0
2019-09-16,64.0,64.84,63.91,64.63,970300.0
2019-09-13,64.53,65.07,64.52,64.52,1443400.0
2019-09-12,64.03,64.74,63.97,64.53,1957000.0
2019-09-11,63.79,64.52,63.64,64.16,1073200.0
2019-09-10,63.4,64.05,63.32,63.73,980000.0
2019-09-09,63.32,63.61,63.2,63.43,659100.0
2019-09-06,63.37,63.55,62.87,63.26,830700.0
2019-09-05,62.57,63.75,62.53,63.51,1657600.0
2019-09-04,62.41,62.55,62.1,62.27,1029600.0
2019-09-03,61.93,62.43,61.8,62.23,1403200.0
2019-08-30,62.39,62.75,61.93,62.52,1017300.0
2019-08-29,61.23,62.57,61.11,62.13,1264700.0
2019-08-28,61.35,61.42,60.09,60.9,1121700.0
2019-08-27,60.89,60.94,60.28,60.45,968000.0
2019-08-26,60.63,60.92,60.48,60.63,527200.0
2019-08-23,60.71,60.78,60.25,60.38,783300.0
2019-08-22,61.3,61.7,61.05,61.28,627500.0
2019-08-21,61.12,61.25,60.8,61.15,762000.0
2019-08-20,60.8,61.05,60.42,60.92,824000.0
2019-08-19,61.3,61.42,60.88,61.21,669600.0
2019-08-16,61.24,61.25,60.5,61.05,552500.0
2019-08-15,61.0,61.23,60.1,60.56,1122600.0
2019-08-14,62.0,62.14,60.61,61.0,1605400.0
