,open,high,low,close,volume
2019-11-01,86.55,86.98,85.32,85.68,611500.0
2019-10-31,87.49,87.49,85.76,86.17,62820000.0
2019-10-30,84.99,86.39,84.09,86.23,598200.0
2019-10-29,85.99,86.18,84.32,85.09,997700.0
2019-10-28,87.49,89.07,85.64,86.03,889800.0
2019-10-25,90.09,91.26,88.68,89.29,529100.0
2019-10-24,88.94,90.74,88.94,90.08,427200.0
2019-10-23,88.5,88.96,87.49,88.78,451900.0
2019-10-22,90.57,90.99,88.22,88.45,725000.0
2019-10-21,91.11,91.17,90.18,90.71,353800.0
2019-10-18,91.78,91.78,90.62,90.72,366500.0
2019-10-17,92.0,92.12,90.71,91.23,400800.0
2019-10-16,91.81,92.03,90.97,92.03,478600.0
2019-10-15,92.96,93.57,91.48,91.62,823400.0
2019-10-11,94.8,95.22,93.69,93.79,332500.0
2019-10-10,94.56,95.65,94.43,94.69,356100.0
2019-10-09,93.61,95.29,93.6,94.86,374100.0
2019-10-08,94.08,94.51,93.21,93.62,542900.0
2019-10-07,95.0,95.65,94.06,94.11,350100.0
2019-10-04,95.25,95.72,94.83,95.29,333600.0
2019-10-03,94.34,95.47,94.02,95.21,469200.0
2019-10-02,93.63,94.32,92.76,94.13,531900.0
2019-10-01,94.62,95.32,93.15,93.63,561300.0
2019-09-30,93.5,94.31,92.95,94.2,621600.0
2019-09-27,94.67,95.34,92.22,92.59,717700.0
2019-09-26,95.14,95.58,94.0,94.38,676800.0
2019-09-25,96.15,96.8,94.87,95.08,660900.0
2019-09-24,96.74,97.19,95.77,95.97,491000.0
2019-09-23,96.29,97.34,96.16,96.2,390900.0
2019-09-20,98.26,99.21,96.1,96.46,3622600.0
2019-09-19,97.53,98.41,96.78,98.04,609100.0
2019-09-18,98.11,98.4,96.43,97.27,630900.0
2019-09-17,95.26,97.96,95.26,97.88,609700.0
2019-09-16,95.65,95.96,94.52,94.66,550700.0
2019-09-13,97.1,97.66,96.31,96.42,713000.0
2019-09-12,95.55,97.22,95.55,96.87,800300.0
2019-09-11,94.64,96.23,94.09,95.26,683500.0
2019-09-10,98.11,98.11,94.4,94.47,984100.0
2019-09-09,99.69,100.1,98.43,98.59,796400.0
2019-09-06,99.48,99.98,98.9,99.62,603300.0
2019-09-05,99.54,99.68,97.38,99.32,724100.0
2019-09-04,100.66,100.66,98.87,99.19,835100.0
2019-09-03,104.95,105.93,102.16,102.31,531800.0
2019-08-30,104.97,105.52,104.05,104.41,428700.0
2019-08-29,103.89,104.73,103.52,104.39,333600.0
2019-08-28,102.69,103.43,102.25,103.23,277800.0
2019-08-27,102.61,103.6,102.38,102.64,551400.0
2019-08-26,100.98,102.55,100.98,101.98,428900.0
2019-08-23,101.2,101.86,100.02,100.23,497100.0
2019-08-22,100.08,101.38,100.08,100.36,331300.0
2019-08-21,100.7,100.96,99.66,100.11,366200.0
2019-08-20,99.86,101.21,99.4,100.44,279000.0
2019-08-19,99.33,100.39,98.73,99.88,338100.0
2019-08-16,98.31,99.04,97.45,98.89,452700.0
2019-08-15,98.6,99.74,97.85,97.92,564500.0
2019-08-14,98.95,99.65,98.22,98.35,515700.0
2019-08-13,99.41,99.9,98.7,99.12,407100.0
2019-08-12,98.22,99.23,97.93,98.85,446500.0
2019-08-09,98.05,99.06,95.95,98.2,1211200.0
2019-08-08,103.92,103.92,100.46,101.27,530000.0
2019-08-07,100.02,104.07,99.97,103.79,493200.0
2019-08-06,100.96,101.87,99.94,100.14,709600.0
2019-08-02,97.09,102.8,97.09,102.01,1144300.0
2019-08-01,97.65,98.35,95.85,96.32,434600.0
2019-07-31,96.53,97.56,95.84,97.2,544000.0
2019-07-30,98.39,98.53,96.28,96.6,353600.0
2019-07-29,98.34,98.71,97.7,98.49,411800.0
2019-07-26,97.99,99.65,97.99,99.16,497400.0
2019-07-25,97.99,98.37,97.22,97.61,431300.0
2019-07-24,97.23,98.04,96.84,97.88,346100.0
2019-07-23,96.08,97.33,96.08,97.3,367100.0
2019-07-22,95.67,96.52,95.245,95.85,297700.0
2019-07-19,95.28,95.8,95.18,95.38,346500.0
2019-07-18,94.96,95.54,94.68,95.32,355000.0
2019-07-17,94.2,95.82,94.2,94.78,663900.0
2019-07-16,94.24,94.48,93.33,94.17,307400.0
2019-07-15,94.79,95.18,93.96,94.26,359100.0
2019-07-12,93.52,95.19,93.52,94.64,569400.0
2019-07-11,93.01,94.14,92.34,93.24,561200.0
2019-07-10,92.46,93.28,92.34,93.06,392900.0
2019-07-09,91.64,92.57,91.48,92.49,345000.0
2019-07-08,91.48,91.75,91.14,91.48,505000.0
2019-07-05,92.7,93.01,91.66,91.85,270800.0
2019-07-04,92.29,92.87,92.04,92.87,115100.0
2019-07-03,91.37,92.49,90.77,92.46,241100.0
2019-07-02,91.89,91.89,90.06,91.19,312800.0
2019-06-28,90.63,91.13,90.27,91.07,339600.0
2019-06-27,89.47,90.69,89.34,90.4,276900.0
2019-06-26,91.31,91.59,89.26,89.34,445400.0
2019-06-25,92.55,92.75,91.46,91.68,533000.0
2019-06-24,92.49,92.92,92.05,92.65,666300.0
2019-06-21,91.58,92.93,91.37,92.47,1624800.0
2019-06-20,91.81,92.62,91.15,91.8,301900.0
