,open,high,low,close,volume
2019-11-01,106.57,106.92,106.22,106.65,1397100.0
2019-10-31,106.22,106.8,105.72,106.24,228590000.0
2019-10-30,105.81,106.68,105.62,106.5,4725800.0
2019-10-29,105.5,106.43,105.5,106.04,3523400.0
2019-10-28,106.25,106.53,105.92,105.92,1390900.0
2019-10-25,105.51,106.28,105.51,106.02,2992400.0
2019-10-24,106.59,106.59,105.47,105.81,3576500.0
2019-10-23,106.03,106.37,105.93,106.27,4806200.0
2019-10-22,107.93,108.16,107.26,107.27,3218600.0
2019-10-21,107.09,107.96,107.09,107.7,4197000.0
2019-10-18,107.24,107.29,106.4,106.95,3606700.0
2019-10-17,107.02,107.19,106.19,106.63,3722600.0
2019-10-16,107.03,107.42,106.86,107.16,3100100.0
2019-10-15,106.81,107.63,106.69,107.02,2949000.0
2019-10-11,106.3,107.18,106.22,106.33,3840700.0
2019-10-10,105.14,106.36,105.14,105.76,1432500.0
2019-10-09,105.4,105.78,104.51,105.49,1784500.0
2019-10-08,105.01,105.15,104.42,104.48,2410800.0
2019-10-07,105.6,106.08,105.52,105.59,1700400.0
2019-10-04,105.45,105.88,104.55,105.85,3407600.0
2019-10-03,105.08,105.23,104.05,105.18,3666900.0
2019-10-02,106.0,106.17,104.64,105.31,3304700.0
2019-10-01,107.77,108.25,106.25,106.73,2402400.0
2019-09-30,107.4,108.06,107.4,107.47,2554900.0
2019-09-27,107.76,107.86,107.03,107.45,1678200.0
2019-09-26,107.3,107.84,107.14,107.46,1446300.0
2019-09-25,106.63,107.72,106.63,107.37,2370400.0
2019-09-24,107.5,107.9,106.54,106.83,2393400.0
2019-09-23,107.54,107.73,107.19,107.36,1523200.0
2019-09-20,107.02,108.16,107.0,107.96,7022600.0
2019-09-19,106.12,107.13,106.12,106.89,2213400.0
2019-09-18,105.92,106.45,105.75,106.29,3115500.0
2019-09-17,105.06,106.47,104.82,105.89,2293200.0
2019-09-16,104.5,105.43,104.22,105.39,5330400.0
2019-09-13,104.3,105.55,104.17,105.25,3680600.0
2019-09-12,102.98,104.4,102.81,104.18,5637600.0
2019-09-11,101.95,103.41,101.8,103.23,2835700.0
2019-09-10,101.15,102.58,101.0,102.32,8891100.0
2019-09-09,101.24,101.32,100.62,101.24,3328400.0
2019-09-06,100.7,100.95,100.36,100.94,1372300.0
2019-09-05,99.82,101.13,99.81,100.69,2236300.0
2019-09-04,99.78,100.16,99.03,99.38,2131100.0
2019-09-03,99.4,99.45,98.45,99.43,1513400.0
2019-08-30,99.4,100.11,99.35,99.58,2028100.0
2019-08-29,98.98,99.94,98.9,99.42,1635400.0
2019-08-28,97.68,98.74,97.65,98.3,1595000.0
2019-08-27,98.03,98.31,97.47,97.92,2293500.0
2019-08-26,98.6,98.65,97.57,97.88,1583500.0
2019-08-23,98.46,98.55,97.3,97.6,2151300.0
2019-08-22,100.0,100.27,99.29,99.35,1909700.0
2019-08-21,98.41,100.75,98.41,99.91,3213300.0
2019-08-20,100.2,100.2,98.97,99.34,2005800.0
2019-08-19,100.69,100.7,100.03,100.46,1471100.0
2019-08-16,99.99,100.19,98.95,99.74,1439200.0
2019-08-15,98.75,99.15,98.13,98.75,1990900.0
2019-08-14,99.74,100.32,98.55,98.83,2435000.0
2019-08-13,99.7,101.24,99.64,100.71,2855200.0
2019-08-12,100.46,100.49,99.63,99.98,2294100.0
2019-08-09,101.88,101.98,100.82,101.08,2810500.0
2019-08-08,101.9,102.47,101.37,101.82,1332700.0
2019-08-07,99.95,101.71,99.93,101.32,2920000.0
2019-08-06,100.47,101.07,99.53,101.01,3359500.0
2019-08-02,102.67,102.93,101.14,102.2,3011500.0
2019-08-01,104.21,104.43,102.71,102.83,3269500.0
2019-07-31,104.0,104.39,103.46,104.22,2687500.0
2019-07-30,104.2,104.5,103.72,104.15,2343100.0
2019-07-29,104.65,105.27,104.54,104.77,2069300.0
2019-07-26,104.58,105.05,104.51,104.77,1688600.0
2019-07-25,104.75,104.94,104.1,104.5,3252600.0
2019-07-24,104.3,105.1,104.1,105.04,1959900.0
2019-07-23,105.0,105.6,105.0,105.5,3646000.0
2019-07-22,104.95,105.31,104.45,104.72,2630400.0
2019-07-19,104.71,105.32,104.55,104.91,1598700.0
2019-07-18,104.15,104.79,104.11,104.5,2938900.0
2019-07-17,104.27,104.77,104.06,104.33,1677800.0
2019-07-16,104.32,104.78,104.04,104.42,1690900.0
2019-07-15,104.48,104.54,103.81,104.25,1516300.0
2019-07-12,104.9,105.06,104.1,104.33,2439700.0
2019-07-11,105.1,105.51,104.73,104.85,2205600.0
2019-07-10,105.5,106.03,104.9,105.17,2371800.0
2019-07-09,105.0,105.6,104.88,105.52,1870000.0
2019-07-08,105.3,105.34,104.96,105.16,2016100.0
2019-07-05,105.3,105.93,105.3,105.69,989000.0
2019-07-04,105.6,105.75,105.3,105.42,739600.0
2019-07-03,105.01,105.69,105.0,105.61,1354100.0
2019-07-02,105.0,105.19,104.47,104.83,1396700.0
2019-06-28,103.7,104.17,103.62,104.07,3094100.0
2019-06-27,103.62,104.21,103.37,103.46,1307700.0
2019-06-26,104.2,104.55,103.47,103.74,1651300.0
2019-06-25,104.62,104.96,103.97,104.15,3745200.0
2019-06-24,105.0,105.57,104.9,104.99,1924400.0
2019-06-21,105.29,105.6,105.0,105.0,7020500.0
2019-06-20,105.56,105.56,104.69,105.43,1393600.0
2019-06-19,105.36,105.95,105.12,105.19,1374100.0
2019-06-18,104.0,105.5,103.99,105.36,2107500.0
2019-06-17,103.36,104.14,103.36,103.67,1344700.0
2019-06-14,102.86,103.73,102.44,103.55,1371500.0
2019-06-13,102.49,103.43,102.22,103.03,1974700.0
2019-06-12,103.01,103.07,102.0,102.36,1985200.0
2019-06-11,103.86,103.91,102.66,103.28,1962300.0
