,open,high,low,close,volume
2019-11-01,59.27,59.73,59.04,59.14,923200.0
2019-10-31,59.23,59.27,58.75,59.09,105110000.0
2019-10-30,58.99,59.42,58.59,59.39,711400.0
2019-10-29,58.91,59.3,58.57,59.02,730600.0
2019-10-28,58.61,59.57,58.6,58.97,1490000.0
2019-10-25,58.29,58.67,58.23,58.4,789800.0
2019-10-24,59.07,59.07,58.3,58.43,1035400.0
2019-10-23,58.78,59.19,58.72,58.82,1350100.0
2019-10-22,59.06,59.43,58.78,58.78,1468800.0
2019-10-21,58.67,59.12,58.66,58.85,819100.0
2019-10-18,58.84,58.84,58.26,58.47,637600.0
2019-10-17,58.81,58.93,58.27,58.39,474200.0
2019-10-16,58.57,58.95,58.5,58.77,1238100.0
2019-10-15,58.17,58.94,58.17,58.51,1112900.0
2019-10-11,58.06,58.7,57.87,58.13,767800.0
2019-10-10,57.4,58.07,57.4,57.63,744000.0
2019-10-09,57.1,57.47,56.79,57.32,770400.0
2019-10-08,57.0,57.18,56.62,56.83,944000.0
2019-10-07,57.58,57.9,57.5,57.58,951500.0
2019-10-04,57.4,57.78,57.19,57.73,864000.0
2019-10-03,57.5,57.55,56.74,57.43,1159400.0
2019-10-02,58.11,58.29,57.31,57.63,942200.0
2019-10-01,59.53,59.83,58.37,58.38,1086100.0
2019-09-30,58.84,59.63,58.84,59.24,1387500.0
2019-09-27,58.95,59.0,58.57,58.81,747400.0
2019-09-26,58.69,59.15,58.6,58.72,606100.0
2019-09-25,58.93,59.23,58.72,58.84,901100.0
2019-09-24,59.25,59.59,58.85,59.0,1280000.0
2019-09-23,59.15,59.22,58.86,59.14,540700.0
2019-09-20,59.04,59.73,59.02,59.35,3112200.0
2019-09-19,58.49,59.36,58.43,59.02,1025500.0
2019-09-18,58.39,58.74,58.23,58.52,902900.0
2019-09-17,58.24,58.55,57.97,58.51,1323800.0
2019-09-16,58.12,58.32,57.97,58.28,999300.0
2019-09-13,58.08,58.68,58.08,58.55,1584200.0
2019-09-12,57.07,58.18,56.9,57.9,2057000.0
2019-09-11,56.92,57.38,56.68,57.25,1171700.0
2019-09-10,56.5,56.96,56.33,56.91,1614100.0
2019-09-09,56.33,56.77,56.12,56.66,1271800.0
2019-09-06,55.82,56.42,55.66,56.25,1078600.0
2019-09-05,55.19,55.97,55.13,55.92,1275400.0
2019-09-04,54.51,55.12,54.51,54.86,1768000.0
2019-09-03,54.36,54.6,53.98,54.23,2175200.0
2019-08-30,54.52,54.79,54.45,54.57,1006900.0
2019-08-29,53.77,54.52,53.67,54.31,854200.0
2019-08-28,52.99,53.85,52.91,53.54,3000700.0
2019-08-27,53.03,53.27,52.82,53.0,1427900.0
2019-08-26,53.06,53.63,53.0,53.42,1681000.0
2019-08-23,53.13,53.33,52.7,52.85,900500.0
2019-08-22,53.0,53.76,52.9,53.46,863300.0
2019-08-21,52.97,53.43,52.84,53.27,3701300.0
2019-08-20,53.06,53.1,52.32,52.66,1628400.0
2019-08-19,53.21,53.52,52.93,53.33,1292400.0
2019-08-16,52.57,53.21,52.18,52.81,815400.0
2019-08-15,51.7,52.68,51.65,52.15,1125300.0
2019-08-14,51.9,52.29,51.55,51.7,1477600.0
2019-08-13,52.2,53.02,52.08,52.69,1317400.0
2019-08-12,52.15,52.61,52.06,52.37,816900.0
2019-08-09,52.67,52.92,52.42,52.62,772400.0
2019-08-08,52.84,52.99,52.51,52.79,723900.0
2019-08-07,51.37,52.81,51.19,52.7,1265100.0
2019-08-06,51.78,52.09,51.24,51.9,2791700.0
2019-08-02,53.19,53.35,52.08,52.42,1712400.0
2019-08-01,54.59,54.69,53.15,53.4,1464900.0
2019-07-31,54.78,54.94,54.2,54.84,1476900.0
2019-07-30,54.85,54.95,54.42,54.82,754700.0
2019-07-29,55.15,55.38,55.01,55.09,612900.0
2019-07-26,55.02,55.39,54.88,55.16,452000.0
2019-07-25,55.49,55.54,54.74,54.97,1297900.0
2019-07-24,55.44,55.64,54.79,55.46,539100.0
2019-07-23,55.59,55.95,55.44,55.53,736600.0
2019-07-22,55.34,55.64,55.18,55.41,411500.0
2019-07-19,55.28,55.54,54.89,55.36,874800.0
2019-07-18,55.33,55.62,55.14,55.16,991000.0
2019-07-17,55.35,55.62,55.25,55.44,1132800.0
2019-07-16,54.93,55.51,54.81,55.43,875700.0
2019-07-15,54.69,55.02,54.35,55.0,903500.0
2019-07-12,54.75,54.96,54.46,54.66,919000.0
2019-07-11,54.88,55.06,54.69,54.75,669600.0
2019-07-10,55.18,55.52,54.71,54.93,869000.0
2019-07-09,54.82,55.25,54.5,55.25,910600.0
2019-07-08,54.98,55.1,54.63,54.95,1038400.0
2019-07-05,54.53,55.28,54.5,55.16,812300.0
2019-07-04,54.78,54.89,54.6,54.73,263900.0
2019-07-03,54.64,55.0,54.59,54.76,585500.0
2019-07-02,54.58,54.84,54.32,54.64,795400.0
2019-06-28,54.12,54.43,53.95,54.23,1498800.0
2019-06-27,54.14,54.38,53.85,54.0,1003800.0
2019-06-26,54.06,54.23,53.94,54.14,1229200.0
2019-06-25,53.65,54.22,53.45,54.04,1825800.0
2019-06-24,53.68,53.76,53.45,53.63,1912100.0
