,open,high,low,close,volume
2019-11-01,75.35,75.6,75.14,75.34,2756300.0
2019-10-31,75.06,75.25,74.72,75.21,350320000.0
2019-10-30,75.12,75.36,74.88,75.26,2114600.0
2019-10-29,75.04,75.65,74.89,75.22,2408800.0
2019-10-28,75.3,75.34,75.06,75.15,2024200.0
2019-10-25,74.56,75.34,74.56,75.16,2608900.0
2019-10-24,74.73,74.86,74.45,74.79,2954900.0
2019-10-23,74.65,74.87,74.32,74.6,1918600.0
2019-10-22,74.5,74.89,74.45,74.67,3187900.0
2019-10-21,74.21,74.62,74.21,74.33,3062600.0
2019-10-18,74.64,74.64,73.98,74.1,2318600.0
2019-10-17,74.6,74.65,73.68,73.98,2491400.0
2019-10-16,74.34,74.69,74.21,74.35,3224900.0
2019-10-15,73.95,74.79,73.91,74.32,7188800.0
2019-10-11,73.41,74.11,73.3,73.76,3349600.0
2019-10-10,72.83,73.44,72.76,73.03,3984800.0
2019-10-09,72.66,73.14,72.27,72.86,2629300.0
2019-10-08,73.5,73.58,73.08,73.16,4581900.0
2019-10-07,73.8,74.06,73.49,73.66,3472300.0
2019-10-04,73.5,73.91,73.12,73.8,8486000.0
2019-10-03,73.26,73.53,72.16,73.27,9515900.0
2019-10-02,74.64,74.72,72.69,73.44,5951900.0
2019-10-01,76.96,76.99,75.15,75.25,6666700.0
2019-09-30,76.95,77.45,76.93,77.25,3666700.0
2019-09-27,76.47,76.79,76.3,76.79,2828000.0
2019-09-26,76.0,76.27,75.66,76.24,4476600.0
2019-09-25,75.92,76.23,75.63,76.05,5896700.0
2019-09-24,76.5,76.92,75.9,76.1,2605400.0
2019-09-23,76.35,76.48,76.14,76.48,1801900.0
2019-09-20,76.41,76.97,76.31,76.58,8956100.0
2019-09-19,76.0,76.67,76.0,76.3,2710600.0
2019-09-18,75.69,76.12,75.57,76.03,3473600.0
2019-09-17,75.11,75.92,75.01,75.69,3027100.0
2019-09-16,74.89,75.35,74.73,75.27,2767400.0
2019-09-13,74.77,75.41,74.76,75.21,4209600.0
2019-09-12,74.2,74.88,73.87,74.77,6479900.0
2019-09-11,73.9,74.57,73.68,74.32,3438400.0
2019-09-10,73.12,74.03,73.05,74.01,2781900.0
2019-09-09,73.35,73.37,72.85,73.19,3140000.0
2019-09-06,72.5,73.04,72.22,72.94,2056100.0
2019-09-05,72.0,72.87,71.92,72.41,3652300.0
2019-09-04,71.96,72.18,71.38,71.69,2895700.0
2019-09-03,72.0,72.0,71.32,71.6,2626600.0
2019-08-30,71.9,72.27,71.23,72.2,3733100.0
2019-08-29,71.63,72.35,71.42,71.87,3067200.0
2019-08-28,71.65,71.98,71.22,71.51,3558300.0
2019-08-27,72.1,72.19,71.37,71.83,3124900.0
2019-08-26,71.82,72.31,71.65,71.83,2920900.0
2019-08-23,72.16,72.19,71.36,71.58,2932900.0
2019-08-22,72.5,72.89,72.48,72.64,2486200.0
2019-08-21,72.46,72.61,72.19,72.48,1999900.0
2019-08-20,73.0,73.0,72.03,72.13,2517300.0
2019-08-19,73.2,73.35,72.74,73.12,1943400.0
2019-08-16,72.63,72.68,71.96,72.52,2243100.0
2019-08-15,72.32,72.61,71.4,71.84,3423900.0
2019-08-14,73.5,73.85,72.51,72.81,3799500.0
2019-08-13,73.75,74.92,73.62,74.57,2907000.0
2019-08-12,74.21,74.47,73.78,73.93,3090700.0
2019-08-09,75.02,75.11,74.35,74.68,3603000.0
2019-08-08,74.8,75.25,74.26,75.04,2684700.0
2019-08-07,73.97,74.58,73.66,74.36,3242300.0
2019-08-06,74.25,74.58,73.37,74.54,5116200.0
2019-08-02,75.8,75.8,74.68,75.29,2971000.0
2019-08-01,77.1,77.33,75.93,76.02,2759300.0
2019-07-31,76.63,77.23,76.51,77.15,3860300.0
2019-07-30,77.36,77.36,76.84,77.1,3110200.0
