,open,high,low,close,volume
2019-11-01,17.61,18.36,17.52,18.26,2648400.0
2019-10-31,18.9,18.96,17.13,17.4,512800000.0
2019-10-30,19.97,19.97,19.32,19.33,1591400.0
2019-10-29,20.17,20.19,19.84,20.09,2015800.0
2019-10-28,20.51,20.75,20.11,20.18,1955600.0
2019-10-25,19.99,20.47,19.68,20.36,1509300.0
2019-10-24,20.56,20.56,19.92,19.97,1365100.0
2019-10-23,20.12,20.68,19.84,20.37,1802800.0
2019-10-22,19.76,20.38,19.52,20.17,4136100.0
2019-10-21,19.35,20.05,19.26,19.69,1274400.0
2019-10-18,20.06,20.12,19.36,19.38,1316300.0
2019-10-17,20.13,20.23,19.82,20.06,1801500.0
2019-10-16,20.0,20.53,19.91,20.08,1036900.0
2019-10-15,20.0,20.45,19.65,19.99,1153300.0
2019-10-11,19.74,20.09,19.74,19.95,970600.0
2019-10-10,19.37,19.65,19.15,19.58,969100.0
2019-10-09,19.62,19.74,19.06,19.22,982600.0
2019-10-08,19.73,19.81,19.33,19.34,858500.0
2019-10-07,20.4,20.46,19.88,19.92,1278500.0
2019-10-04,20.78,20.99,20.17,20.33,1410000.0
2019-10-03,20.01,20.7,19.83,20.67,2349300.0
2019-10-02,20.71,20.92,20.03,20.21,1944400.0
2019-10-01,22.23,22.51,20.89,21.05,1692000.0
2019-09-30,22.41,22.62,22.02,22.07,1680900.0
2019-09-27,22.21,22.58,22.06,22.38,1890600.0
2019-09-26,22.55,22.72,22.33,22.61,1136900.0
2019-09-25,22.25,22.67,22.01,22.64,5229200.0
2019-09-24,23.02,23.1,22.35,22.45,1241300.0
2019-09-23,23.18,23.29,22.87,23.13,726400.0
2019-09-20,22.95,23.4,22.88,23.12,1408100.0
2019-09-19,22.95,23.09,22.73,22.83,902400.0
2019-09-18,22.75,22.85,22.4,22.68,1543500.0
2019-09-17,24.21,24.21,22.95,23.0,2288100.0
2019-09-16,24.1,24.47,22.92,24.21,3962400.0
2019-09-13,21.3,21.83,21.2,21.74,1176500.0
2019-09-12,20.82,21.21,20.44,21.1,1010700.0
