,open,high,low,close,volume
2019-11-01,26.1,26.6,25.73,25.9,1080100.0
2019-10-31,26.27,26.43,25.56,26.33,118990000.0
2019-10-30,26.85,27.46,26.4,26.52,836500.0
2019-10-29,27.9,27.94,26.9,26.92,896100.0
2019-10-28,28.89,29.34,28.22,28.24,842800.0
2019-10-25,28.07,29.15,27.86,28.53,924600.0
2019-10-24,28.45,28.82,27.94,28.34,1009600.0
2019-10-23,27.48,28.63,27.12,28.31,2170600.0
2019-10-22,26.51,27.71,26.3,27.62,1826100.0
2019-10-21,26.54,26.94,25.83,26.57,1354900.0
2019-10-18,27.37,27.49,25.78,26.57,1741700.0
2019-10-17,27.25,27.46,26.12,27.31,1743400.0
2019-10-16,26.66,26.67,25.32,26.02,1534200.0
2019-10-15,25.41,26.99,25.19,26.53,2482400.0
2019-10-11,26.49,27.59,25.42,25.67,3223900.0
2019-10-10,29.4,29.68,27.13,27.16,2517000.0
2019-10-09,30.25,30.84,29.8,30.45,1061500.0
2019-10-08,29.21,30.75,28.48,30.26,1920900.0
2019-10-07,30.05,30.19,29.14,29.51,1247700.0
2019-10-04,31.3,31.6,30.3,30.51,1183000.0
2019-10-03,29.26,31.23,28.7,31.14,2416400.0
2019-10-02,28.31,30.05,27.25,29.33,2972700.0
2019-10-01,30.0,30.44,28.67,28.85,1620100.0
2019-09-30,31.45,31.5,29.66,30.35,1502700.0
2019-09-27,31.75,33.23,31.4,31.56,2058700.0
2019-09-26,33.5,33.6,31.97,32.85,1267900.0
2019-09-25,31.85,32.78,30.68,32.69,1668100.0
2019-09-24,33.94,34.01,31.62,31.79,1718600.0
2019-09-23,33.49,34.56,33.2,33.93,1091400.0
2019-09-20,34.74,35.1,33.21,33.6,4477000.0
2019-09-19,38.0,38.14,34.83,34.92,2246700.0
2019-09-18,37.64,38.33,37.45,38.25,1347800.0
2019-09-17,37.28,38.0,36.83,37.5,1424700.0
2019-09-16,36.29,38.1,36.06,36.91,2182500.0
2019-09-13,35.45,36.48,35.16,36.4,1158400.0
2019-09-12,35.42,35.95,35.04,35.07,1028900.0
2019-09-11,36.0,36.72,35.51,36.12,1269000.0
2019-09-10,35.72,36.24,34.75,36.07,1209100.0
