,open,high,low,close,volume
2019-11-01,24.98,25.1,24.97,25.07,2409700.0
2019-10-31,24.92,24.93,24.78,24.89,141750000.0
2019-10-30,24.81,24.97,24.71,24.96,1845200.0
2019-10-29,24.68,24.87,24.66,24.82,1112300.0
2019-10-28,24.83,24.85,24.76,24.76,1606300.0
2019-10-25,24.68,24.8,24.68,24.75,1656700.0
2019-10-24,24.75,24.77,24.65,24.7,1342900.0
2019-10-23,24.68,24.75,24.61,24.65,1633700.0
2019-10-22,24.84,24.9,24.74,24.74,2048500.0
2019-10-21,24.8,24.82,24.77,24.78,1257300.0
2019-10-18,24.8,24.84,24.71,24.71,2050600.0
2019-10-17,24.84,24.86,24.73,24.77,1234300.0
2019-10-16,24.82,24.84,24.77,24.78,1155000.0
2019-10-15,24.86,24.94,24.79,24.79,964500.0
2019-10-11,24.88,24.95,24.76,24.76,1998800.0
2019-10-10,24.68,24.81,24.68,24.77,2023500.0
2019-10-09,24.61,24.74,24.54,24.69,1483600.0
2019-10-08,24.62,24.64,24.49,24.51,1377000.0
2019-10-07,24.75,24.8,24.69,24.7,1391900.0
2019-10-04,24.68,24.77,24.62,24.77,2393000.0
2019-10-03,24.55,24.65,24.38,24.64,2312100.0
2019-10-02,24.71,24.74,24.43,24.55,3177900.0
2019-10-01,25.17,25.22,24.78,24.79,3519700.0
2019-09-30,25.12,25.24,25.12,25.15,2848300.0
2019-09-27,25.27,25.28,25.08,25.15,2624300.0
2019-09-26,25.21,25.27,25.18,25.27,1596700.0
2019-09-25,25.19,25.26,25.13,25.23,1142000.0
2019-09-24,25.38,25.45,25.19,25.25,1725300.0
2019-09-23,25.36,25.4,25.32,25.36,1270500.0
2019-09-20,25.45,25.54,25.38,25.42,3729900.0
2019-09-19,25.3,25.47,25.3,25.38,2554100.0
2019-09-18,25.35,25.36,25.2,25.28,1884500.0
2019-09-17,25.17,25.36,25.16,25.32,3488300.0
2019-09-16,25.14,25.23,25.11,25.18,2564600.0
2019-09-13,25.09,25.23,25.09,25.12,2355100.0
2019-09-12,24.96,25.12,24.91,25.05,4324600.0
2019-09-11,24.84,24.98,24.84,24.95,1192700.0
2019-09-10,24.72,24.83,24.7,24.82,1860900.0
2019-09-09,24.88,24.88,24.7,24.76,1384100.0
2019-09-06,24.83,24.88,24.79,24.81,1577900.0
2019-09-05,24.75,24.93,24.74,24.86,2411000.0
2019-09-04,24.69,24.83,24.62,24.63,1861400.0
2019-09-03,24.52,24.65,24.48,24.57,1550600.0
