,open,high,low,close,volume
2019-11-01,22.4,22.48,22.4,22.45,22000.0
2019-10-31,22.33,22.33,22.24,22.31,1180000.0
2019-10-30,22.24,22.34,22.19,22.33,11500.0
2019-10-29,22.11,22.27,22.1,22.23,24800.0
2019-10-28,22.26,22.26,22.19,22.19,12700.0
2019-10-25,22.14,22.23,22.14,22.21,25200.0
2019-10-24,22.18,22.21,22.12,22.14,9400.0
2019-10-23,22.15,22.17,22.09,22.11,12200.0
2019-10-22,22.26,22.28,22.18,22.18,17000.0
2019-10-21,22.2,22.24,22.2,22.23,13900.0
2019-10-18,22.31,22.31,22.16,22.16,39600.0
2019-10-17,22.28,22.28,22.2,22.23,24700.0
2019-10-16,22.25,22.25,22.2,22.2,16600.0
2019-10-15,22.24,22.33,22.22,22.22,19800.0
2019-10-11,22.26,22.34,22.21,22.21,18700.0
2019-10-10,22.14,22.24,22.12,22.23,19400.0
2019-10-09,22.12,22.19,22.07,22.17,18400.0
2019-10-08,22.12,22.13,22.02,22.04,40900.0
2019-10-07,22.19,22.27,22.16,22.22,38100.0
2019-10-04,22.17,22.24,22.13,22.23,9900.0
2019-10-03,22.01,22.13,21.93,22.13,27900.0
2019-10-02,22.18,22.18,21.94,22.04,68700.0
2019-10-01,22.55,22.58,22.22,22.24,22500.0
2019-09-30,22.51,22.62,22.5,22.55,36100.0
2019-09-27,22.65,22.65,22.52,22.53,19700.0
2019-09-26,22.65,22.67,22.61,22.67,8500.0
2019-09-25,22.79,22.83,22.74,22.82,17200.0
2019-09-24,22.93,23.0,22.8,22.84,20200.0
2019-09-23,22.95,22.96,22.92,22.93,49500.0
2019-09-20,22.95,23.02,22.93,22.97,18800.0
2019-09-19,22.89,22.99,22.89,22.93,15800.0
2019-09-18,22.88,22.9,22.78,22.85,17100.0
2019-09-17,22.78,22.9,22.75,22.89,10300.0
2019-09-16,22.69,22.8,22.63,22.77,32600.0
2019-09-13,22.67,22.77,22.67,22.69,20200.0
2019-09-12,22.57,22.69,22.57,22.62,30100.0
2019-09-11,22.5,22.57,22.49,22.56,11100.0
2019-09-10,22.37,22.45,22.36,22.45,16100.0
2019-09-09,22.5,22.5,22.38,22.41,42400.0
2019-09-06,22.47,22.51,22.45,22.45,87700.0
2019-09-05,22.42,22.54,22.39,22.51,61200.0
2019-09-04,22.37,22.45,22.32,22.33,11800.0
2019-09-03,22.26,22.31,22.19,22.26,73800.0
2019-08-30,22.29,22.33,22.23,22.33,26400.0
2019-08-29,22.19,22.26,22.18,22.23,87400.0
2019-08-28,21.94,22.09,21.94,22.07,21700.0
2019-08-27,21.89,21.97,21.87,21.95,24700.0
2019-08-26,21.88,21.92,21.8,21.8,26700.0
2019-08-23,21.99,22.08,21.7,21.7,31200.0
2019-08-22,22.12,22.13,22.01,22.04,6000.0
2019-08-21,22.02,22.11,22.02,22.11,4800.0
2019-08-20,22.08,22.08,21.96,21.98,27800.0
2019-08-19,21.99,22.12,21.97,22.12,18300.0
2019-08-16,21.83,21.9,21.78,21.86,15200.0
2019-08-15,21.72,21.76,21.64,21.7,21300.0
2019-08-14,21.95,21.99,21.72,21.75,19300.0
2019-08-13,21.99,22.17,21.99,22.13,28000.0
2019-08-12,22.01,22.13,21.96,22.0,86000.0
2019-08-09,22.17,22.24,22.09,22.14,23000.0
2019-08-08,22.1,22.23,22.07,22.22,54500.0
2019-08-07,21.8,22.04,21.78,22.03,23000.0
2019-08-06,21.81,21.91,21.68,21.87,40100.0
2019-08-02,22.19,22.19,21.96,22.05,21700.0
2019-08-01,22.19,22.35,22.17,22.18,12200.0
2019-07-31,22.26,22.29,22.12,22.22,24900.0
2019-07-30,22.27,22.29,22.24,22.27,10300.0
2019-07-29,22.38,22.38,22.3,22.31,18800.0
2019-07-26,22.38,22.41,22.36,22.37,25000.0
2019-07-25,22.5,22.5,22.28,22.31,26200.0
2019-07-24,22.42,22.5,22.38,22.49,25600.0
2019-07-23,22.4,22.44,22.37,22.41,13200.0
2019-07-22,22.3,22.36,22.3,22.34,16100.0
2019-07-19,22.29,22.42,22.29,22.3,19000.0
2019-07-18,22.27,22.34,22.25,22.32,30100.0
2019-07-17,22.31,22.34,22.28,22.3,15400.0
2019-07-16,22.32,22.34,22.27,22.31,26200.0
2019-07-15,22.32,22.34,22.27,22.33,11100.0
2019-07-12,22.34,22.35,22.29,22.29,19200.0
2019-07-11,22.4,22.4,22.36,22.36,6600.0
2019-07-10,22.4,22.51,22.36,22.4,18900.0
2019-07-09,22.22,22.38,22.2,22.38,12500.0
2019-07-08,22.3,22.3,22.25,22.28,14700.0
2019-07-05,22.27,22.36,22.27,22.35,49900.0
2019-07-04,22.38,22.43,22.38,22.43,8800.0
2019-07-03,22.26,22.4,22.26,22.4,40400.0
2019-07-02,22.25,22.25,22.15,22.25,18900.0
2019-06-28,22.08,22.1,22.04,22.1,16400.0
2019-06-27,22.0,22.04,22.0,22.04,35000.0
2019-06-26,22.22,22.22,22.01,22.02,32600.0
2019-06-25,22.43,22.43,22.26,22.26,111000.0
2019-06-24,22.47,22.49,22.44,22.45,25900.0
2019-06-21,22.5,22.5,22.46,22.46,181300.0
2019-06-20,22.55,22.57,22.49,22.52,156600.0
2019-06-19,22.43,22.46,22.41,22.44,10500.0
2019-06-18,22.32,22.45,22.32,22.42,124400.0
2019-06-17,22.16,22.23,22.13,22.22,19500.0
2019-06-14,22.07,22.17,22.02,22.15,8000.0
2019-06-13,22.09,22.09,22.04,22.04,8400.0
2019-06-12,22.02,22.06,22.0,22.06,21000.0
2019-06-11,22.12,22.12,22.03,22.05,41100.0
