,open,high,low,close,volume
2019-11-01,22.28,22.34,22.28,22.34,21300.0
2019-10-31,22.16,22.18,22.13,22.15,2390000.0
2019-10-30,22.22,22.29,22.22,22.28,9300.0
2019-10-29,22.2,22.26,22.18,22.26,44000.0
2019-10-28,22.25,22.3,22.25,22.3,2200.0
2019-10-25,22.11,22.21,22.11,22.21,300.0
2019-10-24,22.12,22.16,22.12,22.16,19600.0
2019-10-23,22.0,22.09,22.0,22.08,34300.0
2019-10-22,22.0,22.03,21.99,21.99,19200.0
2019-10-21,21.94,21.96,21.94,21.96,9300.0
2019-10-18,21.83,21.88,21.81,21.86,19700.0
2019-10-17,21.93,21.96,21.88,21.9,15200.0
2019-10-16,21.96,21.96,21.93,21.95,1800.0
2019-10-15,21.82,22.0,21.82,21.97,2700.0
2019-10-11,21.68,21.86,21.68,21.86,5600.0
2019-10-10,21.32,21.47,21.32,21.43,1100.0
2019-10-09,21.33,21.44,21.33,21.44,300.0
2019-10-08,21.24,21.33,21.24,21.29,26400.0
2019-10-07,21.39,21.46,21.39,21.45,4500.0
2019-10-04,21.22,21.37,21.22,21.37,1200.0
2019-10-03,21.13,21.22,21.0,21.2,7600.0
2019-10-02,21.35,21.35,21.09,21.13,4300.0
2019-10-01,21.83,21.84,21.56,21.59,7000.0
2019-09-30,21.81,21.87,21.81,21.87,2100.0
2019-09-27,21.79,21.82,21.69,21.7,3900.0
2019-09-26,21.78,21.81,21.76,21.81,12800.0
2019-09-25,21.76,21.89,21.73,21.88,11000.0
2019-09-24,21.91,21.93,21.74,21.74,8400.0
2019-09-23,21.89,21.94,21.84,21.92,3800.0
2019-09-20,22.07,22.07,21.95,21.95,75700.0
2019-09-19,22.0,22.05,22.0,22.01,5400.0
2019-09-18,21.9,21.98,21.85,21.98,4000.0
2019-09-17,21.9,21.93,21.9,21.93,1700.0
2019-09-16,21.92,21.94,21.87,21.87,20400.0
2019-09-13,22.0,22.05,21.98,21.99,3300.0
2019-09-12,21.9,21.99,21.84,21.95,84700.0
2019-09-11,21.79,21.85,21.77,21.85,10400.0
2019-09-10,21.66,21.7,21.66,21.66,5400.0
2019-09-09,21.58,21.63,21.58,21.63,600.0
2019-09-06,21.51,21.62,21.51,21.61,24300.0
2019-09-05,21.48,21.52,21.48,21.52,6700.0
2019-09-04,21.34,21.4,21.34,21.4,19100.0
2019-09-03,21.14,21.19,21.09,21.17,12200.0
2019-08-30,21.23,21.23,21.18,21.22,3100.0
2019-08-29,21.08,21.15,21.06,21.12,4500.0
2019-08-28,20.79,20.9,20.79,20.9,3900.0
2019-08-27,20.9,20.92,20.83,20.83,5200.0
2019-08-26,20.9,20.9,20.85,20.86,4400.0
2019-08-23,20.94,20.98,20.6,20.62,8600.0
2019-08-22,20.99,21.0,20.93,20.98,9300.0
2019-08-21,21.06,21.06,21.04,21.04,5700.0
2019-08-20,20.95,20.95,20.83,20.84,16000.0
2019-08-19,20.99,21.0,20.92,20.93,40800.0
2019-08-16,20.7,20.81,20.69,20.8,11900.0
2019-08-15,20.54,20.6,20.49,20.56,15900.0
2019-08-14,20.54,20.6,20.4,20.4,20400.0
2019-08-13,20.71,21.02,20.71,21.01,8100.0
2019-08-12,20.77,20.84,20.71,20.72,5400.0
2019-08-09,21.06,21.06,20.9,20.92,62400.0
2019-08-08,20.97,21.09,20.92,21.06,20400.0
2019-08-07,20.65,20.89,20.65,20.85,9600.0
2019-08-06,20.81,20.83,20.65,20.76,10200.0
2019-08-02,21.4,21.4,21.2,21.29,25100.0
2019-08-01,21.7,21.78,21.42,21.48,14500.0
2019-07-31,21.74,21.74,21.6,21.67,2300.0
2019-07-30,21.66,21.68,21.63,21.64,5100.0
2019-07-29,21.92,21.92,21.9,21.9,7200.0
2019-07-26,21.84,21.87,21.84,21.86,4800.0
2019-07-25,21.81,21.81,21.68,21.7,7400.0
2019-07-24,21.81,21.83,21.81,21.82,1200.0
2019-07-23,21.85,21.89,21.83,21.89,11200.0
2019-07-22,21.64,21.67,21.62,21.66,4400.0
2019-07-19,21.68,21.68,21.63,21.64,11500.0
2019-07-18,21.56,21.59,21.55,21.59,41600.0
2019-07-17,21.76,21.76,21.63,21.63,9100.0
2019-07-16,21.7,21.78,21.7,21.71,7100.0
2019-07-15,21.69,21.72,21.68,21.69,18200.0
2019-07-12,21.65,21.69,21.64,21.64,5100.0
2019-07-11,21.72,21.72,21.64,21.69,2700.0
2019-07-10,21.77,21.78,21.71,21.73,2100.0
2019-07-09,21.67,21.75,21.67,21.74,14200.0
2019-07-08,21.75,21.83,21.75,21.77,9400.0
2019-07-05,21.83,21.9,21.83,21.89,5900.0
2019-07-04,21.97,22.03,21.97,21.98,4700.0
2019-07-03,21.93,22.0,21.9,22.0,12400.0
2019-07-02,21.75,21.8,21.75,21.8,9400.0
2019-06-28,21.51,21.55,21.49,21.51,14800.0
2019-06-27,21.39,21.46,21.39,21.39,12100.0
2019-06-26,21.46,21.46,21.38,21.38,6800.0
2019-06-25,21.61,21.61,21.48,21.48,5200.0
2019-06-24,21.66,21.66,21.58,21.59,11300.0
2019-06-21,21.58,21.65,21.58,21.59,3900.0
2019-06-20,21.74,21.74,21.68,21.69,2600.0
2019-06-19,21.59,21.63,21.58,21.62,9500.0
2019-06-18,21.44,21.6,21.44,21.56,3000.0
2019-06-17,21.24,21.35,21.24,21.32,11700.0
